PeakID (cmd=annotatePeaks.pl SPT5.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_128	III	27398	27645	+	0	NA	promoter-TSS (YCL055W)	protein_coding-promoter-TSS (YCL055W)	-162	YCL056C	YCL056C	YCL056C			PEX34			protein_coding
Interval_1316	XV	648531	649171	+	0	NA	promoter-TSS (YOR166C)	protein_coding-promoter-TSS (YOR166C)	156	YOR167C	YOR167C	YOR167C			RPS28A			protein_coding
Interval_599	VII	546303	546484	+	0	NA	promoter-TSS (YGR030C)	protein_coding-promoter-TSS (YGR030C)	-48	YGR031W	YGR031W	YGR031W			IMO32			protein_coding
Interval_1225	XIV	602231	602448	+	0	NA	promoter-TSS (YNL016W)	protein_coding-promoter-TSS (YNL016W)	27	tI(AAU)N2	tI(AAU)N2	tI(AAU)N2			tI(AAU)N2			tRNA
Interval_920	XII	11011	11851	+	0	NA	promoter-TSS (YLL065W)	protein_coding-promoter-TSS (YLL065W)	-295	YLL065W	YLL065W	YLL065W			YLL065W			protein_coding
Interval_270	IV	835665	836621	+	0	NA	promoter-TSS (YDR186C)	protein_coding-promoter-TSS (YDR186C)	-278	YDR188W	YDR188W	YDR188W			CCT6			protein_coding
Interval_959	XII	489373	491136	+	0	NA	promoter-TSS (YLR162W-A)	protein_coding-promoter-TSS (YLR162W-A)	-152	YLR162W-A	YLR162W-A	YLR162W-A			RRT15			protein_coding
Interval_1248	XV	43586	43831	+	0	NA	promoter-TSS (YOL151W)	protein_coding-promoter-TSS (YOL151W)	14	YOL151W	YOL151W	YOL151W			GRE2			protein_coding
Interval_1402	XVI	321782	321995	+	0	NA	promoter-TSS (YPL120W)	protein_coding-promoter-TSS (YPL120W)	-183	YPL120W	YPL120W	YPL120W			VPS30			protein_coding
Interval_638	VII	823478	823880	+	0	NA	promoter-TSS (YGR161C-C)	protein_coding-promoter-TSS (YGR161C-C)	197	tV(AAC)G2	tV(AAC)G2	tV(AAC)G2			tV(AAC)G2			tRNA
Interval_463	V	264151	264619	+	0	NA	promoter-TSS (YER054C)	protein_coding-promoter-TSS (YER054C)	-687	YER054C	YER054C	YER054C			GIP2			protein_coding
Interval_196	IV	228988	229336	+	0	NA	promoter-TSS (YDL130W)	protein_coding-promoter-TSS (YDL130W)	-9	YDL130W-A	YDL130W-A	YDL130W-A			STF1			protein_coding
Interval_1315	XV	638690	639506	+	0	NA	promoter-TSS (YOR161C)	protein_coding-promoter-TSS (YOR161C)	169	YOR161C-C	YOR161C-C	YOR161C-C			YOR161C-C			protein_coding
Interval_275	IV	893663	894414	+	0	NA	promoter-TSS (YDR216W)	protein_coding-promoter-TSS (YDR216W)	464	YDR215C	YDR215C	YDR215C			YDR215C			protein_coding
Interval_234	IV	519604	519855	+	0	NA	promoter-TSS (YDR034C-C)	protein_coding-promoter-TSS (YDR034C-C)	-14	tL(UAA)D	tL(UAA)D	tL(UAA)D			tL(UAA)D			tRNA
Interval_607	VII	584211	584665	+	0	NA	promoter-TSS (YGR044C)	protein_coding-promoter-TSS (YGR044C)	-142	YGR045C	YGR045C	YGR045C			YGR045C			protein_coding
Interval_539	VII	23112	23805	+	0	NA	promoter-TSS (YGL253W)	protein_coding-promoter-TSS (YGL253W)	-477	YGL253W	YGL253W	YGL253W			HXK2			protein_coding
Interval_877	XI	259854	261671	+	0	NA	promoter-TSS (YKL096W)	protein_coding-promoter-TSS (YKL096W)	-370	YKL096W	YKL096W	YKL096W			CWP1			protein_coding
Interval_1282	XV	370932	371567	+	0	NA	promoter-TSS (YOR020C)	protein_coding-promoter-TSS (YOR020C)	-405	YOR020C	YOR020C	YOR020C			HSP10			protein_coding
Interval_372	IX	166006	166298	+	0	NA	promoter-TSS (YIL106W)	protein_coding-promoter-TSS (YIL106W)	-263	YIL106W	YIL106W	YIL106W			MOB1			protein_coding
Interval_576	VII	393663	393911	+	0	NA	promoter-TSS (YGL058W)	protein_coding-promoter-TSS (YGL058W)	-199	YGL058W	YGL058W	YGL058W			RAD6			protein_coding
Interval_805	X	424216	425000	+	0	NA	promoter-TSS (YJL005W)	protein_coding-promoter-TSS (YJL005W)	-93	tL(UAA)J	tL(UAA)J	tL(UAA)J			SUP51			tRNA
Interval_391	IX	316310	316612	+	0	NA	promoter-TSS (YIL018W)	protein_coding-promoter-TSS (YIL018W)	-307	YIL018W	YIL018W	YIL018W			RPL2B			protein_coding
Interval_656	VII	958486	959746	+	0	NA	promoter-TSS (YGR233C)	protein_coding-promoter-TSS (YGR233C)	-788	YGR234W	YGR234W	YGR234W			YHB1			protein_coding
Interval_682	VIII	62475	62781	+	0	NA	promoter-TSS (YHL023C)	protein_coding-promoter-TSS (YHL023C)	-65	YHL023C	YHL023C	YHL023C			NPR3			protein_coding
Interval_1067	XIII	282804	283470	+	0	NA	promoter-TSS (YMR008C)	protein_coding-promoter-TSS (YMR008C)	-553	YMR008C	YMR008C	YMR008C			PLB1			protein_coding
Interval_612	VII	617669	617954	+	0	NA	promoter-TSS (YGR062C)	protein_coding-promoter-TSS (YGR062C)	13	YGR063C	YGR063C	YGR063C			SPT4			protein_coding
Interval_444	V	131065	131771	+	0	NA	promoter-TSS (YEL012W)	protein_coding-promoter-TSS (YEL012W)	-265	tQ(UUG)E2	tQ(UUG)E2	tQ(UUG)E2			tQ(UUG)E2			tRNA
Interval_712	VIII	296735	297222	+	0	NA	promoter-TSS (YHR096C)	protein_coding-promoter-TSS (YHR096C)	-531	YHR096C	YHR096C	YHR096C			HXT5			protein_coding
Interval_989	XII	707130	707487	+	0	NA	promoter-TSS (YLR284C)	protein_coding-promoter-TSS (YLR284C)	-52	YLR285W	YLR285W	YLR285W			NNT1			protein_coding
Interval_670	VII	1061806	1062082	+	0	NA	promoter-TSS (YGR284C)	protein_coding-promoter-TSS (YGR284C)	-354	YGR284C	YGR284C	YGR284C			ERV29			protein_coding
Interval_708	VIII	277037	277391	+	0	NA	promoter-TSS (YHR086W)	protein_coding-promoter-TSS (YHR086W)	450	YHR085W	YHR085W	YHR085W			IPI1			protein_coding
Interval_1393	XVI	227612	228087	+	0	NA	promoter-TSS (YPL170W)	protein_coding-promoter-TSS (YPL170W)	-465	YPL170W	YPL170W	YPL170W			DAP1			protein_coding
Interval_648	VII	913185	913745	+	0	NA	promoter-TSS (YGR209C)	protein_coding-promoter-TSS (YGR209C)	-238	YGR209C	YGR209C	YGR209C			TRX2			protein_coding
Interval_48	II	201909	203582	+	0	NA	promoter-TSS (YBL011W)	protein_coding-promoter-TSS (YBL011W)	689	YBL013W	YBL013W	YBL013W			FMT1			protein_coding
Interval_483	V	353799	355339	+	0	NA	promoter-TSS (YER097W)	protein_coding-promoter-TSS (YER097W)	-365	tE(UUC)E2	tE(UUC)E2	tE(UUC)E2			tE(UUC)E2			tRNA
Interval_619	VII	699969	701002	+	0	NA	promoter-TSS (YGR106C)	protein_coding-promoter-TSS (YGR106C)	-190	tL(GAG)G	tL(GAG)G	tL(GAG)G			tL(GAG)G			tRNA
Interval_413	MT	18042	21414	+	0	NA	TTS (Q0055)	protein_coding-TTS (Q0055)	-4428	Q0075	Q0075	Q0075			AI5_BETA			protein_coding
Interval_137	III	82404	82600	+	0	NA	promoter-TSS (YCL022C)	protein_coding-promoter-TSS (YCL022C)	31	tE(UUC)C	tE(UUC)C	tE(UUC)C			tE(UUC)C			tRNA
Interval_835	X	649579	649953	+	0	NA	promoter-TSS (YJR122W)	protein_coding-promoter-TSS (YJR122W)	-10	YJR122W	YJR122W	YJR122W			IBA57			protein_coding
Interval_1001	XII	783549	784698	+	0	NA	promoter-TSS (YLR327C)	protein_coding-promoter-TSS (YLR327C)	-231	tS(GCU)L	tS(GCU)L	tS(GCU)L			tS(GCU)L			tRNA
Interval_1160	XIV	96137	96458	+	0	NA	promoter-TSS (tG(UCC)N)	tRNA-promoter-TSS (tG(UCC)N)	15	tG(UCC)N	tG(UCC)N	tG(UCC)N			SUF6			tRNA
Interval_1165	XIV	116555	117061	+	0	NA	promoter-TSS (YNL277W)	protein_coding-promoter-TSS (YNL277W)	129	YNL277W-A	YNL277W-A	YNL277W-A			YNL277W-A			protein_coding
Interval_1250	XV	69064	70213	+	0	NA	promoter-TSS (YOL133W)	protein_coding-promoter-TSS (YOL133W)	406	YOL135C	YOL135C	YOL135C			MED7			protein_coding
Interval_713	VIII	298550	299183	+	0	NA	promoter-TSS (YHR097C)	protein_coding-promoter-TSS (YHR097C)	-257	YHR097C	YHR097C	YHR097C			YHR097C			protein_coding
Interval_317	IV	1261265	1261480	+	0	NA	promoter-TSS (YDR394W)	protein_coding-promoter-TSS (YDR394W)	-309	YDR394W	YDR394W	YDR394W			RPT3			protein_coding
Interval_404	IX	386091	387046	+	0	NA	promoter-TSS (YIR018C-A)	protein_coding-promoter-TSS (YIR018C-A)	-867	YIR018C-A	YIR018C-A	YIR018C-A			YIR018C-A			protein_coding
Interval_489	V	412996	413173	+	0	NA	TTS (YER125W)	protein_coding-TTS (YER125W)	1095	YER126C	YER126C	YER126C			NSA2			protein_coding
Interval_725	VIII	382823	383719	+	0	NA	promoter-TSS (YHR141C)	protein_coding-promoter-TSS (YHR141C)	-267	YHR142W	YHR142W	YHR142W			CHS7			protein_coding
Interval_1361	XV	1028823	1029009	+	0	NA	promoter-TSS (YOR369C)	protein_coding-promoter-TSS (YOR369C)	-291	YOR369C	YOR369C	YOR369C			RPS12			protein_coding
Interval_838	X	683542	684442	+	0	NA	promoter-TSS (YJR137C)	protein_coding-promoter-TSS (YJR137C)	-575	YJR138W	YJR138W	YJR138W			IML1			protein_coding
Interval_598	VII	544602	544966	+	0	NA	promoter-TSS (snR46)	snoRNA-promoter-TSS (snR46)	-136	tD(GUC)G2	tD(GUC)G2	tD(GUC)G2			tD(GUC)G2			tRNA
Interval_823	X	598226	598626	+	0	NA	promoter-TSS (YJR091C)	protein_coding-promoter-TSS (YJR091C)	-90	YJR091C	YJR091C	YJR091C			JSN1			protein_coding
Interval_721	VIII	374461	375585	+	0	NA	promoter-TSS (YHR135C)	protein_coding-promoter-TSS (YHR135C)	77	YHR136C	YHR136C	YHR136C			SPL2			protein_coding
Interval_388	IX	267801	268947	+	0	NA	promoter-TSS (YIL046W)	protein_coding-promoter-TSS (YIL046W)	65	YIL046W-A	YIL046W-A	YIL046W-A			YIL046W-A			protein_coding
Interval_874	XI	230079	231726	+	0	NA	Intergenic	Intergenic	-1022	YKL110C	YKL110C	YKL110C			KTI12			protein_coding
Interval_1054	XIII	169915	170259	+	0	NA	promoter-TSS (YML052W)	protein_coding-promoter-TSS (YML052W)	-315	YML052W	YML052W	YML052W			SUR7			protein_coding
Interval_929	XII	92562	92921	+	0	NA	TTS (tP(UGG)L)	tRNA-TTS (tP(UGG)L)	193	tP(UGG)L	tP(UGG)L	tP(UGG)L			tP(UGG)L			tRNA
Interval_170	IV	20022	20461	+	0	NA	promoter-TSS (YDL241W)	protein_coding-promoter-TSS (YDL241W)	-394	YDL241W	YDL241W	YDL241W			YDL241W			protein_coding
Interval_226	IV	465080	465826	+	0	NA	promoter-TSS (YDR010C)	protein_coding-promoter-TSS (YDR010C)	-70	YDR010C	YDR010C	YDR010C			YDR010C			protein_coding
Interval_55	II	255178	256429	+	0	NA	promoter-TSS (YBR009C)	protein_coding-promoter-TSS (YBR009C)	-119	YBR009C	YBR009C	YBR009C			HHF1			protein_coding
Interval_80	II	454228	454928	+	0	NA	promoter-TSS (YBR107C)	protein_coding-promoter-TSS (YBR107C)	-48	YBR107C	YBR107C	YBR107C			IML3			protein_coding
Interval_1119	XIII	674993	675508	+	0	NA	promoter-TSS (YMR205C)	protein_coding-promoter-TSS (YMR205C)	-484	YMR205C	YMR205C	YMR205C			PFK2			protein_coding
Interval_255	IV	643806	644054	+	0	NA	promoter-TSS (YDR097C)	protein_coding-promoter-TSS (YDR097C)	-93	YDR097C	YDR097C	YDR097C			MSH6			protein_coding
Interval_1198	XIV	417572	417779	+	0	NA	promoter-TSS (YNL111C)	protein_coding-promoter-TSS (YNL111C)	-373	YNL111C	YNL111C	YNL111C			CYB5			protein_coding
Interval_1281	XV	349303	349763	+	0	NA	promoter-TSS (YOR011W)	protein_coding-promoter-TSS (YOR011W)	-146	YOR011W	YOR011W	YOR011W			AUS1			protein_coding
Interval_1263	XV	170158	170805	+	0	NA	promoter-TSS (YOL081W)	protein_coding-promoter-TSS (YOL081W)	-589	YOL081W	YOL081W	YOL081W			IRA2			protein_coding
Interval_335	IV	1410417	1411971	+	0	NA	promoter-TSS (YDR476C)	protein_coding-promoter-TSS (YDR476C)	-67	YDR476C	YDR476C	YDR476C			YDR476C			protein_coding
Interval_1145	XIII	923375	924306	+	0	NA	promoter-TSS (YMR326C)	protein_coding-promoter-TSS (YMR326C)	-38	YMR326C	YMR326C	YMR326C			YMR326C			protein_coding
Interval_410	IX	438915	439863	+	0	NA	Intergenic	Intergenic	-1210	YIR044C	YIR044C	YIR044C			YIR044C			pseudogene
Interval_1182	XIV	337903	338412	+	0	NA	TTS (YNL159C)	protein_coding-TTS (YNL159C)	1190	YNL159C	YNL159C	YNL159C			ASI2			protein_coding
Interval_245	IV	562662	562930	+	0	NA	promoter-TSS (YDR054C)	protein_coding-promoter-TSS (YDR054C)	-469	YDR054C	YDR054C	YDR054C			CDC34			protein_coding
Interval_186	IV	132015	133304	+	0	NA	promoter-TSS (YDL182W)	protein_coding-promoter-TSS (YDL182W)	-778	YDL182W	YDL182W	YDL182W			LYS20			protein_coding
Interval_1094	XIII	477320	478902	+	0	NA	promoter-TSS (YMR105C)	protein_coding-promoter-TSS (YMR105C)	47	YMR105W-A	YMR105W-A	YMR105W-A			YMR105W-A			protein_coding
Interval_213	IV	363511	363784	+	0	NA	promoter-TSS (YDL051W)	protein_coding-promoter-TSS (YDL051W)	-64	YDL052C	YDL052C	YDL052C			SLC1			protein_coding
Interval_661	VII	986838	987923	+	0	NA	promoter-TSS (YGR249W)	protein_coding-promoter-TSS (YGR249W)	-669	YGR249W	YGR249W	YGR249W			MGA1			protein_coding
Interval_120	II	770615	771163	+	0	NA	promoter-TSS (YBR283C)	protein_coding-promoter-TSS (YBR283C)	-350	YBR284W	YBR284W	YBR284W			YBR284W			protein_coding
Interval_13	I	114668	114979	+	0	NA	promoter-TSS (YAL019W)	protein_coding-promoter-TSS (YAL019W)	-96	YAL019W	YAL019W	YAL019W			FUN30			protein_coding
Interval_1379	XVI	102651	103109	+	0	NA	promoter-TSS (YPL235W)	protein_coding-promoter-TSS (YPL235W)	-178	YPL236C	YPL236C	YPL236C			ENV7			protein_coding
Interval_1108	XIII	592285	592917	+	0	NA	promoter-TSS (YMR165C)	protein_coding-promoter-TSS (YMR165C)	27	YMR165C	YMR165C	YMR165C			PAH1			protein_coding
Interval_1324	XV	716923	717173	+	0	NA	promoter-TSS (YOR196C)	protein_coding-promoter-TSS (YOR196C)	-38	YOR197W	YOR197W	YOR197W			MCA1			protein_coding
Interval_206	IV	307891	308593	+	0	NA	promoter-TSS (YDL082W)	protein_coding-promoter-TSS (YDL082W)	-182	YDL082W	YDL082W	YDL082W			RPL13A			protein_coding
Interval_618	VII	677527	678563	+	0	NA	promoter-TSS (YGR097W)	protein_coding-promoter-TSS (YGR097W)	-650	YGR097W	YGR097W	YGR097W			ASK10			protein_coding
Interval_1074	XIII	321111	321773	+	0	NA	promoter-TSS (YMR023C)	protein_coding-promoter-TSS (YMR023C)	-223	tA(AGC)M1	tA(AGC)M1	tA(AGC)M1			tA(AGC)M1			tRNA
Interval_945	XII	323268	323507	+	0	NA	promoter-TSS (YLR092W)	protein_coding-promoter-TSS (YLR092W)	-157	YLR092W	YLR092W	YLR092W			SUL2			protein_coding
Interval_253	IV	628673	628918	+	0	NA	promoter-TSS (YDR091C)	protein_coding-promoter-TSS (YDR091C)	-261	YDR091C	YDR091C	YDR091C			RLI1			protein_coding
Interval_1187	XIV	351902	352174	+	0	NA	promoter-TSS (YNL145W)	protein_coding-promoter-TSS (YNL145W)	323	YNL146W	YNL146W	YNL146W			YNL146W			protein_coding
Interval_925	XII	54090	54917	+	0	NA	promoter-TSS (YLL041C)	protein_coding-promoter-TSS (YLL041C)	-572	YLL041C	YLL041C	YLL041C			SDH2			protein_coding
Interval_1209	XIV	490963	491393	+	0	NA	promoter-TSS (YNL071W)	protein_coding-promoter-TSS (YNL071W)	-345	YNL071W	YNL071W	YNL071W			LAT1			protein_coding
Interval_1019	XII	903063	903665	+	0	NA	promoter-TSS (YLR389C)	protein_coding-promoter-TSS (YLR389C)	298	YLR390W	YLR390W	YLR390W			ECM19			protein_coding
Interval_144	III	131708	131903	+	0	NA	promoter-TSS (YCR009C)	protein_coding-promoter-TSS (YCR009C)	-263	YCR009C	YCR009C	YCR009C			RVS161			protein_coding
Interval_419	MT	55512	56180	+	0	NA	Intergenic	Intergenic	1737	Q0144	Q0144	Q0144			Q0144			protein_coding
Interval_108	II	644903	645469	+	0	NA	promoter-TSS (YBR210W)	protein_coding-promoter-TSS (YBR210W)	19	tE(UUC)B	tE(UUC)B	tE(UUC)B			tE(UUC)B			tRNA
Interval_666	VII	1022024	1022424	+	0	NA	promoter-TSS (YGR264C)	protein_coding-promoter-TSS (YGR264C)	-371	YGR264C	YGR264C	YGR264C			MES1			protein_coding
Interval_752	X	60250	60765	+	0	NA	promoter-TSS (YJL198W)	protein_coding-promoter-TSS (YJL198W)	-325	YJL199C	YJL199C	YJL199C			MBB1			protein_coding
Interval_840	X	705155	705609	+	0	NA	promoter-TSS (YJR148W)	protein_coding-promoter-TSS (YJR148W)	-362	YJR148W	YJR148W	YJR148W			BAT2			protein_coding
Interval_112	II	681848	682339	+	0	NA	promoter-TSS (LSR1)	snRNA-promoter-TSS (LSR1)	-231	LSR1	LSR1	LSR1			LSR1			snRNA
Interval_394	IX	332632	333583	+	0	NA	promoter-TSS (YIL011W)	protein_coding-promoter-TSS (YIL011W)	96	YIL012W	YIL012W	YIL012W			YIL012W			protein_coding
Interval_1021	XII	924521	925259	+	0	NA	promoter-TSS (YLR401C)	protein_coding-promoter-TSS (YLR401C)	1	YLR402W	YLR402W	YLR402W			YLR402W			protein_coding
Interval_965	XII	513497	515120	+	0	NA	promoter-TSS (YLR178C)	protein_coding-promoter-TSS (YLR178C)	405	YLR179C	YLR179C	YLR179C			YLR179C			protein_coding
Interval_726	VIII	384840	385167	+	0	NA	promoter-TSS (YHR143W)	protein_coding-promoter-TSS (YHR143W)	-507	YHR143W	YHR143W	YHR143W			DSE2			protein_coding
Interval_1292	XV	431760	432055	+	0	NA	promoter-TSS (YOR056C)	protein_coding-promoter-TSS (YOR056C)	-279	YOR057W	YOR057W	YOR057W			SGT1			protein_coding
Interval_821	X	578150	578947	+	0	NA	promoter-TSS (YJR077C)	protein_coding-promoter-TSS (YJR077C)	-312	YJR078W	YJR078W	YJR078W			BNA2			protein_coding
Interval_79	II	452196	452623	+	0	NA	promoter-TSS (YBR105C)	protein_coding-promoter-TSS (YBR105C)	-249	YBR106W	YBR106W	YBR106W			PHO88			protein_coding
Interval_571	VII	345807	347084	+	0	NA	promoter-TSS (YGL086W)	protein_coding-promoter-TSS (YGL086W)	459	snR10	snR10	snR10			snR10			snoRNA
Interval_349	IV	1502254	1502618	+	0	NA	promoter-TSS (YDR533C)	protein_coding-promoter-TSS (YDR533C)	-276	YDR533C	YDR533C	YDR533C			HSP31			protein_coding
Interval_1439	XVI	664834	665108	+	0	NA	promoter-TSS (YPR049C)	protein_coding-promoter-TSS (YPR049C)	11	YPR051W	YPR051W	YPR051W			MAK3			protein_coding
Interval_1389	XVI	188654	189115	+	0	NA	promoter-TSS (YPL189C-A)	protein_coding-promoter-TSS (YPL189C-A)	-270	YPL189W	YPL189W	YPL189W			GUP2			protein_coding
Interval_1401	XVI	309680	310153	+	0	NA	promoter-TSS (YPL126W)	protein_coding-promoter-TSS (YPL126W)	-294	YPL126W	YPL126W	YPL126W			NAN1			protein_coding
Interval_1380	XVI	105541	107083	+	0	NA	promoter-TSS (YPL232W)	protein_coding-promoter-TSS (YPL232W)	140	YPL233W	YPL233W	YPL233W			NSL1			protein_coding
Interval_1459	XVI	825305	825499	+	0	NA	promoter-TSS (YPR145C-A)	protein_coding-promoter-TSS (YPR145C-A)	274	YPR146C	YPR146C	YPR146C			YPR146C			protein_coding
Interval_658	VII	968994	969519	+	0	NA	promoter-TSS (YGR238C)	protein_coding-promoter-TSS (YGR238C)	-569	YGR238C	YGR238C	YGR238C			KEL2			protein_coding
Interval_884	XI	335069	335620	+	0	NA	promoter-TSS (YKL056C)	protein_coding-promoter-TSS (YKL056C)	-429	YKL056C	YKL056C	YKL056C			TMA19			protein_coding
Interval_742	VIII	498514	498941	+	0	NA	promoter-TSS (YHR199C)	protein_coding-promoter-TSS (YHR199C)	132	YHR199C-A	YHR199C-A	YHR199C-A			NBL1			protein_coding
Interval_260	IV	703971	704319	+	0	NA	promoter-TSS (YDR127W)	protein_coding-promoter-TSS (YDR127W)	-339	YDR127W	YDR127W	YDR127W			ARO1			protein_coding
Interval_1384	XVI	129745	130178	+	0	NA	promoter-TSS (YPL222W)	protein_coding-promoter-TSS (YPL222W)	-201	YPL222W	YPL222W	YPL222W			FMP40			protein_coding
Interval_82	II	461818	461997	+	0	NA	promoter-TSS (YBR111C)	protein_coding-promoter-TSS (YBR111C)	-34	YBR111C	YBR111C	YBR111C			YSA1			protein_coding
Interval_300	IV	1145900	1146384	+	0	NA	promoter-TSS (YDR337W)	protein_coding-promoter-TSS (YDR337W)	-177	YDR337W	YDR337W	YDR337W			MRPS28			protein_coding
Interval_187	IV	134844	135123	+	0	NA	promoter-TSS (YDL180W)	protein_coding-promoter-TSS (YDL180W)	-196	YDL181W	YDL181W	YDL181W			INH1			protein_coding
Interval_261	IV	721664	722867	+	0	NA	promoter-TSS (YDR133C)	protein_coding-promoter-TSS (YDR133C)	-784	YDR134C	YDR134C	YDR134C			YDR134C			pseudogene
Interval_379	IX	210625	210798	+	0	NA	promoter-TSS (tI(AAU)I2)	tRNA-promoter-TSS (tI(AAU)I2)	46	tI(AAU)I2	tI(AAU)I2	tI(AAU)I2			tI(AAU)I2			tRNA
Interval_1004	XII	793695	794181	+	0	NA	promoter-TSS (tD(GUC)L2)	tRNA-promoter-TSS (tD(GUC)L2)	20	tD(GUC)L2	tD(GUC)L2	tD(GUC)L2			tD(GUC)L2			tRNA
Interval_397	IX	343920	344184	+	0	NA	promoter-TSS (YIL006W)	protein_coding-promoter-TSS (YIL006W)	-10	YIL006W	YIL006W	YIL006W			YIA6			protein_coding
Interval_91	II	539882	540085	+	0	NA	promoter-TSS (YBR149W)	protein_coding-promoter-TSS (YBR149W)	-4	YBR149W	YBR149W	YBR149W			ARA1			protein_coding
Interval_1368	XVI	6542	6915	+	0	NA	promoter-TSS (YPL283C)	protein_coding-promoter-TSS (YPL283C)	-721	YPL283C	YPL283C	YPL283C			YRF1-7			protein_coding
Interval_885	XI	338882	341098	+	0	NA	promoter-TSS (YKL053C-A)	protein_coding-promoter-TSS (YKL053C-A)	418	YKL053W	YKL053W	YKL053W			YKL053W			protein_coding
Interval_1417	XVI	455028	455340	+	0	NA	promoter-TSS (YPL054W)	protein_coding-promoter-TSS (YPL054W)	-194	YPL055C	YPL055C	YPL055C			LGE1			protein_coding
Interval_303	IV	1161671	1162222	+	0	NA	promoter-TSS (YDR343C)	protein_coding-promoter-TSS (YDR343C)	503	YDR344C	YDR344C	YDR344C			YDR344C			protein_coding
Interval_979	XII	637749	639544	+	0	NA	exon (YLR249W, exon 1 of 1)	protein_coding-exon (YLR249W, exon 1 of 1)	-1671	YLR250W	YLR250W	YLR250W			SSP120			protein_coding
Interval_342	IV	1459506	1460208	+	0	NA	promoter-TSS (YDR505C)	protein_coding-promoter-TSS (YDR505C)	-637	YDR505C	YDR505C	YDR505C			PSP1			protein_coding
Interval_654	VII	951327	951860	+	0	NA	promoter-TSS (YGR229C)	protein_coding-promoter-TSS (YGR229C)	-301	YGR230W	YGR230W	YGR230W			BNS1			protein_coding
Interval_1317	XV	656664	656857	+	0	NA	promoter-TSS (YOR173W)	protein_coding-promoter-TSS (YOR173W)	-504	YOR173W	YOR173W	YOR173W			DCS2			protein_coding
Interval_407	IX	415716	416047	+	0	NA	promoter-TSS (YIR032C)	protein_coding-promoter-TSS (YIR032C)	-243	YIR033W	YIR033W	YIR033W			MGA2			protein_coding
