PeakID (cmd=annotatePeaks.pl SPT5_T0_R2_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SPT5_T0_R2_peak_554	XV	4	828	+	104	NA	promoter-TSS (YOL166W-A)	protein_coding-promoter-TSS (YOL166W-A)	-169	YOL166W-A	YOL166W-A	YOL166W-A			YOL166W-A			protein_coding
SPT5_T0_R2_peak_323	VIII	121996	122772	+	103	NA	promoter-TSS (YHR007C)	protein_coding-promoter-TSS (YHR007C)	381	YHR007C-A	YHR007C-A	YHR007C-A			YHR007C-A			protein_coding
SPT5_T0_R2_peak_262	VII	271398	272221	+	99	NA	promoter-TSS (YGL125W)	protein_coding-promoter-TSS (YGL125W)	-711	YGL125W	YGL125W	YGL125W			MET13			protein_coding
SPT5_T0_R2_peak_377	XI	51	788	+	93	NA	promoter-TSS (YKL225W)	protein_coding-promoter-TSS (YKL225W)	-32	YKL225W	YKL225W	YKL225W			YKL225W			protein_coding
SPT5_T0_R2_peak_235	V	569884	570680	+	92	NA	promoter-TSS (YER188C-A)	protein_coding-promoter-TSS (YER188C-A)	-375	YER188C-A	YER188C-A	YER188C-A			YER188C-A			protein_coding
SPT5_T0_R2_peak_83	III	315774	316518	+	90	NA	promoter-TSS (YCR108C)	protein_coding-promoter-TSS (YCR108C)	42	YCR108C	YCR108C	YCR108C			YCR108C			protein_coding
SPT5_T0_R2_peak_96	IV	307899	308341	+	87	NA	promoter-TSS (YDL082W)	protein_coding-promoter-TSS (YDL082W)	-304	YDL082W	YDL082W	YDL082W			RPL13A			protein_coding
SPT5_T0_R2_peak_467	XIII	5474	5708	+	86	NA	promoter-TSS (YML133C)	protein_coding-promoter-TSS (YML133C)	-907	YML133C	YML133C	YML133C			YML133C			protein_coding
SPT5_T0_R2_peak_150	IV	1524858	1525639	+	86	NA	promoter-TSS (YDR543C)	protein_coding-promoter-TSS (YDR543C)	275	YDR544C	YDR544C	YDR544C			YDR544C			protein_coding
SPT5_T0_R2_peak_15	I	229418	230188	+	86	NA	TTS (YAR073W)	protein_coding-TTS (YAR073W)	959	YAR075W	YAR075W	YAR075W			YAR075W			protein_coding
SPT5_T0_R2_peak_416	XII	38	304	+	85	NA	promoter-TSS (YLL067W-A)	protein_coding-promoter-TSS (YLL067W-A)	-672	YLL067W-A	YLL067W-A	YLL067W-A			YLL067W-A			protein_coding
SPT5_T0_R2_peak_196	V	68584	70351	+	85	NA	promoter-TSS (YEL044W)	protein_coding-promoter-TSS (YEL044W)	-202	YEL045C	YEL045C	YEL045C			YEL045C			protein_coding
SPT5_T0_R2_peak_375	X	702565	704138	+	83	NA	promoter-TSS (YJR145C)	protein_coding-promoter-TSS (YJR145C)	-283	YJR145C	YJR145C	YJR145C			RPS4A			protein_coding
SPT5_T0_R2_peak_164	IX	254205	255148	+	83	NA	promoter-TSS (YIL053W)	protein_coding-promoter-TSS (YIL053W)	133	YIL054W	YIL054W	YIL054W			YIL054W			protein_coding
SPT5_T0_R2_peak_608	XV	978413	979586	+	81	NA	promoter-TSS (YOR344C)	protein_coding-promoter-TSS (YOR344C)	-930	YOR344C	YOR344C	YOR344C			TYE7			protein_coding
SPT5_T0_R2_peak_338	VIII	556197	557046	+	81	NA	TTS (YHR216W)	protein_coding-TTS (YHR216W)	421	YHR217C	YHR217C	YHR217C			YHR217C			protein_coding
SPT5_T0_R2_peak_459	XII	924590	925083	+	78	NA	promoter-TSS (YLR401C)	protein_coding-promoter-TSS (YLR401C)	-53	YLR402W	YLR402W	YLR402W			YLR402W			protein_coding
SPT5_T0_R2_peak_314	VII	1083868	1084509	+	77	NA	promoter-TSS (YGR296W)	protein_coding-promoter-TSS (YGR296W)	-676	YGR296W	YGR296W	YGR296W			YRF1-3			protein_coding
SPT5_T0_R2_peak_517	XIV	6571	7336	+	77	NA	promoter-TSS (YNL337W)	protein_coding-promoter-TSS (YNL337W)	-212	YNL337W	YNL337W	YNL337W			YNL337W			protein_coding
SPT5_T0_R2_peak_193	V	53366	53886	+	75	NA	promoter-TSS (YEL054C)	protein_coding-promoter-TSS (YEL054C)	-408	YEL054C	YEL054C	YEL054C			RPL12A			protein_coding
SPT5_T0_R2_peak_69	III	122642	124000	+	72	NA	promoter-TSS (YCR005C)	protein_coding-promoter-TSS (YCR005C)	-318	YCR006C	YCR006C	YCR006C			YCR006C			protein_coding
SPT5_T0_R2_peak_339	VIII	562239	562583	+	71	NA	promoter-TSS (YHR219C-A)	protein_coding-promoter-TSS (YHR219C-A)	-730	YHR219C-A	YHR219C-A	YHR219C-A			YHR219C-A			protein_coding
SPT5_T0_R2_peak_84	IV	9	606	+	70	NA	Intergenic	Intergenic	-1495	YDL248W	YDL248W	YDL248W			COS7			protein_coding
SPT5_T0_R2_peak_469	XIII	25965	26740	+	68	NA	promoter-TSS (YML121W)	protein_coding-promoter-TSS (YML121W)	66	YML122C	YML122C	YML122C			YML122C			protein_coding
SPT5_T0_R2_peak_625	XVI	214207	215679	+	68	NA	promoter-TSS (YPL177C)	protein_coding-promoter-TSS (YPL177C)	-981	YPL177C	YPL177C	YPL177C			CUP9			protein_coding
SPT5_T0_R2_peak_63	III	57	866	+	66	NA	promoter-TSS (YCL076W)	protein_coding-promoter-TSS (YCL076W)	-931	YCL076W	YCL076W	YCL076W			YCL076W			protein_coding
SPT5_T0_R2_peak_562	XV	109172	110455	+	65	NA	promoter-TSS (YOL109W)	protein_coding-promoter-TSS (YOL109W)	-484	YOL109W	YOL109W	YOL109W			ZEO1			protein_coding
SPT5_T0_R2_peak_17	II	5640	6374	+	65	NA	promoter-TSS (YBL111C)	protein_coding-promoter-TSS (YBL111C)	217	YBL109W	YBL109W	YBL109W			YBL109W			protein_coding
SPT5_T0_R2_peak_275	VII	482765	484510	+	64	NA	promoter-TSS (YGL007C-A)	protein_coding-promoter-TSS (YGL007C-A)	377	YGL007W	YGL007W	YGL007W			BRP1			protein_coding
SPT5_T0_R2_peak_376	X	745136	745638	+	64	NA	promoter-TSS (YJR162C)	protein_coding-promoter-TSS (YJR162C)	-126	YJR162C	YJR162C	YJR162C			YJR162C			protein_coding
SPT5_T0_R2_peak_6	I	67996	68831	+	64	NA	promoter-TSS (YAL040C)	protein_coding-promoter-TSS (YAL040C)	-893	YAL040C	YAL040C	YAL040C			CLN3			protein_coding
SPT5_T0_R2_peak_222	V	396320	396628	+	63	NA	promoter-TSS (YER116C)	protein_coding-promoter-TSS (YER116C)	-295	YER117W	YER117W	YER117W			RPL23B			protein_coding
SPT5_T0_R2_peak_116	IV	591619	592343	+	62	NA	promoter-TSS (YDR072C)	protein_coding-promoter-TSS (YDR072C)	-458	YDR073W	YDR073W	YDR073W			SNF11			protein_coding
SPT5_T0_R2_peak_426	XII	368325	371326	+	61	NA	promoter-TSS (YLR111W)	protein_coding-promoter-TSS (YLR111W)	273	YLR110C	YLR110C	YLR110C			CCW12			protein_coding
SPT5_T0_R2_peak_405	XI	431272	431795	+	61	NA	promoter-TSS (YKL006C-A)	protein_coding-promoter-TSS (YKL006C-A)	-373	YKL006W	YKL006W	YKL006W			RPL14A			protein_coding
SPT5_T0_R2_peak_328	VIII	236163	236538	+	61	NA	promoter-TSS (YHR071W)	protein_coding-promoter-TSS (YHR071W)	162	YHR070C-A	YHR070C-A	YHR070C-A			YHR070C-A			protein_coding
SPT5_T0_R2_peak_515	XIII	914892	915697	+	60	NA	promoter-TSS (YMR319C)	protein_coding-promoter-TSS (YMR319C)	-756	YMR319C	YMR319C	YMR319C			FET4			protein_coding
SPT5_T0_R2_peak_374	X	663004	663513	+	60	NA	promoter-TSS (YJR127C)	protein_coding-promoter-TSS (YJR127C)	-199	YJR127C	YJR127C	YJR127C			RSF2			protein_coding
SPT5_T0_R2_peak_492	XIII	407642	408860	+	60	NA	promoter-TSS (YMR070W)	protein_coding-promoter-TSS (YMR070W)	542	YMR069W	YMR069W	YMR069W			NAT4			protein_coding
SPT5_T0_R2_peak_428	XII	423437	424910	+	58	NA	promoter-TSS (YLR139C)	protein_coding-promoter-TSS (YLR139C)	490	YLR141W	YLR141W	YLR141W			RRN5			protein_coding
SPT5_T0_R2_peak_25	II	135799	136265	+	58	NA	promoter-TSS (YBL043W)	protein_coding-promoter-TSS (YBL043W)	34	YBL044W	YBL044W	YBL044W			YBL044W			protein_coding
SPT5_T0_R2_peak_307	VII	1000103	1000752	+	58	NA	promoter-TSS (YGR254W)	protein_coding-promoter-TSS (YGR254W)	-500	YGR254W	YGR254W	YGR254W			ENO1			protein_coding
SPT5_T0_R2_peak_609	XV	987417	989628	+	57	NA	exon (YOR348C, exon 1 of 1)	protein_coding-exon (YOR348C, exon 1 of 1)	260	YOR348C	YOR348C	YOR348C			PUT4			protein_coding
SPT5_T0_R2_peak_229	V	442015	443248	+	57	NA	promoter-TSS (YER137C)	protein_coding-promoter-TSS (YER137C)	644	SCR1	SCR1	SCR1			SCR1			ncRNA
SPT5_T0_R2_peak_201	V	123127	123601	+	56	NA	promoter-TSS (YEL017C-A)	protein_coding-promoter-TSS (YEL017C-A)	-293	YEL017W	YEL017W	YEL017W			GTT3			protein_coding
SPT5_T0_R2_peak_553	XIV	783384	784245	+	55	NA	promoter-TSS (YNR077C)	protein_coding-promoter-TSS (YNR077C)	-273	YNR077C	YNR077C	YNR077C			YNR077C			protein_coding
SPT5_T0_R2_peak_598	XV	866661	867052	+	55	NA	promoter-TSS (YOR292C)	protein_coding-promoter-TSS (YOR292C)	-242	YOR293W	YOR293W	YOR293W			RPS10A			protein_coding
SPT5_T0_R2_peak_233	V	490863	491573	+	55	NA	promoter-TSS (YER158C)	protein_coding-promoter-TSS (YER158C)	-269	YER158W-A	YER158W-A	YER158W-A			YER158W-A			protein_coding
SPT5_T0_R2_peak_344	X	90249	90645	+	55	NA	promoter-TSS (YJL177W)	protein_coding-promoter-TSS (YJL177W)	-339	YJL177W	YJL177W	YJL177W			RPL17B			protein_coding
SPT5_T0_R2_peak_409	XI	517893	519265	+	55	NA	promoter-TSS (YKR040C)	protein_coding-promoter-TSS (YKR040C)	-13	YKR040C	YKR040C	YKR040C			YKR040C			protein_coding
SPT5_T0_R2_peak_300	VII	904974	905815	+	55	NA	promoter-TSS (YGR202C)	protein_coding-promoter-TSS (YGR202C)	157	YGR203W	YGR203W	YGR203W			YCH1			protein_coding
SPT5_T0_R2_peak_22	II	89526	89895	+	54	NA	promoter-TSS (YBL071C-B)	protein_coding-promoter-TSS (YBL071C-B)	-154	YBL071C-B	YBL071C-B	YBL071C-B			YBL071C-B			protein_coding
SPT5_T0_R2_peak_301	VII	919723	920438	+	54	NA	promoter-TSS (YGR213C)	protein_coding-promoter-TSS (YGR213C)	-495	YGR214W	YGR214W	YGR214W			RPS0A			protein_coding
SPT5_T0_R2_peak_197	V	84801	85619	+	54	NA	promoter-TSS (YEL033W)	protein_coding-promoter-TSS (YEL033W)	335	YEL035C	YEL035C	YEL035C			UTR5			protein_coding
SPT5_T0_R2_peak_220	V	362295	362619	+	54	NA	promoter-TSS (YER101C)	protein_coding-promoter-TSS (YER101C)	-643	YER102W	YER102W	YER102W			RPS8B			protein_coding
SPT5_T0_R2_peak_115	IV	556620	556930	+	53	NA	promoter-TSS (YDR050C)	protein_coding-promoter-TSS (YDR050C)	-303	YDR050C	YDR050C	YDR050C			TPI1			protein_coding
SPT5_T0_R2_peak_325	VIII	148791	149120	+	53	NA	promoter-TSS (YHR021C)	protein_coding-promoter-TSS (YHR021C)	-270	YHR021W-A	YHR021W-A	YHR021W-A			ECM12			protein_coding
SPT5_T0_R2_peak_247	VI	223846	227013	+	53	NA	promoter-TSS (YFR033C)	protein_coding-promoter-TSS (YFR033C)	529	YFR034C	YFR034C	YFR034C			PHO4			protein_coding
SPT5_T0_R2_peak_158	IX	166006	166298	+	53	NA	promoter-TSS (YIL106W)	protein_coding-promoter-TSS (YIL106W)	-263	YIL106W	YIL106W	YIL106W			MOB1			protein_coding
SPT5_T0_R2_peak_211	V	270236	270581	+	52	NA	promoter-TSS (YER056C-A)	protein_coding-promoter-TSS (YER056C-A)	-223	YER056C-A	YER056C-A	YER056C-A			RPL34A			protein_coding
SPT5_T0_R2_peak_133	IV	1164876	1165409	+	52	NA	promoter-TSS (YDR345C)	protein_coding-promoter-TSS (YDR345C)	-482	YDR345C	YDR345C	YDR345C			HXT3			protein_coding
SPT5_T0_R2_peak_268	VII	384633	385136	+	52	NA	promoter-TSS (YGL062W)	protein_coding-promoter-TSS (YGL062W)	-233	YGL063C-A	YGL063C-A	YGL063C-A			YGL063C-A			protein_coding
SPT5_T0_R2_peak_269	VII	397889	399692	+	51	NA	exon (YGL055W, exon 1 of 1)	protein_coding-exon (YGL055W, exon 1 of 1)	162	YGL055W	YGL055W	YGL055W			OLE1			protein_coding
SPT5_T0_R2_peak_65	III	68541	68770	+	51	NA	promoter-TSS (YCL030C)	protein_coding-promoter-TSS (YCL030C)	-322	YCL030C	YCL030C	YCL030C			HIS4			protein_coding
SPT5_T0_R2_peak_148	IV	1489642	1490972	+	51	NA	promoter-TSS (YDR524C-A)	protein_coding-promoter-TSS (YDR524C-A)	-289	YDR525W-A	YDR525W-A	YDR525W-A			SNA2			protein_coding
SPT5_T0_R2_peak_655	XVI	942547	942926	+	50	NA	promoter-TSS (YPR202W)	protein_coding-promoter-TSS (YPR202W)	-296	YPR202W	YPR202W	YPR202W			YPR202W			protein_coding
SPT5_T0_R2_peak_29	II	167924	168306	+	50	NA	promoter-TSS (YBL027W)	protein_coding-promoter-TSS (YBL027W)	-277	YBL028C	YBL028C	YBL028C			YBL028C			protein_coding
SPT5_T0_R2_peak_402	XI	355379	356291	+	50	NA	promoter-TSS (YKL043W)	protein_coding-promoter-TSS (YKL043W)	-487	YKL044W	YKL044W	YKL044W			YKL044W			protein_coding
SPT5_T0_R2_peak_113	IV	550864	551376	+	50	NA	promoter-TSS (YDR046C)	protein_coding-promoter-TSS (YDR046C)	-544	YDR046C	YDR046C	YDR046C			BAP3			protein_coding
SPT5_T0_R2_peak_476	XIII	146092	146377	+	50	NA	promoter-TSS (YML063W)	protein_coding-promoter-TSS (YML063W)	-248	YML063W	YML063W	YML063W			RPS1B			protein_coding
SPT5_T0_R2_peak_105	IV	410488	411702	+	50	NA	promoter-TSS (YDL022W)	protein_coding-promoter-TSS (YDL022W)	716	tA(AGC)D	tA(AGC)D	tA(AGC)D			tA(AGC)D			tRNA
SPT5_T0_R2_peak_214	V	303281	303808	+	49	NA	promoter-TSS (YER073W)	protein_coding-promoter-TSS (YER073W)	-486	YER073W	YER073W	YER073W			ALD5			protein_coding
SPT5_T0_R2_peak_318	VIII	48084	48683	+	49	NA	promoter-TSS (YHL028W)	protein_coding-promoter-TSS (YHL028W)	-380	YHL028W	YHL028W	YHL028W			WSC4			protein_coding
SPT5_T0_R2_peak_162	IX	232443	232930	+	49	NA	promoter-TSS (YIL068W-A)	protein_coding-promoter-TSS (YIL068W-A)	-317	YIL069C	YIL069C	YIL069C			RPS24B			protein_coding
SPT5_T0_R2_peak_612	XV	1084226	1084483	+	49	NA	promoter-TSS (YOR394C-A)	protein_coding-promoter-TSS (YOR394C-A)	15	YOR394C-A	YOR394C-A	YOR394C-A			YOR394C-A			protein_coding
SPT5_T0_R2_peak_73	III	163459	163984	+	48	NA	promoter-TSS (YCR024C-A)	protein_coding-promoter-TSS (YCR024C-A)	135	YCR025C	YCR025C	YCR025C			YCR025C			protein_coding
SPT5_T0_R2_peak_620	XVI	76359	76600	+	48	NA	promoter-TSS (YPL249C-A)	protein_coding-promoter-TSS (YPL249C-A)	-240	YPL249C-A	YPL249C-A	YPL249C-A			RPL36B			protein_coding
SPT5_T0_R2_peak_299	VII	882417	884450	+	48	NA	exon (YGR192C, exon 1 of 1)	protein_coding-exon (YGR192C, exon 1 of 1)	377	YGR192C	YGR192C	YGR192C			TDH3			protein_coding
SPT5_T0_R2_peak_165	IX	257240	257544	+	48	NA	promoter-TSS (YIL052C)	protein_coding-promoter-TSS (YIL052C)	-329	YIL052C	YIL052C	YIL052C			RPL34B			protein_coding
SPT5_T0_R2_peak_487	XIII	306081	306868	+	47	NA	promoter-TSS (YMR016C)	protein_coding-promoter-TSS (YMR016C)	-881	YMR016C	YMR016C	YMR016C			SOK2			protein_coding
SPT5_T0_R2_peak_556	XV	27484	28104	+	47	NA	TTS (YOL155C)	protein_coding-TTS (YOL155C)	710	YOL155W-A	YOL155W-A	YOL155W-A			YOL155W-A			protein_coding
SPT5_T0_R2_peak_499	XIII	551104	551840	+	47	NA	promoter-TSS (YMR142C)	protein_coding-promoter-TSS (YMR142C)	-265	YMR142C	YMR142C	YMR142C			RPL13B			protein_coding
SPT5_T0_R2_peak_183	MT	36642	36986	+	47	NA	exon (Q0105, exon 1 of 6)	protein_coding-exon (Q0105, exon 1 of 6)	274	Q0110	Q0110	Q0110			BI2			protein_coding
SPT5_T0_R2_peak_41	II	378655	378988	+	47	NA	promoter-TSS (YBR069C)	protein_coding-promoter-TSS (YBR069C)	-388	YBR069C	YBR069C	YBR069C			TAT1			protein_coding
SPT5_T0_R2_peak_5	I	45352	45821	+	47	NA	promoter-TSS (YAL053W)	protein_coding-promoter-TSS (YAL053W)	-313	YAL053W	YAL053W	YAL053W			FLC2			protein_coding
SPT5_T0_R2_peak_241	VI	90398	90919	+	46	NA	promoter-TSS (YFL023W)	protein_coding-promoter-TSS (YFL023W)	-313	YFL024C	YFL024C	YFL024C			EPL1			protein_coding
SPT5_T0_R2_peak_393	XI	258395	258894	+	46	NA	promoter-TSS (YKL096W-A)	protein_coding-promoter-TSS (YKL096W-A)	269	YKL097C	YKL097C	YKL097C			YKL097C			protein_coding
SPT5_T0_R2_peak_7	I	70957	73210	+	46	NA	TTS (YAL037C-B)	protein_coding-TTS (YAL037C-B)	297	YAL038W	YAL038W	YAL038W			CDC19			protein_coding
SPT5_T0_R2_peak_12	I	189997	190773	+	46	NA	exon (YAR035W, exon 1 of 1)	protein_coding-exon (YAR035W, exon 1 of 1)	192	YAR035W	YAR035W	YAR035W			YAT1			protein_coding
SPT5_T0_R2_peak_383	XI	99347	100067	+	46	NA	promoter-TSS (YKL182W)	protein_coding-promoter-TSS (YKL182W)	-964	YKL182W	YKL182W	YKL182W			FAS1			protein_coding
SPT5_T0_R2_peak_619	XVI	74573	75548	+	46	NA	promoter-TSS (YPL250C)	protein_coding-promoter-TSS (YPL250C)	-341	YPL250C	YPL250C	YPL250C			ICY2			protein_coding
SPT5_T0_R2_peak_200	V	117536	118084	+	46	NA	promoter-TSS (YEL020C-B)	protein_coding-promoter-TSS (YEL020C-B)	225	RPR1	RPR1	RPR1			RPR1			ncRNA
SPT5_T0_R2_peak_252	VII	23294	23740	+	45	NA	promoter-TSS (YGL253W)	protein_coding-promoter-TSS (YGL253W)	-418	YGL253W	YGL253W	YGL253W			HXK2			protein_coding
SPT5_T0_R2_peak_424	XII	187367	187688	+	45	NA	promoter-TSS (YLR023C)	protein_coding-promoter-TSS (YLR023C)	-398	YLR023C	YLR023C	YLR023C			IZH3			protein_coding
SPT5_T0_R2_peak_156	IX	138342	139497	+	45	NA	promoter-TSS (YIL118W)	protein_coding-promoter-TSS (YIL118W)	-833	YIL118W	YIL118W	YIL118W			RHO3			protein_coding
SPT5_T0_R2_peak_291	VII	774440	774693	+	45	NA	promoter-TSS (YGR143W)	protein_coding-promoter-TSS (YGR143W)	217	tA(AGC)G	tA(AGC)G	tA(AGC)G			tA(AGC)G			tRNA
SPT5_T0_R2_peak_431	XII	489373	491014	+	44	NA	promoter-TSS (YLR162W-A)	protein_coding-promoter-TSS (YLR162W-A)	-213	YLR162W-A	YLR162W-A	YLR162W-A			RRT15			protein_coding
SPT5_T0_R2_peak_591	XV	742293	742592	+	44	NA	promoter-TSS (YOR211C)	protein_coding-promoter-TSS (YOR211C)	-468	YOR212W	YOR212W	YOR212W			STE4			protein_coding
SPT5_T0_R2_peak_169	IX	332746	333583	+	44	NA	promoter-TSS (YIL011W)	protein_coding-promoter-TSS (YIL011W)	153	YIL012W	YIL012W	YIL012W			YIL012W			protein_coding
SPT5_T0_R2_peak_267	VII	371078	371467	+	44	NA	promoter-TSS (YGL071W)	protein_coding-promoter-TSS (YGL071W)	90	YGL072C	YGL072C	YGL072C			YGL072C			protein_coding
SPT5_T0_R2_peak_597	XV	836797	837244	+	44	NA	promoter-TSS (YOR273C)	protein_coding-promoter-TSS (YOR273C)	-589	YOR273C	YOR273C	YOR273C			TPO4			protein_coding
SPT5_T0_R2_peak_572	XV	253711	254096	+	44	NA	promoter-TSS (YOL039W)	protein_coding-promoter-TSS (YOL039W)	-326	YOL040C	YOL040C	YOL040C			RPS15			protein_coding
SPT5_T0_R2_peak_483	XIII	271563	272117	+	44	NA	promoter-TSS (YMR001C)	protein_coding-promoter-TSS (YMR001C)	-263	YMR001C-A	YMR001C-A	YMR001C-A			YMR001C-A			protein_coding
SPT5_T0_R2_peak_172	IX	383813	384517	+	44	NA	promoter-TSS (YIR017C)	protein_coding-promoter-TSS (YIR017C)	-46	YIR017C	YIR017C	YIR017C			MET28			protein_coding
SPT5_T0_R2_peak_287	VII	726575	726874	+	44	NA	promoter-TSS (YGR117C)	protein_coding-promoter-TSS (YGR117C)	-245	YGR117C	YGR117C	YGR117C			YGR117C			protein_coding
SPT5_T0_R2_peak_600	XV	882081	882425	+	44	NA	promoter-TSS (YOR302W)	protein_coding-promoter-TSS (YOR302W)	-512	YOR302W	YOR302W	YOR302W			YOR302W			protein_coding
SPT5_T0_R2_peak_163	IX	248768	249868	+	44	NA	promoter-TSS (YIL056W)	protein_coding-promoter-TSS (YIL056W)	468	tS(UGA)I	tS(UGA)I	tS(UGA)I			SUP17			tRNA
SPT5_T0_R2_peak_542	XIV	559240	559625	+	43	NA	promoter-TSS (YNL036W)	protein_coding-promoter-TSS (YNL036W)	-382	YNL036W	YNL036W	YNL036W			NCE103			protein_coding
SPT5_T0_R2_peak_464	XII	1028061	1028912	+	42	NA	promoter-TSS (YLR447C)	protein_coding-promoter-TSS (YLR447C)	-368	YLR448W	YLR448W	YLR448W			RPL6B			protein_coding
SPT5_T0_R2_peak_645	XVI	699984	700462	+	42	NA	promoter-TSS (YPR080W)	protein_coding-promoter-TSS (YPR080W)	-371	YPR080W	YPR080W	YPR080W			TEF1			protein_coding
SPT5_T0_R2_peak_334	VIII	450763	453437	+	42	NA	promoter-TSS (YHR173C)	protein_coding-promoter-TSS (YHR173C)	-772	YHR175W	YHR175W	YHR175W			CTR2			protein_coding
SPT5_T0_R2_peak_147	IV	1468675	1469268	+	42	NA	promoter-TSS (YDR508C)	protein_coding-promoter-TSS (YDR508C)	-429	YDR510W	YDR510W	YDR510W			SMT3			protein_coding
SPT5_T0_R2_peak_357	X	294374	295071	+	42	NA	promoter-TSS (YJL076W)	protein_coding-promoter-TSS (YJL076W)	-77	YJL077W-A	YJL077W-A	YJL077W-A			YJL077W-A			protein_coding
SPT5_T0_R2_peak_491	XIII	388069	388570	+	42	NA	promoter-TSS (YMR056C)	protein_coding-promoter-TSS (YMR056C)	-75	YMR056C	YMR056C	YMR056C			AAC1			protein_coding
SPT5_T0_R2_peak_581	XV	504599	505596	+	41	NA	promoter-TSS (YOR095C)	protein_coding-promoter-TSS (YOR095C)	-697	YOR096W	YOR096W	YOR096W			RPS7A			protein_coding
SPT5_T0_R2_peak_306	VII	986931	987786	+	41	NA	promoter-TSS (YGR249W)	protein_coding-promoter-TSS (YGR249W)	-691	YGR249W	YGR249W	YGR249W			MGA1			protein_coding
SPT5_T0_R2_peak_653	XVI	856928	857146	+	41	NA	promoter-TSS (YPR158C-C)	protein_coding-promoter-TSS (YPR158C-C)	135	tA(AGC)P	tA(AGC)P	tA(AGC)P			tA(AGC)P			tRNA
SPT5_T0_R2_peak_501	XIII	556823	557425	+	41	NA	promoter-TSS (YMR145C)	protein_coding-promoter-TSS (YMR145C)	-649	YMR145C	YMR145C	YMR145C			NDE1			protein_coding
SPT5_T0_R2_peak_349	X	157352	158021	+	40	NA	promoter-TSS (YJL134W)	protein_coding-promoter-TSS (YJL134W)	-191	YJL135W	YJL135W	YJL135W			YJL135W			protein_coding
SPT5_T0_R2_peak_242	VI	95148	95966	+	40	NA	promoter-TSS (YFL021W)	protein_coding-promoter-TSS (YFL021W)	-409	YFL021W	YFL021W	YFL021W			GAT1			protein_coding
