chr	start	end	interval_id	num_peaks	num_samples	SPT5_T0_R1.bool	SPT5_T0_R2.bool	SPT5_T15_R1.bool	SPT5_T15_R2.bool	SPT5_T0_R1.fc	SPT5_T0_R2.fc	SPT5_T15_R1.fc	SPT5_T15_R2.fc	SPT5_T0_R1.qval	SPT5_T0_R2.qval	SPT5_T15_R1.qval	SPT5_T15_R2.qval	SPT5_T0_R1.pval	SPT5_T0_R2.pval	SPT5_T15_R1.pval	SPT5_T15_R2.pval	SPT5_T0_R1.start	SPT5_T0_R2.start	SPT5_T15_R1.start	SPT5_T15_R2.start	SPT5_T0_R1.end	SPT5_T0_R2.end	SPT5_T15_R1.end	SPT5_T15_R2.end
I	70939	73210	Interval_11	4	4	TRUE	TRUE	TRUE	TRUE	4.60767	5.03374	3.86116	3.71897	4.1915	4.66754	3.03616	2.59088	6.30901	6.88823	4.94427	4.49687	70939	70956	70948	70956	72611	73210	71336	71545
I	75955	76270	Interval_12	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.89784	NA	NA	NA	1.40937	NA	NA	NA	3.05577	NA	NA	NA	75955	NA	NA	NA	76270
I	114667	114979	Interval_13	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	2.85788	NA	NA	NA	1.44752	NA	NA	NA	3.06283	NA	NA	NA	114667	NA	NA	NA	114979	NA
I	138500	139312	Interval_14	4	4	TRUE	TRUE	TRUE	TRUE	3.0619	3.09186	3.15834	3.53867	1.62648	1.62361	1.8375	2.38271	3.30898	3.36722	3.52854	4.21465	138928	138567	138500	139041	139305	139218	139312	139312
I	141544	142429	Interval_15	3	3	TRUE	TRUE	TRUE	FALSE	4.76567	4.14992	2.96144	NA	4.437	3.74382	1.64771	NA	6.58428	5.80194	3.30527	NA	141644	141752	141544	NA	142429	142140	141984	NA
I	143455	143836	Interval_16	2	2	TRUE	TRUE	FALSE	FALSE	2.93426	3.15946	NA	NA	1.52209	1.71325	NA	NA	3.1858	3.48677	NA	NA	143455	143455	NA	NA	143686	143836	NA	NA
I	165808	166473	Interval_17	3	3	TRUE	TRUE	TRUE	FALSE	3.24802	4.39899	3.73556	NA	1.84161	3.57207	2.63802	NA	3.60663	5.6688	4.50962	NA	166198	165808	166202	NA	166459	166473	166422	NA
I	180920	181465	Interval_18	2	2	TRUE	FALSE	TRUE	FALSE	4.62473	NA	3.00946	NA	4.30393	NA	1.70573	NA	6.43298	NA	3.37	NA	180920	NA	181079	NA	181465	NA	181288	NA
I	182293	182670	Interval_19	1	1	TRUE	FALSE	FALSE	FALSE	2.93906	NA	NA	NA	1.49305	NA	NA	NA	3.1435	NA	NA	NA	182293	NA	NA	NA	182670	NA	NA	NA
I	189996	190773	Interval_20	4	4	TRUE	TRUE	TRUE	TRUE	3.54887	4.83022	3.57276	3.12423	2.72829	4.67292	3.40475	1.89765	4.63162	6.8803	5.35468	3.6303	190074	189996	190037	190095	190558	190773	190671	190541
I	198353	198701	Interval_21	1	1	FALSE	TRUE	FALSE	FALSE	NA	3.16643	NA	NA	NA	1.76978	NA	NA	NA	3.50982	NA	NA	NA	198353	NA	NA	NA	198701	NA	NA
I	210913	211168	Interval_22	2	2	FALSE	TRUE	FALSE	TRUE	NA	3.2475	NA	4.01404	NA	1.78063	NA	3.16594	NA	3.59536	NA	5.16695	NA	210958	NA	210913	NA	211168	NA	211167
I	229417	230188	Interval_23	3	3	TRUE	TRUE	FALSE	TRUE	4.07034	6.94697	NA	3.27045	3.61611	8.68761	NA	2.06247	5.65986	11.3393	NA	3.83633	229504	229417	NA	229689	230108	230188	NA	230102
II	66	353	Interval_24	1	1	FALSE	TRUE	FALSE	FALSE	NA	4.68873	NA	NA	NA	4.04112	NA	NA	NA	6.1889	NA	NA	NA	66	NA	NA	NA	353	NA	NA
II	5639	6536	Interval_25	4	4	TRUE	TRUE	TRUE	TRUE	8.08211	6.0372	3.78119	3.78531	10.9972	6.59101	2.83686	2.73965	13.9667	9.03058	4.72865	4.66071	5656	5639	5785	5783	6374	6374	6292	6536
II	8286	8492	Interval_26	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	3.06045	NA	NA	NA	1.64909	NA	NA	NA	3.33293	NA	NA	NA	8286	NA	NA	NA	8492	NA
II	28401	28960	Interval_27	3	3	TRUE	FALSE	TRUE	TRUE	2.88414	NA	3.70348	3.02843	1.36522	NA	2.62271	1.58004	3.01613	NA	4.47451	3.271	28501	NA	28510	28401	28920	NA	28898	28960
II	36132	36651	Interval_28	4	4	TRUE	TRUE	TRUE	TRUE	5.31744	3.62622	4.57685	3.33795	5.20942	2.35358	4.29946	2.04309	7.51245	4.2547	6.39465	3.83215	36132	36411	36302	36149	36625	36651	36625	36584
II	45005	45728	Interval_29	4	4	TRUE	TRUE	TRUE	TRUE	4.42927	4.15147	4.31006	3.13421	3.7366	3.25026	3.58709	1.78321	5.81075	5.25005	5.60155	3.46906	45005	45097	45100	45100	45728	45659	45343	45634
II	46650	47901	Interval_30	2	2	TRUE	TRUE	FALSE	FALSE	2.64576	3.4198	NA	NA	1.148	2.13325	NA	NA	2.71143	3.94085	NA	NA	46650	47014	NA	NA	47479	47901	NA	NA
II	59387	59646	Interval_31	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.71729	NA	NA	NA	1.22732	NA	NA	NA	2.77417	NA	NA	NA	59387	NA	NA	NA	59646
II	60827	61149	Interval_32	3	3	TRUE	TRUE	FALSE	TRUE	4.00005	4.17361	NA	4.31027	2.96123	3.13169	NA	3.46558	4.8847	5.18335	NA	5.54962	60879	60859	NA	60827	61112	61140	NA	61149
II	74634	75028	Interval_33	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.00459	NA	NA	NA	1.62315	NA	NA	NA	3.26925	NA	NA	NA	74634	NA	NA	NA	75028
II	89290	89895	Interval_34	2	2	TRUE	TRUE	FALSE	FALSE	3.57149	5.26029	NA	NA	2.6719	5.43281	NA	NA	4.55582	7.70745	NA	NA	89290	89525	NA	NA	89790	89895	NA	NA
II	100633	101995	Interval_35	3	3	FALSE	TRUE	TRUE	TRUE	NA	3.30108	3.25286	2.62764	NA	1.91244	1.96142	1.11534	NA	3.72167	3.71253	2.62907	NA	101371	100633	101364	NA	101774	101995	101751
II	107529	107778	Interval_36	1	1	TRUE	FALSE	FALSE	FALSE	3.3355	NA	NA	NA	1.97834	NA	NA	NA	3.7574	NA	NA	NA	107529	NA	NA	NA	107778	NA	NA	NA
II	116596	117667	Interval_37	4	4	TRUE	TRUE	TRUE	TRUE	3.09881	3.25504	2.68419	3.62583	1.71069	1.83328	1.2249	2.49274	3.41126	3.63448	2.79395	4.36775	116596	116933	116910	116607	117360	117237	117667	117245
II	131935	132168	Interval_38	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	2.91306	NA	NA	NA	1.50898	NA	NA	NA	3.12816	NA	NA	NA	131935	NA	NA	NA	132168	NA
II	135743	136344	Interval_39	4	4	TRUE	TRUE	TRUE	TRUE	5.7679	5.65709	4.65816	5.5138	6.02882	5.85693	4.36058	5.88178	8.44096	8.22769	6.47084	8.39991	135745	135798	135821	135743	136255	136265	136251	136344
II	140406	141186	Interval_40	4	4	TRUE	TRUE	TRUE	TRUE	5.0843	3.6847	4.57479	5.48391	4.68066	2.48502	4.07244	5.99224	6.91363	4.3985	6.14824	8.51455	140496	140485	140406	140492	141186	141185	141155	141142
II	159603	160068	Interval_41	4	4	TRUE	TRUE	TRUE	TRUE	4.43094	3.10126	5.73729	4.98718	3.66812	1.66367	6.30982	4.81557	5.70652	3.39681	8.69214	7.12418	159603	159761	159776	159774	160050	159960	160068	160068
II	164125	165704	Interval_42	4	4	TRUE	TRUE	TRUE	TRUE	5.52743	3.30066	4.78574	3.54111	5.84171	2.10214	4.83237	2.57961	8.19608	3.91509	7.00916	4.47096	164176	164243	164213	164125	165549	165539	165704	165549
II	167919	168346	Interval_43	4	4	TRUE	TRUE	TRUE	TRUE	5.80789	5.10248	4.94803	5.9192	6.88981	5.03475	5.6358	6.5781	9.41123	7.23999	7.91891	9.21882	167949	167923	167960	167919	168326	168306	168279	168346
II	171371	171544	Interval_44	1	1	TRUE	FALSE	FALSE	FALSE	2.88566	NA	NA	NA	1.39612	NA	NA	NA	3.01843	NA	NA	NA	171371	NA	NA	NA	171544	NA	NA	NA
II	191927	192287	Interval_45	1	1	TRUE	FALSE	FALSE	FALSE	2.71849	NA	NA	NA	1.18434	NA	NA	NA	2.7604	NA	NA	NA	191927	NA	NA	NA	192287	NA	NA	NA
II	193448	194227	Interval_46	4	4	TRUE	TRUE	TRUE	TRUE	3.8186	2.85681	5.12742	3.53628	2.75543	1.49873	5.65007	2.79653	4.66884	3.20636	7.93283	4.72984	193600	193448	193560	193597	193827	193863	193911	194227
II	197274	197563	Interval_47	1	1	TRUE	FALSE	FALSE	FALSE	4.07199	NA	NA	NA	3.07345	NA	NA	NA	5.02805	NA	NA	NA	197274	NA	NA	NA	197563	NA	NA	NA
II	201908	203582	Interval_48	4	4	TRUE	TRUE	TRUE	TRUE	3.08505	3.65541	3.77139	3.40178	1.67928	2.53514	2.91779	2.4158	3.37065	4.44013	4.80648	4.26364	201908	201961	201941	202431	203582	203359	203502	203352
II	221347	221558	Interval_49	1	1	FALSE	TRUE	FALSE	FALSE	NA	3.31972	NA	NA	NA	1.88867	NA	NA	NA	3.71044	NA	NA	NA	221347	NA	NA	NA	221558	NA	NA
II	227170	227640	Interval_50	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	3.21664	NA	NA	NA	1.98978	NA	NA	NA	3.72278	NA	NA	NA	227170	NA	NA	NA	227640	NA
II	234949	236587	Interval_51	2	2	TRUE	TRUE	FALSE	FALSE	3.42835	2.82621	NA	NA	2.08574	1.28821	NA	NA	3.89929	2.92504	NA	NA	236060	234949	NA	NA	236587	236468	NA	NA
II	237611	238443	Interval_52	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.70318	NA	NA	NA	1.17444	NA	NA	NA	2.74902	NA	NA	NA	237611	NA	NA	NA	238443
II	247743	247979	Interval_53	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.68778	NA	NA	NA	1.18072	NA	NA	NA	2.72175	NA	NA	NA	247743	NA	NA	NA	247979
II	251077	251637	Interval_54	4	4	TRUE	TRUE	TRUE	TRUE	3.30078	3.49118	2.8861	3.25183	2.02786	2.12162	1.49083	1.93109	3.78895	3.99248	3.11495	3.68163	251339	251106	251077	251325	251620	251500	251637	251530
II	255177	256429	Interval_55	3	3	TRUE	TRUE	FALSE	TRUE	4.01436	3.25123	NA	3.33753	3.06033	1.83071	NA	2.03214	5.01264	3.61554	NA	3.8089	255803	255177	NA	255842	256251	256429	NA	256140
II	266295	266675	Interval_56	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.11757	NA	NA	NA	1.69186	NA	NA	NA	3.41272	NA	NA	NA	266295	NA	NA	NA	266675
II	269706	270138	Interval_57	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	4.70014	2.79606	NA	NA	5.19283	1.33024	NA	NA	7.41457	2.9248	NA	NA	269706	269756	NA	NA	270138	269982
II	281016	281255	Interval_58	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	3.56115	NA	NA	NA	2.37754	NA	NA	NA	4.20186	NA	NA	NA	281016	NA	NA	NA	281255	NA
II	288191	288537	Interval_59	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	2.93877	NA	NA	NA	1.52433	NA	NA	NA	3.15622	NA	NA	NA	288191	NA	NA	NA	288537	NA
II	290065	290382	Interval_60	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.58139	NA	NA	NA	1.06058	NA	NA	NA	2.55574	NA	NA	NA	290065	NA	NA	NA	290382
II	292033	292350	Interval_61	1	1	TRUE	FALSE	FALSE	FALSE	3.13297	NA	NA	NA	1.71293	NA	NA	NA	3.41805	NA	NA	NA	292033	NA	NA	NA	292350	NA	NA	NA
II	307064	307525	Interval_62	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.56141	NA	NA	NA	1.0814	NA	NA	NA	2.62207	NA	NA	NA	307064	NA	NA	NA	307525
II	332483	332717	Interval_63	2	2	TRUE	FALSE	FALSE	TRUE	3.88196	NA	NA	3.38194	2.75599	NA	NA	2.05822	4.68074	NA	NA	3.86233	332527	NA	NA	332483	332717	NA	NA	332717
II	340638	342433	Interval_64	4	4	TRUE	TRUE	TRUE	TRUE	3.51421	2.99141	3.57997	2.95951	2.27653	1.49213	2.43861	1.5861	4.10189	3.22614	4.26487	3.26589	341305	341669	340638	340916	342431	342415	342381	342433
II	347392	347728	Interval_65	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.5589	NA	NA	NA	3.87118	NA	NA	NA	6.04091	NA	NA	NA	347392	NA	NA	NA	347728
II	350849	351071	Interval_66	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	3.35782	3.71718	NA	NA	2.05413	2.65611	NA	NA	3.83143	4.53398	NA	NA	350849	350849	NA	NA	351071	351069
II	356274	356764	Interval_67	2	2	FALSE	TRUE	FALSE	TRUE	NA	3.15021	NA	3.02835	NA	1.7087	NA	1.60935	NA	3.44849	NA	3.27689	NA	356274	NA	356343	NA	356764	NA	356741
II	370907	371755	Interval_68	4	4	TRUE	TRUE	TRUE	TRUE	3.40503	2.94299	4.37431	3.50546	2.04515	1.38442	3.76457	2.35187	3.85438	3.10797	5.79354	4.19198	370946	371154	370907	370916	371345	371712	371755	371650
II	373231	374619	Interval_69	3	3	TRUE	TRUE	FALSE	TRUE	2.97586	3.08941	NA	2.76211	1.46676	1.62368	NA	1.27796	3.16028	3.36082	NA	2.84275	373335	373613	NA	373231	373619	374619	NA	373535
II	375452	376745	Interval_70	4	4	TRUE	TRUE	TRUE	TRUE	3.58982	3.04947	3.77009	4.24789	2.45448	1.55954	3.02433	3.58346	4.2969	3.2878	4.90874	5.6786	375836	376064	375452	375813	376220	376745	376320	376286
II	378654	379231	Interval_71	4	4	TRUE	TRUE	TRUE	TRUE	5.22949	5.0379	5.87278	3.79185	4.958	4.7008	6.53346	2.77368	7.22965	6.91271	8.97845	4.69961	378655	378654	378654	378710	379231	378988	379017	379029
II	391614	392847	Interval_72	4	4	TRUE	TRUE	TRUE	TRUE	3.45866	4.41865	3.52748	4.16884	2.24499	3.67268	2.8171	3.46187	4.06158	5.75565	4.68307	5.51899	392020	391614	392326	391743	392847	392727	392699	392716
II	405548	406414	Interval_73	2	2	TRUE	FALSE	FALSE	TRUE	3.45093	NA	NA	3.39762	2.26174	NA	NA	2.24503	4.08478	NA	NA	4.02448	406024	NA	NA	405548	406262	NA	NA	406414
II	408362	408951	Interval_74	4	4	TRUE	TRUE	TRUE	TRUE	4.38796	2.92403	4.19718	3.83446	3.91842	1.40146	3.95442	3.00525	6.00556	3.10738	5.97964	4.96871	408511	408519	408362	408429	408892	408840	408951	408951
II	410640	410893	Interval_75	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.91762	NA	NA	NA	1.49542	NA	NA	NA	3.10626	NA	NA	NA	410640	NA	NA	NA	410893
II	414588	415773	Interval_76	4	4	TRUE	TRUE	TRUE	TRUE	3.74268	4.1744	4.93349	3.50246	2.63747	3.17821	4.82885	2.29007	4.49484	5.22444	7.0025	4.12903	415397	415362	414588	415286	415773	415603	415732	415753
II	419308	420022	Interval_77	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	4.33622	4.60368	NA	NA	3.83354	4.12481	NA	NA	5.85645	6.30767	NA	NA	419308	419318	NA	NA	419955	420022
II	426572	427354	Interval_78	3	3	TRUE	FALSE	TRUE	TRUE	4.33001	NA	4.34519	3.99167	4.03549	NA	4.29299	3.66698	6.09683	NA	6.38431	5.74445	426572	NA	426793	426856	427079	NA	427052	427354
II	452195	452623	Interval_79	4	4	TRUE	TRUE	TRUE	TRUE	3.43479	3.33999	3.81985	4.00102	2.14809	1.99026	2.81116	3.09855	3.95263	3.77967	4.70681	5.08249	452213	452195	452207	452217	452465	452514	452623	452434
II	454227	454928	Interval_80	1	1	TRUE	FALSE	FALSE	FALSE	3.38597	NA	NA	NA	2.00982	NA	NA	NA	3.81626	NA	NA	NA	454227	NA	NA	NA	454928	NA	NA	NA
II	458461	458743	Interval_81	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.18738	NA	NA	NA	3.27108	NA	NA	NA	5.32018	NA	NA	NA	458461	NA	NA	NA	458743
II	461817	461997	Interval_82	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.18052	NA	NA	NA	1.90399	NA	NA	NA	3.62858	NA	NA	NA	461817	NA	NA	NA	461997
II	466059	467131	Interval_83	4	4	TRUE	TRUE	TRUE	TRUE	4.41398	3.47086	4.89469	3.96035	3.61818	2.15349	4.73612	3.0705	5.67733	3.98791	6.91008	5.04388	466062	466208	466150	466059	467101	466599	467131	467131
II	474114	474466	Interval_84	1	1	FALSE	TRUE	FALSE	FALSE	NA	2.92503	NA	NA	NA	1.42268	NA	NA	NA	3.11483	NA	NA	NA	474114	NA	NA	NA	474466	NA	NA
II	476263	477602	Interval_85	4	4	TRUE	TRUE	TRUE	TRUE	5.24507	3.9138	4.58794	4.10365	5.28843	2.79507	4.48824	3.43335	7.57598	4.76892	6.60717	5.47789	477121	476792	476716	476263	477485	477602	477464	477440
II	483526	483832	Interval_86	1	1	FALSE	TRUE	FALSE	FALSE	NA	3.13743	NA	NA	NA	1.71778	NA	NA	NA	3.48534	NA	NA	NA	483526	NA	NA	NA	483832	NA	NA
II	486633	486863	Interval_87	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	2.78986	NA	NA	NA	1.34628	NA	NA	NA	2.93422	NA	NA	NA	486633	NA	NA	NA	486863	NA
II	490079	491124	Interval_88	4	4	TRUE	TRUE	TRUE	TRUE	3.11594	2.90822	3.77547	4.56477	1.8771	1.35267	3.43187	4.09973	3.60667	3.05298	5.38514	6.29555	490608	490913	490165	490079	491073	491118	491124	491038
II	501290	501742	Interval_89	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	2.51922	NA	NA	NA	1.06845	NA	NA	NA	2.61574	NA	NA	NA	501290	NA	NA	NA	501742	NA
II	504534	504766	Interval_90	2	2	TRUE	FALSE	TRUE	FALSE	3.79102	NA	4.36866	NA	2.61311	NA	3.67305	NA	4.51724	NA	5.69883	NA	504562	NA	504534	NA	504748	NA	504766	NA
II	539881	540085	Interval_91	1	1	FALSE	TRUE	FALSE	FALSE	NA	2.99142	NA	NA	NA	1.44279	NA	NA	NA	3.1852	NA	NA	NA	539881	NA	NA	NA	540085	NA	NA
II	544578	544832	Interval_92	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.50511	NA	NA	NA	2.30463	NA	NA	NA	4.14148	NA	NA	NA	544578	NA	NA	NA	544832
II	547560	547845	Interval_93	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.66408	NA	NA	NA	1.22921	NA	NA	NA	2.79289	NA	NA	NA	547560	NA	NA	NA	547845
II	554618	556182	Interval_94	4	4	TRUE	TRUE	TRUE	TRUE	5.39585	4.4153	4.49302	3.70311	5.52555	3.89808	4.07228	2.743	7.83143	6.00355	6.1421	4.65967	554747	554618	554788	554751	556178	556182	556026	555943
II	560640	561554	Interval_95	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	3.87506	2.90303	NA	NA	2.89846	1.48395	NA	NA	4.80686	3.12712	NA	NA	561322	560640	NA	NA	561554	561360
II	564885	565584	Interval_96	4	4	TRUE	TRUE	TRUE	TRUE	3.85623	3.16966	3.60313	3.19695	2.7231	1.74393	2.43503	1.96945	4.64153	3.53256	4.27288	3.7104	564915	564885	564904	564907	565190	565520	565525	565584
II	589243	589599	Interval_97	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	3.22752	3.21257	NA	NA	2.13697	1.87729	NA	NA	3.89424	3.59192	NA	NA	589243	589287	NA	NA	589558	589599
II	592895	593094	Interval_98	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.77035	NA	NA	NA	2.69088	NA	NA	NA	4.59484	NA	NA	NA	592895	NA	NA	NA	593094
II	595532	596000	Interval_99	3	3	TRUE	FALSE	TRUE	TRUE	3.28826	NA	4.50835	5.00621	2.10267	NA	4.94089	4.87585	3.89098	NA	7.13162	7.17602	595709	NA	595695	595532	595890	NA	595896	596000
II	602093	602463	Interval_100	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.40548	NA	NA	NA	2.12191	NA	NA	NA	3.93033	NA	NA	NA	602093	NA	NA	NA	602463
II	604185	604476	Interval_101	2	2	TRUE	FALSE	FALSE	TRUE	4.26499	NA	NA	3.47656	3.49476	NA	NA	2.22647	5.51712	NA	NA	4.05628	604234	NA	NA	604185	604428	NA	NA	604476
II	605449	606222	Interval_102	4	4	TRUE	TRUE	TRUE	TRUE	3.68446	3.5131	4.83989	3.52303	2.51204	2.20591	4.97122	2.29552	4.39194	4.08558	7.15147	4.13997	605887	605449	605865	605889	606127	606222	606171	606140
II	613041	615763	Interval_103	4	4	TRUE	TRUE	TRUE	TRUE	4.82815	3.33702	3.76155	3.25483	4.62023	2.02283	3.0723	1.98872	6.79213	3.826	4.9673	3.74456	614143	613041	614156	614116	614425	615289	615763	615611
II	624766	625658	Interval_104	4	4	TRUE	TRUE	TRUE	TRUE	3.63851	3.84202	3.82573	4.55524	2.4086	2.67025	2.79779	4.01044	4.26112	4.63444	4.68771	6.18626	624995	624845	624977	624766	625500	625658	625457	625649
II	628526	628822	Interval_105	4	4	TRUE	TRUE	TRUE	TRUE	3.21706	3.71893	4.50147	5.04664	1.79236	2.44594	3.89635	4.69185	3.55087	4.3869	5.9574	7.01008	628599	628604	628609	628526	628765	628822	628811	628812
II	633493	633855	Interval_106	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.25871	NA	NA	NA	1.92923	NA	NA	NA	3.67786	NA	NA	NA	633493	NA	NA	NA	633855
II	642682	643158	Interval_107	4	4	TRUE	TRUE	TRUE	TRUE	3.05277	3.26315	3.49525	3.01655	1.73387	1.84408	2.74813	1.60046	3.44408	3.63457	4.613	3.25994	642725	642682	642754	642709	642995	642967	643066	643158
II	644902	645469	Interval_108	1	1	TRUE	FALSE	FALSE	FALSE	3.34969	NA	NA	NA	2.16183	NA	NA	NA	3.9648	NA	NA	NA	644902	NA	NA	NA	645469	NA	NA	NA
II	662076	663160	Interval_109	3	3	TRUE	FALSE	TRUE	TRUE	3.08961	NA	3.05612	3.66724	1.67979	NA	1.73717	2.59095	3.37713	NA	3.41145	4.47958	662076	NA	662662	662099	662742	NA	663160	662853
II	668101	668843	Interval_110	4	4	TRUE	TRUE	TRUE	TRUE	2.89725	3.59701	2.73065	2.63097	1.47588	2.28307	1.376	1.07541	3.12337	4.18287	2.9849	2.62921	668327	668332	668101	668457	668843	668756	668793	668757
II	679934	681183	Interval_111	4	4	TRUE	TRUE	TRUE	TRUE	3.74108	3.40055	3.87195	3.46036	2.68256	2.07752	2.93403	2.36197	4.53466	3.89053	4.82604	4.1982	680103	679934	680161	680146	680978	681183	680508	680705
II	681847	682339	Interval_112	2	2	TRUE	FALSE	TRUE	FALSE	2.90671	NA	3.80212	NA	1.43043	NA	2.98228	NA	3.0611	NA	4.84507	NA	682018	NA	681847	NA	682339	NA	682303	NA
II	697483	698008	Interval_113	3	3	TRUE	TRUE	FALSE	TRUE	3.46183	3.4014	NA	3.29567	2.19519	2.16052	NA	2.13192	4.00396	3.99782	NA	3.92466	697521	697620	NA	697483	697939	698008	NA	697692
II	702265	702597	Interval_114	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.76146	NA	NA	NA	2.69255	NA	NA	NA	4.60272	NA	NA	NA	702265	NA	NA	NA	702597
II	706919	707298	Interval_115	1	1	TRUE	FALSE	FALSE	FALSE	3.07317	NA	NA	NA	1.63952	NA	NA	NA	3.31961	NA	NA	NA	706919	NA	NA	NA	707298	NA	NA	NA
II	718216	718908	Interval_116	2	2	TRUE	FALSE	FALSE	TRUE	3.09385	NA	NA	2.65984	1.69029	NA	NA	1.13536	3.39128	NA	NA	2.67633	718216	NA	NA	718519	718847	NA	NA	718908
II	726822	727155	Interval_117	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	3.03938	NA	NA	NA	1.59874	NA	NA	NA	3.28519	NA	NA	NA	726822	NA	NA	NA	727155	NA
II	760373	760562	Interval_118	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.75624	NA	NA	NA	1.24673	NA	NA	NA	2.82939	NA	NA	NA	760373	NA	NA	NA	760562
