PeakID (cmd=annotatePeaks.pl SPT5_T15_R1_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SPT5_T15_R1_peak_488	XII	5621	5844	+	58	NA	promoter-TSS (YLL066W-A)	protein_coding-promoter-TSS (YLL066W-A)	127	YLL066W-B	YLL066W-B	YLL066W-B			YLL066W-B			protein_coding
SPT5_T15_R1_peak_116	IV	410407	412959	+	57	NA	promoter-TSS (YDL022W)	protein_coding-promoter-TSS (YDL022W)	-142	YDL022W	YDL022W	YDL022W			GPD1			protein_coding
SPT5_T15_R1_peak_520	XII	645499	646061	+	57	NA	promoter-TSS (YLR254C)	protein_coding-promoter-TSS (YLR254C)	173	YLR255C	YLR255C	YLR255C			YLR255C			protein_coding
SPT5_T15_R1_peak_186	IX	99526	99837	+	56	NA	promoter-TSS (YIL133C)	protein_coding-promoter-TSS (YIL133C)	-265	YIL133C	YIL133C	YIL133C			RPL16A			protein_coding
SPT5_T15_R1_peak_26	II	193561	193911	+	56	NA	promoter-TSS (YBL015W)	protein_coding-promoter-TSS (YBL015W)	-386	YBL015W	YBL015W	YBL015W			ACH1			protein_coding
SPT5_T15_R1_peak_674	XV	216340	216733	+	56	NA	promoter-TSS (YOL059W)	protein_coding-promoter-TSS (YOL059W)	-399	YOL060C	YOL060C	YOL060C			MAM3			protein_coding
SPT5_T15_R1_peak_142	IV	893806	894407	+	56	NA	promoter-TSS (YDR216W)	protein_coding-promoter-TSS (YDR216W)	396	YDR215C	YDR215C	YDR215C			YDR215C			protein_coding
SPT5_T15_R1_peak_313	VII	591600	593246	+	56	NA	promoter-TSS (YGR050C)	protein_coding-promoter-TSS (YGR050C)	19	YGR050C	YGR050C	YGR050C			YGR050C			protein_coding
SPT5_T15_R1_peak_197	IX	254141	255618	+	56	NA	promoter-TSS (YIL053W)	protein_coding-promoter-TSS (YIL053W)	-236	YIL053W	YIL053W	YIL053W			GPP1			protein_coding
SPT5_T15_R1_peak_25	II	167961	168279	+	56	NA	promoter-TSS (YBL027W)	protein_coding-promoter-TSS (YBL027W)	-282	YBL028C	YBL028C	YBL028C			YBL028C			protein_coding
SPT5_T15_R1_peak_291	VII	270972	272921	+	56	NA	promoter-TSS (YGL125W)	protein_coding-promoter-TSS (YGL125W)	-574	YGL125W	YGL125W	YGL125W			MET13			protein_coding
SPT5_T15_R1_peak_221	V	174698	175002	+	55	NA	promoter-TSS (YER011W)	protein_coding-promoter-TSS (YER011W)	-398	YER011W	YER011W	YER011W			TIR1			protein_coding
SPT5_T15_R1_peak_72	III	77646	78633	+	55	NA	promoter-TSS (YCL025C)	protein_coding-promoter-TSS (YCL025C)	-220	YCL025C	YCL025C	YCL025C			AGP1			protein_coding
SPT5_T15_R1_peak_154	IV	1080494	1080797	+	55	NA	promoter-TSS (YDR309C)	protein_coding-promoter-TSS (YDR309C)	-446	YDR309C	YDR309C	YDR309C			GIC2			protein_coding
SPT5_T15_R1_peak_108	IV	330580	330956	+	55	NA	promoter-TSS (YDL070W)	protein_coding-promoter-TSS (YDL070W)	-256	YDL070W	YDL070W	YDL070W			BDF2			protein_coding
SPT5_T15_R1_peak_602	XIII	797998	798221	+	55	NA	promoter-TSS (YMR265C)	protein_coding-promoter-TSS (YMR265C)	-184	YMR265C	YMR265C	YMR265C			YMR265C			protein_coding
SPT5_T15_R1_peak_316	VII	609227	610314	+	55	NA	promoter-TSS (YGR060W)	protein_coding-promoter-TSS (YGR060W)	186	snR48	snR48	snR48			snR48			snoRNA
SPT5_T15_R1_peak_751	XVI	281701	282090	+	55	NA	promoter-TSS (YPL143W)	protein_coding-promoter-TSS (YPL143W)	-227	YPL143W	YPL143W	YPL143W			RPL33A			protein_coding
SPT5_T15_R1_peak_588	XIII	556910	557354	+	55	NA	promoter-TSS (YMR145C)	protein_coding-promoter-TSS (YMR145C)	-657	YMR145C	YMR145C	YMR145C			NDE1			protein_coding
SPT5_T15_R1_peak_123	IV	538772	539616	+	55	NA	promoter-TSS (YDR040C)	protein_coding-promoter-TSS (YDR040C)	-609	YDR041W	YDR041W	YDR041W			RSM10			protein_coding
SPT5_T15_R1_peak_529	XII	727802	728704	+	54	NA	promoter-TSS (YLR299C-A)	protein_coding-promoter-TSS (YLR299C-A)	-250	YLR299C-A	YLR299C-A	YLR299C-A			YLR299C-A			protein_coding
SPT5_T15_R1_peak_233	V	280364	281537	+	54	NA	promoter-TSS (YER062C)	protein_coding-promoter-TSS (YER062C)	-268	YER062C	YER062C	YER062C			GPP2			protein_coding
SPT5_T15_R1_peak_556	XIII	69820	70474	+	54	NA	promoter-TSS (YML100W)	protein_coding-promoter-TSS (YML100W)	9	YML100W-A	YML100W-A	YML100W-A			YML100W-A			protein_coding
SPT5_T15_R1_peak_653	XIV	651912	652325	+	53	NA	promoter-TSS (YNR013C)	protein_coding-promoter-TSS (YNR013C)	-347	YNR014W	YNR014W	YNR014W			YNR014W			protein_coding
SPT5_T15_R1_peak_704	XV	670879	671422	+	53	NA	promoter-TSS (YOR178C)	protein_coding-promoter-TSS (YOR178C)	-909	YOR178C	YOR178C	YOR178C			GAC1			protein_coding
SPT5_T15_R1_peak_201	IX	332711	333461	+	53	NA	promoter-TSS (YIL011W)	protein_coding-promoter-TSS (YIL011W)	75	YIL012W	YIL012W	YIL012W			YIL012W			protein_coding
SPT5_T15_R1_peak_575	XIII	352744	353395	+	53	NA	promoter-TSS (YMR043W)	protein_coding-promoter-TSS (YMR043W)	466	YMR042W	YMR042W	YMR042W			ARG80			protein_coding
SPT5_T15_R1_peak_436	X	662921	663637	+	53	NA	promoter-TSS (YJR127C)	protein_coding-promoter-TSS (YJR127C)	-220	YJR127C	YJR127C	YJR127C			RSF2			protein_coding
SPT5_T15_R1_peak_70	III	50361	50721	+	53	NA	promoter-TSS (YCL040W)	protein_coding-promoter-TSS (YCL040W)	-43	YCL042W	YCL042W	YCL042W			YCL042W			protein_coding
SPT5_T15_R1_peak_234	V	284452	285006	+	52	NA	promoter-TSS (YER064C)	protein_coding-promoter-TSS (YER064C)	-507	YER064C	YER064C	YER064C			VHR2			protein_coding
SPT5_T15_R1_peak_330	VII	766248	766557	+	52	NA	promoter-TSS (YGR138C)	protein_coding-promoter-TSS (YGR138C)	676	YGR139W	YGR139W	YGR139W			YGR139W			protein_coding
SPT5_T15_R1_peak_735	XVI	40244	40997	+	52	NA	promoter-TSS (YPL265W)	protein_coding-promoter-TSS (YPL265W)	-423	YPL265W	YPL265W	YPL265W			DIP5			protein_coding
SPT5_T15_R1_peak_638	XIV	426985	427485	+	52	NA	promoter-TSS (YNL103W)	protein_coding-promoter-TSS (YNL103W)	-481	YNL104C	YNL104C	YNL104C			LEU4			protein_coding
SPT5_T15_R1_peak_126	IV	550773	551608	+	52	NA	promoter-TSS (YDR046C)	protein_coding-promoter-TSS (YDR046C)	-614	YDR046C	YDR046C	YDR046C			BAP3			protein_coding
SPT5_T15_R1_peak_769	XVI	526856	527325	+	51	NA	promoter-TSS (YPL014W)	protein_coding-promoter-TSS (YPL014W)	-207	YPL015C	YPL015C	YPL015C			HST2			protein_coding
SPT5_T15_R1_peak_30	II	269707	270138	+	51	NA	promoter-TSS (YBR015C)	protein_coding-promoter-TSS (YBR015C)	-325	YBR016W	YBR016W	YBR016W			YBR016W			protein_coding
SPT5_T15_R1_peak_594	XIII	661702	662270	+	51	NA	promoter-TSS (YMR199W)	protein_coding-promoter-TSS (YMR199W)	-658	YMR199W	YMR199W	YMR199W			CLN1			protein_coding
SPT5_T15_R1_peak_341	VII	905019	905802	+	51	NA	promoter-TSS (YGR202C)	protein_coding-promoter-TSS (YGR202C)	173	YGR203W	YGR203W	YGR203W			YCH1			protein_coding
SPT5_T15_R1_peak_362	VIII	126035	126401	+	51	NA	promoter-TSS (YHR009C)	protein_coding-promoter-TSS (YHR009C)	-303	YHR010W	YHR010W	YHR010W			RPL27A			protein_coding
SPT5_T15_R1_peak_507	XII	423796	424529	+	51	NA	promoter-TSS (YLR139C)	protein_coding-promoter-TSS (YLR139C)	479	YLR141W	YLR141W	YLR141W			RRN5			protein_coding
SPT5_T15_R1_peak_522	XII	658128	658457	+	51	NA	promoter-TSS (YLR257W)	protein_coding-promoter-TSS (YLR257W)	-534	YLR257W	YLR257W	YLR257W			YLR257W			protein_coding
SPT5_T15_R1_peak_544	XII	932046	932690	+	50	NA	promoter-TSS (YLR406C)	protein_coding-promoter-TSS (YLR406C)	-13	YLR406C-A	YLR406C-A	YLR406C-A			YLR406C-A			protein_coding
SPT5_T15_R1_peak_631	XIV	335786	336174	+	50	NA	promoter-TSS (YNL160W)	protein_coding-promoter-TSS (YNL160W)	-565	YNL160W	YNL160W	YNL160W			YGP1			protein_coding
SPT5_T15_R1_peak_153	IV	1055950	1056239	+	50	NA	promoter-TSS (YDR297W)	protein_coding-promoter-TSS (YDR297W)	-457	YDR297W	YDR297W	YDR297W			SUR2			protein_coding
SPT5_T15_R1_peak_465	XI	321768	322979	+	50	NA	promoter-TSS (YKL062W)	protein_coding-promoter-TSS (YKL062W)	-855	YKL063C	YKL063C	YKL063C			YKL063C			protein_coding
SPT5_T15_R1_peak_91	IV	76796	77060	+	50	NA	promoter-TSS (YDL214C)	protein_coding-promoter-TSS (YDL214C)	-383	YDL214C	YDL214C	YDL214C			PRR2			protein_coding
SPT5_T15_R1_peak_5	I	68084	68916	+	50	NA	promoter-TSS (YAL040C)	protein_coding-promoter-TSS (YAL040C)	-980	YAL040C	YAL040C	YAL040C			CLN3			protein_coding
SPT5_T15_R1_peak_635	XIV	355367	355802	+	50	NA	promoter-TSS (YNL144C)	protein_coding-promoter-TSS (YNL144C)	-542	YNL144C	YNL144C	YNL144C			YNL144C			protein_coding
SPT5_T15_R1_peak_386	VIII	455696	455920	+	50	NA	promoter-TSS (YHR177W)	protein_coding-promoter-TSS (YHR177W)	-783	YHR177W	YHR177W	YHR177W			YHR177W			protein_coding
SPT5_T15_R1_peak_774	XVI	641193	641893	+	50	NA	promoter-TSS (YPR035W)	protein_coding-promoter-TSS (YPR035W)	-665	YPR035W	YPR035W	YPR035W			GLN1			protein_coding
SPT5_T15_R1_peak_449	XI	99433	100094	+	49	NA	promoter-TSS (YKL182W)	protein_coding-promoter-TSS (YKL182W)	-908	YKL182W	YKL182W	YKL182W			FAS1			protein_coding
SPT5_T15_R1_peak_695	XV	505175	505648	+	49	NA	promoter-TSS (YOR096W)	protein_coding-promoter-TSS (YOR096W)	-383	YOR096W	YOR096W	YOR096W			RPS7A			protein_coding
SPT5_T15_R1_peak_347	VII	976791	978270	+	49	NA	promoter-TSS (YGR241C)	protein_coding-promoter-TSS (YGR241C)	194	YGR243W	YGR243W	YGR243W			MPC3			protein_coding
SPT5_T15_R1_peak_407	X	220304	220796	+	49	NA	promoter-TSS (YJL106W)	protein_coding-promoter-TSS (YJL106W)	-534	YJL107C	YJL107C	YJL107C			YJL107C			protein_coding
SPT5_T15_R1_peak_738	XVI	74978	75491	+	49	NA	promoter-TSS (YPL250C)	protein_coding-promoter-TSS (YPL250C)	-468	YPL250W-A	YPL250W-A	YPL250W-A			YPL250W-A			protein_coding
SPT5_T15_R1_peak_55	II	605866	606171	+	49	NA	promoter-TSS (YBR190W)	protein_coding-promoter-TSS (YBR190W)	52	YBR190W	YBR190W	YBR190W			YBR190W			protein_coding
SPT5_T15_R1_peak_678	XV	273790	274815	+	49	NA	promoter-TSS (YOL025W)	protein_coding-promoter-TSS (YOL025W)	51	YOL026C	YOL026C	YOL026C			MIM1			protein_coding
SPT5_T15_R1_peak_54	II	595696	595896	+	49	NA	promoter-TSS (YBR182C)	protein_coding-promoter-TSS (YBR182C)	-241	YBR182C-A	YBR182C-A	YBR182C-A			YBR182C-A			protein_coding
SPT5_T15_R1_peak_252	V	467629	468213	+	48	NA	promoter-TSS (YER149C)	protein_coding-promoter-TSS (YER149C)	-449	YER150W	YER150W	YER150W			SPI1			protein_coding
SPT5_T15_R1_peak_715	XV	825169	826198	+	48	NA	promoter-TSS (YOR267C)	protein_coding-promoter-TSS (YOR267C)	249	YOR268C	YOR268C	YOR268C			YOR268C			protein_coding
SPT5_T15_R1_peak_643	XIV	495057	495427	+	48	NA	promoter-TSS (YNL069C)	protein_coding-promoter-TSS (YNL069C)	-241	YNL069C	YNL069C	YNL069C			RPL16B			protein_coding
SPT5_T15_R1_peak_666	XV	83022	83405	+	48	NA	promoter-TSS (YOL125W)	protein_coding-promoter-TSS (YOL125W)	-293	YOL126C	YOL126C	YOL126C			MDH2			protein_coding
SPT5_T15_R1_peak_698	XV	520443	520892	+	48	NA	promoter-TSS (YOR107W)	protein_coding-promoter-TSS (YOR107W)	-686	YOR107W	YOR107W	YOR107W			RGS2			protein_coding
SPT5_T15_R1_peak_761	XVI	425262	426205	+	48	NA	promoter-TSS (YPL066W)	protein_coding-promoter-TSS (YPL066W)	114	YPL067C	YPL067C	YPL067C			YPL067C			protein_coding
