# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-T" "2" "-p" "--donotsort" "-a" "SPT5.consensus_peaks.saf" "-o" "SPT5.consensus_peaks.featureCounts.txt" "SPT5_T0_R1.mLb.clN.bam" "SPT5_T15_R2.mLb.clN.bam" "SPT5_T15_R1.mLb.clN.bam" "SPT5_T0_R2.mLb.clN.bam" 
Geneid	Chr	Start	End	Strand	Length	SPT5_T0_R1.mLb.clN.bam	SPT5_T15_R2.mLb.clN.bam	SPT5_T15_R1.mLb.clN.bam	SPT5_T0_R2.mLb.clN.bam
Interval_178	IV	61368	62929	+	1562	13	52	75	7
Interval_179	IV	70258	70452	+	195	0	8	3	1
Interval_180	IV	74178	74504	+	327	4	10	9	2
Interval_181	IV	76795	77214	+	420	11	27	26	5
Interval_182	IV	83573	83840	+	268	4	7	8	3
Interval_183	IV	97987	98593	+	607	9	10	10	4
Interval_184	IV	106590	106959	+	370	5	12	10	1
Interval_185	IV	130263	130803	+	541	16	18	15	16
Interval_186	IV	132014	133304	+	1291	27	30	35	17
Interval_187	IV	134843	135123	+	281	2	11	8	4
Interval_188	IV	147760	148059	+	300	9	17	12	3
Interval_189	IV	159168	159437	+	270	2	10	2	1
Interval_190	IV	199621	199915	+	295	6	1	13	1
Interval_191	IV	202727	202918	+	192	0	8	0	0
Interval_192	IV	212134	213510	+	1377	13	24	13	8
Interval_193	IV	215773	216136	+	364	21	10	9	19
Interval_194	IV	217254	217565	+	312	13	23	15	13
Interval_195	IV	221398	222242	+	845	11	19	16	18
Interval_196	IV	228987	229336	+	350	6	10	4	4
Interval_197	IV	230713	230984	+	272	12	12	8	4
Interval_198	IV	234160	234816	+	657	22	26	23	12
Interval_199	IV	239598	240131	+	534	15	34	22	12
Interval_200	IV	241461	242147	+	687	7	13	14	3
Interval_201	IV	245475	245963	+	489	5	10	11	5
Interval_202	IV	258472	258781	+	310	4	5	16	1
Interval_203	IV	263956	264208	+	253	5	2	7	1
Interval_204	IV	272033	272249	+	217	2	8	2	0
Interval_205	IV	301363	303247	+	1885	19	24	24	9
Interval_206	IV	307890	308593	+	704	36	34	25	34
Interval_207	IV	314738	314973	+	236	1	3	8	0
Interval_208	IV	321561	322118	+	558	29	21	35	22
Interval_209	IV	330360	330970	+	611	21	25	28	17
Interval_210	IV	341300	341517	+	218	7	10	12	9
Interval_211	IV	356964	358276	+	1313	31	34	26	35
Interval_212	IV	361249	361445	+	197	1	7	2	2
Interval_213	IV	363510	363784	+	275	8	9	13	7
Interval_214	IV	366158	367250	+	1093	18	19	20	15
Interval_215	IV	368592	369730	+	1139	39	32	40	29
Interval_216	IV	384363	384867	+	505	1	2	2	13
Interval_217	IV	385829	387079	+	1251	21	22	17	27
Interval_218	IV	392373	392664	+	292	4	5	12	5
Interval_219	IV	392676	392847	+	172	5	3	4	0
Interval_220	IV	407438	407878	+	441	8	16	15	5
Interval_221	IV	410308	413490	+	3183	87	155	153	58
Interval_222	IV	416961	417355	+	395	7	13	10	8
Interval_223	IV	437736	438127	+	392	12	3	2	2
Interval_224	IV	461374	461775	+	402	5	18	12	10
Interval_225	IV	462360	462524	+	165	4	4	4	1
Interval_226	IV	465079	465826	+	748	31	31	39	21
Interval_227	IV	483552	483977	+	426	5	11	3	1
Interval_228	IV	485230	485887	+	658	13	6	10	3
Interval_229	IV	488427	489387	+	961	15	11	14	15
Interval_230	IV	491107	491416	+	310	13	20	25	4
Interval_231	IV	501091	501680	+	590	6	5	8	9
Interval_232	IV	507314	508227	+	914	11	10	14	16
Interval_233	IV	512262	512822	+	561	7	18	11	4
Interval_234	IV	519603	519855	+	253	8	9	3	4
Interval_235	IV	521089	521337	+	249	3	3	3	4
Interval_236	IV	521445	521634	+	190	4	9	4	3
Interval_237	IV	524816	525303	+	488	15	13	10	7
Interval_238	IV	538771	539666	+	896	32	55	68	19
Interval_239	IV	541460	542514	+	1055	30	24	18	9
Interval_240	IV	543661	543872	+	212	6	16	12	5
Interval_241	IV	545986	546367	+	382	17	23	14	6
Interval_242	IV	550772	551608	+	837	41	48	59	26
Interval_243	IV	555085	555578	+	494	4	3	3	9
Interval_244	IV	556611	557110	+	500	17	26	21	21
Interval_245	IV	562661	562930	+	270	5	8	3	5
Interval_246	IV	568768	568980	+	213	9	5	7	5
Interval_247	IV	569976	570458	+	483	3	9	5	3
Interval_248	IV	591544	592500	+	957	39	50	46	38
Interval_249	IV	593241	594078	+	838	9	43	44	3
Interval_250	IV	595039	595368	+	330	1	5	2	0
Interval_251	IV	595958	596923	+	966	1	24	18	1
Interval_252	IV	599333	601376	+	2044	50	83	68	46
Interval_253	IV	628672	628918	+	247	2	6	6	2
Interval_254	IV	635639	636660	+	1022	9	40	64	12
Interval_255	IV	643805	644054	+	250	0	9	2	1
Interval_256	IV	644782	645312	+	531	9	12	8	8
Interval_257	IV	652140	652580	+	441	6	12	6	3
Interval_258	IV	675737	675924	+	188	3	8	3	1
Interval_259	IV	690638	690969	+	332	8	4	6	3
Interval_260	IV	703970	704319	+	350	5	7	4	3
Interval_261	IV	721663	722867	+	1205	33	41	57	18
Interval_262	IV	750969	751298	+	330	7	11	7	4
Interval_263	IV	755209	755454	+	246	3	9	8	2
Interval_264	IV	768191	770172	+	1982	43	51	44	30
Interval_265	IV	794093	794392	+	300	5	9	14	3
Interval_266	IV	806068	806692	+	625	4	22	25	7
Interval_267	IV	807939	808225	+	287	8	6	8	2
Interval_268	IV	811586	812068	+	483	25	18	17	11
Interval_269	IV	814091	814287	+	197	6	2	1	0
Interval_270	IV	835664	836621	+	958	36	36	22	21
Interval_271	IV	847984	848214	+	231	3	9	1	1
Interval_272	IV	866766	868025	+	1260	17	33	39	16
Interval_273	IV	884437	884658	+	222	9	3	7	9
Interval_274	IV	889140	889412	+	273	6	14	9	0
Interval_275	IV	893662	894414	+	753	14	26	38	9
Interval_276	IV	907216	907593	+	378	4	4	7	2
Interval_277	IV	909214	910085	+	872	20	21	19	14
Interval_278	IV	914503	916334	+	1832	32	24	22	18
Interval_279	IV	926983	927259	+	277	14	10	18	7
Interval_280	IV	930490	931237	+	748	25	30	23	22
Interval_281	IV	946334	946537	+	204	9	4	6	3
Interval_282	IV	954157	955922	+	1766	14	52	38	3
Interval_283	IV	959979	960271	+	293	9	10	12	7
Interval_284	IV	974331	974569	+	239	3	11	3	7
Interval_285	IV	976220	977321	+	1102	27	29	39	29
Interval_286	IV	992886	993072	+	187	13	8	11	8
Interval_287	IV	1011344	1012157	+	814	32	26	32	28
Interval_288	IV	1013757	1014145	+	389	24	19	20	9
Interval_289	IV	1015974	1016498	+	525	7	24	18	6
Interval_290	IV	1030331	1030574	+	244	7	5	3	2
Interval_291	IV	1031634	1032231	+	598	9	14	12	6
Interval_292	IV	1055826	1056291	+	466	20	12	18	9
Interval_293	IV	1059105	1059406	+	302	1	2	3	5
Interval_294	IV	1071782	1072717	+	936	4	12	7	1
Interval_295	IV	1075175	1075528	+	354	11	3	8	1
Interval_296	IV	1080403	1080900	+	498	16	17	25	19
Interval_297	IV	1086928	1087479	+	552	6	16	11	2
Interval_298	IV	1108153	1108566	+	414	0	6	4	4
Interval_299	IV	1135383	1135592	+	210	6	6	3	2
Interval_300	IV	1145899	1146384	+	486	4	7	3	4
Interval_301	IV	1150622	1151043	+	422	10	4	9	9
Interval_302	IV	1156249	1156569	+	321	8	13	12	3
Interval_303	IV	1161670	1162222	+	553	12	19	25	5
Interval_304	IV	1164846	1165720	+	875	41	30	40	31
Interval_305	IV	1172148	1172496	+	349	10	8	4	6
Interval_306	IV	1174418	1175038	+	621	5	7	5	13
Interval_307	IV	1182896	1183535	+	640	9	11	12	5
Interval_308	IV	1189344	1189940	+	597	4	12	13	6
Interval_309	IV	1194997	1195379	+	383	14	20	15	5
Interval_310	IV	1201666	1202070	+	405	14	6	5	6
Interval_311	IV	1213187	1213430	+	244	0	8	0	0
Interval_312	IV	1226600	1226849	+	250	6	2	4	3
Interval_313	IV	1233649	1233975	+	327	8	15	17	3
Interval_314	IV	1238302	1239259	+	958	9	14	8	9
Interval_315	IV	1241706	1243103	+	1398	47	57	52	31
Interval_316	IV	1251409	1251924	+	516	18	18	13	10
Interval_317	IV	1261264	1261480	+	217	4	4	0	1
Interval_318	IV	1266432	1267382	+	951	16	21	18	14
Interval_319	IV	1269598	1269874	+	277	8	3	2	4
Interval_320	IV	1278309	1280117	+	1809	34	45	59	20
Interval_321	IV	1289024	1289504	+	481	5	13	15	3
Interval_322	IV	1300853	1301721	+	869	32	15	32	20
Interval_323	IV	1305555	1306003	+	449	7	7	8	5
Interval_324	IV	1318023	1319332	+	1310	14	3	14	4
Interval_325	IV	1330822	1331029	+	208	2	5	5	1
Interval_326	IV	1333122	1334251	+	1130	5	11	17	3
Interval_327	IV	1345370	1345999	+	630	14	23	24	7
Interval_328	IV	1355651	1355948	+	298	25	20	10	16
Interval_329	IV	1358982	1359809	+	828	30	18	21	22
Interval_330	IV	1361827	1362676	+	850	13	29	26	12
Interval_331	IV	1365878	1367341	+	1464	6	25	8	4
Interval_332	IV	1384785	1386881	+	2097	27	27	25	16
Interval_333	IV	1401324	1401714	+	391	24	23	15	20
Interval_334	IV	1402792	1403293	+	502	6	8	3	4
Interval_335	IV	1410416	1411971	+	1556	24	18	30	14
Interval_336	IV	1420445	1421021	+	577	9	17	11	8
Interval_337	IV	1429074	1430504	+	1431	39	44	49	19
Interval_338	IV	1434142	1434893	+	752	16	16	15	4
Interval_339	IV	1445645	1446102	+	458	11	17	9	4
Interval_340	IV	1450936	1451211	+	276	12	11	10	8
Interval_341	IV	1454734	1455033	+	300	5	6	7	10
Interval_342	IV	1459505	1460208	+	704	17	23	15	7
Interval_343	IV	1461673	1461909	+	237	13	10	6	7
Interval_344	IV	1468602	1470971	+	2370	75	45	60	42
Interval_345	IV	1476597	1476956	+	360	8	17	15	3
Interval_346	IV	1489641	1491310	+	1670	76	52	54	74
Interval_347	IV	1493091	1494196	+	1106	26	23	13	25
Interval_348	IV	1496683	1497045	+	363	13	11	13	3
Interval_349	IV	1502253	1502618	+	366	6	14	6	11
Interval_350	IV	1506804	1507893	+	1090	20	56	84	13
Interval_351	IV	1517895	1518227	+	333	3	13	3	6
Interval_352	IV	1524821	1525639	+	819	82	32	28	78
Interval_353	IX	0	245	+	246	11	2	4	30
Interval_354	IX	21696	22210	+	515	13	6	4	11
Interval_355	IX	36805	37177	+	373	15	9	11	1
Interval_356	IX	54102	55082	+	981	7	18	22	0
Interval_357	IX	68242	69527	+	1286	46	40	26	24
Interval_358	IX	73509	73694	+	186	4	0	1	0
Interval_359	IX	77457	77953	+	497	4	11	14	5
Interval_360	IX	84752	85239	+	488	5	11	6	5
Interval_361	IX	96412	96753	+	342	13	9	7	5
Interval_362	IX	99525	99861	+	337	33	28	40	27
Interval_363	IX	102352	102587	+	236	16	7	10	6
Interval_364	IX	106065	106321	+	257	1	0	1	4
Interval_365	IX	127782	127954	+	173	7	6	6	4
Interval_366	IX	129867	130240	+	374	6	20	9	6
Interval_367	IX	131914	132310	+	397	9	15	15	8
Interval_368	IX	138230	139732	+	1503	55	71	65	52
Interval_369	IX	141911	143053	+	1143	14	15	11	13
Interval_370	IX	150248	150448	+	201	4	13	11	1
Interval_371	IX	160037	160726	+	690	11	15	11	2
Interval_372	IX	166005	166298	+	294	7	8	9	20
Interval_373	IX	169736	170233	+	498	5	23	24	5
Interval_374	IX	173394	174148	+	755	3	16	12	5
Interval_375	IX	174961	175617	+	657	17	12	15	10
Interval_376	IX	177499	178138	+	640	17	25	35	17
Interval_377	IX	197516	198444	+	929	14	17	21	8
Interval_378	IX	207528	207700	+	173	3	0	2	0
Interval_379	IX	210624	210798	+	175	9	5	12	7
Interval_380	IX	215010	215311	+	302	0	0	3	7
Interval_381	IX	216077	216365	+	289	7	4	10	6
Interval_382	IX	216407	216611	+	205	1	6	3	5
Interval_383	IX	222621	222864	+	244	13	10	10	6
Interval_384	IX	232442	232930	+	489	28	28	33	35
Interval_385	IX	248707	249897	+	1191	77	57	61	52
Interval_386	IX	254131	255618	+	1488	68	61	74	61
Interval_387	IX	257206	258812	+	1607	59	49	47	38
Interval_388	IX	267800	268947	+	1148	31	30	35	22
Interval_389	IX	291848	292404	+	557	7	9	6	4
Interval_390	IX	310899	311159	+	261	10	7	6	4
Interval_391	IX	316309	316612	+	304	21	18	20	17
Interval_392	IX	321972	322332	+	361	10	14	1	6
Interval_393	IX	325650	326042	+	393	14	6	11	5
Interval_394	IX	332631	333583	+	953	36	55	57	35
Interval_395	IX	336068	336369	+	302	16	7	9	8
Interval_396	IX	338270	339297	+	1028	16	11	5	32
Interval_397	IX	343919	344184	+	266	3	9	3	1
Interval_398	IX	348636	349000	+	365	6	4	8	1
Interval_399	IX	360383	360615	+	233	9	9	3	5
Interval_400	IX	370118	370341	+	224	5	0	1	0
Interval_401	IX	378349	378579	+	231	8	2	5	3
Interval_402	IX	381778	382667	+	890	21	31	35	25
Interval_403	IX	383794	384731	+	938	22	22	29	28
Interval_404	IX	386090	387046	+	957	32	25	39	20
Interval_405	IX	388411	389333	+	923	13	17	25	24
Interval_406	IX	394901	395184	+	284	2	5	2	9
Interval_407	IX	415715	416047	+	333	19	14	11	6
Interval_408	IX	421606	422013	+	408	8	3	4	4
Interval_409	IX	427270	427636	+	367	5	10	2	14
Interval_410	IX	438914	439863	+	950	79	44	34	83
Interval_411	MT	2332	2588	+	257	8	1	1	9
Interval_412	MT	13931	16652	+	2722	107	22	20	117
Interval_413	MT	18041	21414	+	3374	100	21	23	82
Interval_414	MT	25955	26695	+	741	26	7	5	20
Interval_415	MT	28721	29024	+	304	10	5	2	14
Interval_416	MT	36598	36986	+	389	17	3	3	22
Interval_417	MT	40839	41910	+	1072	20	11	6	22
Interval_418	MT	43110	43612	+	503	17	5	6	14
Interval_419	MT	55511	56180	+	670	3	1	1	5
Interval_420	MT	59632	62582	+	2951	86	15	23	90
Interval_421	MT	64455	65077	+	623	10	0	0	5
Interval_422	MT	73714	74469	+	756	30	9	6	37
Interval_423	MT	77892	78578	+	687	10	2	2	4
Interval_424	MT	79258	79960	+	703	51	19	12	56
Interval_425	V	210	482	+	273	3	0	1	1
Interval_426	V	6207	6780	+	574	36	14	15	21
Interval_427	V	13140	13521	+	382	8	7	15	4
Interval_428	V	16037	16406	+	370	8	14	7	8
Interval_429	V	18956	19134	+	179	7	9	8	3
Interval_430	V	33773	34159	+	387	10	13	4	3
Interval_431	V	42065	42772	+	708	19	32	29	22
Interval_432	V	51702	51918	+	217	5	7	4	7
Interval_433	V	53271	53977	+	707	37	23	37	40
Interval_434	V	56280	56621	+	342	3	4	6	8
Interval_435	V	61068	61493	+	426	0	2	1	7
Interval_436	V	68210	70353	+	2144	92	63	64	91
Interval_437	V	80019	80405	+	387	6	13	21	4
Interval_438	V	84782	86739	+	1958	99	64	66	67
Interval_439	V	99513	100512	+	1000	20	9	18	14
Interval_440	V	106313	107194	+	882	18	13	20	5
Interval_441	V	117435	118208	+	774	40	52	63	34
Interval_442	V	123066	123821	+	756	39	44	34	25
Interval_443	V	124271	124810	+	540	7	10	1	3
Interval_444	V	131064	131771	+	708	12	15	6	9
Interval_445	V	135377	135578	+	202	2	9	11	2
Interval_446	V	140457	141783	+	1327	77	64	49	87
Interval_447	V	147864	148036	+	173	4	2	2	2
Interval_448	V	149949	150165	+	217	0	8	1	1
Interval_449	V	152471	153287	+	817	18	16	24	28
Interval_450	V	167028	167567	+	540	3	5	2	0
Interval_451	V	174577	175002	+	426	16	27	25	8
Interval_452	V	177116	177673	+	558	6	10	16	10
Interval_453	V	191947	192746	+	800	36	42	48	25
Interval_454	V	194660	195368	+	709	17	23	16	9
Interval_455	V	208614	208814	+	201	5	16	7	5
Interval_456	V	211745	212846	+	1102	15	34	14	11
Interval_457	V	221370	222782	+	1413	40	47	55	24
Interval_458	V	225387	225724	+	338	15	11	15	5
Interval_459	V	238289	238781	+	493	6	9	7	1
Interval_460	V	241980	242934	+	955	31	30	21	26
Interval_461	V	259955	260269	+	315	10	9	9	2
Interval_462	V	261260	261830	+	571	8	33	28	8
Interval_463	V	264150	264619	+	470	2	18	19	2
Interval_464	V	265960	266702	+	743	18	13	8	18
Interval_465	V	268310	269154	+	845	28	31	20	29
Interval_466	V	270235	270581	+	347	15	11	15	24
Interval_467	V	271697	272458	+	762	5	8	14	2
Interval_468	V	278995	279592	+	598	3	13	22	0
Interval_469	V	280363	281565	+	1203	38	56	58	20
Interval_470	V	284438	285072	+	635	46	41	42	29
Interval_471	V	291374	291662	+	289	0	8	6	1
Interval_472	V	292701	292910	+	210	10	13	4	5
Interval_473	V	295088	295734	+	647	15	20	17	6
Interval_474	V	298269	298537	+	269	5	6	5	4
Interval_475	V	302511	303863	+	1353	28	35	45	37
Interval_476	V	305028	306255	+	1228	31	22	26	9
Interval_477	V	311193	312193	+	1001	25	42	43	19
Interval_478	V	321840	322473	+	634	8	11	6	6
Interval_479	V	328300	328540	+	241	2	3	8	0
Interval_480	V	335133	336484	+	1352	37	60	69	33
Interval_481	V	342449	343461	+	1013	29	36	42	26
Interval_482	V	349281	350008	+	728	16	30	31	13
Interval_483	V	353798	355339	+	1542	28	38	39	33
Interval_484	V	362284	362656	+	373	13	23	14	20
Interval_485	V	386351	387084	+	734	3	11	10	12
Interval_486	V	396288	396661	+	374	32	29	28	33
Interval_487	V	400725	401171	+	447	13	12	15	6
Interval_488	V	408803	409535	+	733	12	7	3	12
Interval_489	V	412995	413173	+	179	0	6	0	1
Interval_490	V	422043	423614	+	1572	28	33	35	35
Interval_491	V	424503	425275	+	773	7	9	9	9
Interval_492	V	430870	431420	+	551	19	20	10	16
Interval_493	V	434428	434638	+	211	13	9	8	6
Interval_494	V	435459	436224	+	766	29	13	12	15
Interval_495	V	438717	439614	+	898	37	22	17	16
Interval_496	V	441760	443258	+	1499	83	50	64	63
