PeakID (cmd=annotatePeaks.pl SPT5_T0_R1_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SPT5_T0_R1_peak_764	XV	31	616	+	80	NA	promoter-TSS (YOL166W-A)	protein_coding-promoter-TSS (YOL166W-A)	-262	YOL166W-A	YOL166W-A	YOL166W-A			YOL166W-A			protein_coding
SPT5_T0_R1_peak_1	I	74	650	+	77	NA	promoter-TSS (YAL068W-A)	protein_coding-promoter-TSS (YAL068W-A)	27	YAL069W	YAL069W	YAL069W			YAL069W			protein_coding
SPT5_T0_R1_peak_835	XV	978381	979642	+	74	NA	promoter-TSS (YOR344C)	protein_coding-promoter-TSS (YOR344C)	-942	YOR344C	YOR344C	YOR344C			TYE7			protein_coding
SPT5_T0_R1_peak_357	VII	397745	399510	+	74	NA	promoter-TSS (YGL055W)	protein_coding-promoter-TSS (YGL055W)	-1	YGL055W	YGL055W	YGL055W			OLE1			protein_coding
SPT5_T0_R1_peak_283	V	284447	285023	+	74	NA	promoter-TSS (YER064C)	protein_coding-promoter-TSS (YER064C)	-513	YER064C	YER064C	YER064C			VHR2			protein_coding
SPT5_T0_R1_peak_220	IX	254202	254952	+	73	NA	promoter-TSS (YIL053W)	protein_coding-promoter-TSS (YIL053W)	34	YIL054W	YIL054W	YIL054W			YIL054W			protein_coding
SPT5_T0_R1_peak_469	X	159723	160383	+	73	NA	promoter-TSS (YJL133C-A)	protein_coding-promoter-TSS (YJL133C-A)	-206	YJL133C-A	YJL133C-A	YJL133C-A			YJL133C-A			protein_coding
SPT5_T0_R1_peak_682	XIII	551287	551875	+	73	NA	promoter-TSS (YMR142C)	protein_coding-promoter-TSS (YMR142C)	-347	YMR143W	YMR143W	YMR143W			RPS16A			protein_coding
SPT5_T0_R1_peak_637	XII	1064347	1065458	+	72	NA	Intergenic	Intergenic	-1054	YLR462W	YLR462W	YLR462W			YLR462W			protein_coding
SPT5_T0_R1_peak_558	XI	665994	666598	+	71	NA	Intergenic	Intergenic	4854	YKR106W	YKR106W	YKR106W			GEX2			protein_coding
SPT5_T0_R1_peak_508	X	745027	745635	+	69	NA	promoter-TSS (YJR162C)	protein_coding-promoter-TSS (YJR162C)	-70	YJR162C	YJR162C	YJR162C			YJR162C			protein_coding
SPT5_T0_R1_peak_32	II	167950	168326	+	68	NA	promoter-TSS (YBL027W)	protein_coding-promoter-TSS (YBL027W)	-285	YBL027W	YBL027W	YBL027W			RPL19B			protein_coding
SPT5_T0_R1_peak_268	V	140458	141537	+	68	NA	promoter-TSS (YEL007W)	protein_coding-promoter-TSS (YEL007W)	-179	YEL008C-A	YEL008C-A	YEL008C-A			YEL008C-A			protein_coding
SPT5_T0_R1_peak_452	VIII	556387	557031	+	66	NA	TTS (YHR216W)	protein_coding-TTS (YHR216W)	333	YHR217C	YHR217C	YHR217C			YHR217C			protein_coding
SPT5_T0_R1_peak_615	XII	808952	809510	+	66	NA	promoter-TSS (YLR342W)	protein_coding-promoter-TSS (YLR342W)	-766	YLR342W	YLR342W	YLR342W			FKS1			protein_coding
SPT5_T0_R1_peak_342	VII	149083	149349	+	66	NA	promoter-TSS (YGL188C-A)	protein_coding-promoter-TSS (YGL188C-A)	-252	YGL188C-A	YGL188C-A	YGL188C-A			YGL188C-A			protein_coding
SPT5_T0_R1_peak_349	VII	271186	272256	+	64	NA	promoter-TSS (YGL125W)	protein_coding-promoter-TSS (YGL125W)	724	YGL126W	YGL126W	YGL126W			SCS3			protein_coding
SPT5_T0_R1_peak_196	IV	1489684	1491170	+	63	NA	promoter-TSS (YDR524C-A)	protein_coding-promoter-TSS (YDR524C-A)	-169	YDR525W-A	YDR525W-A	YDR525W-A			SNA2			protein_coding
SPT5_T0_R1_peak_432	VIII	236170	236497	+	62	NA	promoter-TSS (YHR071W)	protein_coding-promoter-TSS (YHR071W)	179	YHR070C-A	YHR070C-A	YHR070C-A			YHR070C-A			protein_coding
SPT5_T0_R1_peak_459	X	90157	90645	+	61	NA	promoter-TSS (YJL177W)	protein_coding-promoter-TSS (YJL177W)	-304	YJL178C	YJL178C	YJL178C			ATG27			protein_coding
SPT5_T0_R1_peak_837	XV	987375	989663	+	61	NA	exon (YOR348C, exon 1 of 1)	protein_coding-exon (YOR348C, exon 1 of 1)	263	YOR348C	YOR348C	YOR348C			PUT4			protein_coding
SPT5_T0_R1_peak_240	IX	439065	439862	+	61	NA	Intergenic	Intergenic	-1284	YIR044C	YIR044C	YIR044C			YIR044C			pseudogene
SPT5_T0_R1_peak_318	VI	90344	90903	+	60	NA	promoter-TSS (YFL023W)	protein_coding-promoter-TSS (YFL023W)	-278	YFL024C	YFL024C	YFL024C			EPL1			protein_coding
SPT5_T0_R1_peak_28	II	135746	136255	+	60	NA	promoter-TSS (YBL043W)	protein_coding-promoter-TSS (YBL043W)	2	YBL044W	YBL044W	YBL044W			YBL044W			protein_coding
SPT5_T0_R1_peak_763	XIV	783512	783961	+	59	NA	promoter-TSS (YNR077C)	protein_coding-promoter-TSS (YNR077C)	-195	YNR077C	YNR077C	YNR077C			YNR077C			protein_coding
SPT5_T0_R1_peak_849	XVI	74678	75491	+	59	NA	promoter-TSS (YPL250C)	protein_coding-promoter-TSS (YPL250C)	-365	YPL250C	YPL250C	YPL250C			ICY2			protein_coding
SPT5_T0_R1_peak_408	VII	987001	987616	+	59	NA	promoter-TSS (YGR249W)	protein_coding-promoter-TSS (YGR249W)	-741	YGR249W	YGR249W	YGR249W			MGA1			protein_coding
SPT5_T0_R1_peak_506	X	703195	704105	+	59	NA	promoter-TSS (YJR145C)	protein_coding-promoter-TSS (YJR145C)	-235	YJR146W	YJR146W	YJR146W			YJR146W			protein_coding
SPT5_T0_R1_peak_530	XI	258476	259177	+	59	NA	promoter-TSS (YKL096W-A)	protein_coding-promoter-TSS (YKL096W-A)	87	YKL097C	YKL097C	YKL097C			YKL097C			protein_coding
SPT5_T0_R1_peak_584	XII	489433	491064	+	58	NA	promoter-TSS (YLR162W-A)	protein_coding-promoter-TSS (YLR162W-A)	-158	YLR162W-A	YLR162W-A	YLR162W-A			RRT15			protein_coding
SPT5_T0_R1_peak_874	XVI	425051	425693	+	58	NA	promoter-TSS (YPL066W)	protein_coding-promoter-TSS (YPL066W)	-276	YPL068C	YPL068C	YPL068C			YPL068C			protein_coding
SPT5_T0_R1_peak_31	II	164177	165549	+	58	NA	promoter-TSS (YBL029C-A)	protein_coding-promoter-TSS (YBL029C-A)	-91	YBL029C-A	YBL029C-A	YBL029C-A			YBL029C-A			protein_coding
SPT5_T0_R1_peak_767	XV	27814	28090	+	57	NA	TTS (YOL155C)	protein_coding-TTS (YOL155C)	868	YOL155W-A	YOL155W-A	YOL155W-A			YOL155W-A			protein_coding
SPT5_T0_R1_peak_414	VII	1083866	1084476	+	56	NA	promoter-TSS (YGR296W)	protein_coding-promoter-TSS (YGR296W)	-693	YGR296W	YGR296W	YGR296W			YRF1-3			protein_coding
SPT5_T0_R1_peak_732	XIV	349848	350227	+	55	NA	promoter-TSS (YNL147W)	protein_coding-promoter-TSS (YNL147W)	-281	YNL149C	YNL149C	YNL149C			PGA2			protein_coding
SPT5_T0_R1_peak_183	IV	1355708	1355948	+	55	NA	promoter-TSS (YDR447C)	protein_coding-promoter-TSS (YDR447C)	-237	YDR448W	YDR448W	YDR448W			ADA2			protein_coding
SPT5_T0_R1_peak_425	VIII	122110	122709	+	55	NA	promoter-TSS (YHR007C)	protein_coding-promoter-TSS (YHR007C)	356	YHR007C-A	YHR007C-A	YHR007C-A			YHR007C-A			protein_coding
SPT5_T0_R1_peak_310	VI	4241	5296	+	55	NA	promoter-TSS (YFL063W)	protein_coding-promoter-TSS (YFL063W)	-298	YFL063W	YFL063W	YFL063W			YFL063W			protein_coding
SPT5_T0_R1_peak_319	VI	95283	95960	+	55	NA	promoter-TSS (YFL021W)	protein_coding-promoter-TSS (YFL021W)	-345	YFL021W	YFL021W	YFL021W			GAT1			protein_coding
SPT5_T0_R1_peak_262	V	84789	86672	+	55	NA	promoter-TSS (YEL033W)	protein_coding-promoter-TSS (YEL033W)	54	YEL034W	YEL034W	YEL034W			HYP2			protein_coding
SPT5_T0_R1_peak_59	II	554748	556178	+	55	NA	Intergenic	Intergenic	-1086	YBR158W	YBR158W	YBR158W			AMN1			protein_coding
SPT5_T0_R1_peak_390	VII	774330	774729	+	54	NA	promoter-TSS (YGR143W)	protein_coding-promoter-TSS (YGR143W)	180	tA(AGC)G	tA(AGC)G	tA(AGC)G			tA(AGC)G			tRNA
SPT5_T0_R1_peak_219	IX	248708	249861	+	54	NA	promoter-TSS (YIL056W)	protein_coding-promoter-TSS (YIL056W)	434	tS(UGA)I	tS(UGA)I	tS(UGA)I			SUP17			tRNA
SPT5_T0_R1_peak_359	VII	413225	413898	+	54	NA	promoter-TSS (YGL045W)	protein_coding-promoter-TSS (YGL045W)	-541	YGL045W	YGL045W	YGL045W			RIM8			protein_coding
SPT5_T0_R1_peak_356	VII	384639	385241	+	53	NA	promoter-TSS (YGL062W)	protein_coding-promoter-TSS (YGL062W)	-256	YGL062W	YGL062W	YGL062W			PYC1			protein_coding
SPT5_T0_R1_peak_581	XII	423802	424935	+	53	NA	promoter-TSS (YLR139C)	protein_coding-promoter-TSS (YLR139C)	685	YLR141W	YLR141W	YLR141W			RRN5			protein_coding
SPT5_T0_R1_peak_478	X	294415	295066	+	53	NA	promoter-TSS (YJL076W)	protein_coding-promoter-TSS (YJL076W)	-59	YJL077W-A	YJL077W-A	YJL077W-A			YJL077W-A			protein_coding
SPT5_T0_R1_peak_195	IV	1468603	1470971	+	52	NA	promoter-TSS (YDR510C-A)	protein_coding-promoter-TSS (YDR510C-A)	24	YDR510C-A	YDR510C-A	YDR510C-A			YDR510C-A			protein_coding
SPT5_T0_R1_peak_56	II	477122	477485	+	52	NA	promoter-TSS (YBR117C)	protein_coding-promoter-TSS (YBR117C)	-368	YBR118W	YBR118W	YBR118W			TEF2			protein_coding
SPT5_T0_R1_peak_779	XV	158976	161873	+	52	NA	TTS (YOL086W-A)	protein_coding-TTS (YOL086W-A)	170	YOL086C	YOL086C	YOL086C			ADH1			protein_coding
SPT5_T0_R1_peak_203	IX	68263	68767	+	52	NA	promoter-TSS (YIL148W)	protein_coding-promoter-TSS (YIL148W)	-193	YIL148W	YIL148W	YIL148W			RPL40A			protein_coding
SPT5_T0_R1_peak_21	II	36133	36625	+	52	NA	promoter-TSS (YBL099W)	protein_coding-promoter-TSS (YBL099W)	-19	tF(GAA)B	tF(GAA)B	tF(GAA)B			tF(GAA)B			tRNA
SPT5_T0_R1_peak_166	IV	1164906	1165720	+	51	NA	promoter-TSS (YDR345C)	protein_coding-promoter-TSS (YDR345C)	-653	YDR345C	YDR345C	YDR345C			HXT3			protein_coding
SPT5_T0_R1_peak_179	IV	1301020	1301499	+	51	NA	promoter-TSS (YDR418W)	protein_coding-promoter-TSS (YDR418W)	-357	YDR418W	YDR418W	YDR418W			RPL12B			protein_coding
SPT5_T0_R1_peak_8	I	68035	68908	+	51	NA	promoter-TSS (YAL040C)	protein_coding-promoter-TSS (YAL040C)	-951	YAL040C	YAL040C	YAL040C			CLN3			protein_coding
SPT5_T0_R1_peak_724	XIV	281627	282049	+	51	NA	promoter-TSS (YNL190W)	protein_coding-promoter-TSS (YNL190W)	-557	YNL190W	YNL190W	YNL190W			YNL190W			protein_coding
SPT5_T0_R1_peak_503	X	651355	651744	+	51	NA	promoter-TSS (YJR123W)	protein_coding-promoter-TSS (YJR123W)	-352	YJR123W	YJR123W	YJR123W			RPS5			protein_coding
SPT5_T0_R1_peak_454	X	68897	69204	+	51	NA	promoter-TSS (YJL194W)	protein_coding-promoter-TSS (YJL194W)	-268	YJL196C	YJL196C	YJL196C			ELO1			protein_coding
SPT5_T0_R1_peak_292	V	396372	396661	+	50	NA	promoter-TSS (YER116C)	protein_coding-promoter-TSS (YER116C)	-253	YER117W	YER117W	YER117W			RPL23B			protein_coding
SPT5_T0_R1_peak_879	XVI	502380	503226	+	50	NA	promoter-TSS (YPL024W)	protein_coding-promoter-TSS (YPL024W)	227	YPL025C	YPL025C	YPL025C			YPL025C			protein_coding
SPT5_T0_R1_peak_502	X	646639	647247	+	50	NA	promoter-TSS (YJR119C)	protein_coding-promoter-TSS (YJR119C)	-183	YJR120W	YJR120W	YJR120W			YJR120W			protein_coding
SPT5_T0_R1_peak_265	V	117436	118103	+	49	NA	promoter-TSS (YEL020C-B)	protein_coding-promoter-TSS (YEL020C-B)	266	RPR1	RPR1	RPR1			RPR1			ncRNA
SPT5_T0_R1_peak_749	XIV	559297	560008	+	49	NA	promoter-TSS (YNL036W)	protein_coding-promoter-TSS (YNL036W)	-162	YNL036W	YNL036W	YNL036W			NCE103			protein_coding
SPT5_T0_R1_peak_47	II	378656	379231	+	49	NA	promoter-TSS (YBR069C)	protein_coding-promoter-TSS (YBR069C)	-510	YBR069C	YBR069C	YBR069C			TAT1			protein_coding
SPT5_T0_R1_peak_624	XII	875165	875504	+	49	NA	promoter-TSS (YLR377C)	protein_coding-promoter-TSS (YLR377C)	-42	tK(UUU)L	tK(UUU)L	tK(UUU)L			tK(UUU)L			tRNA
SPT5_T0_R1_peak_401	VII	905014	905817	+	49	NA	promoter-TSS (YGR202C)	protein_coding-promoter-TSS (YGR202C)	178	YGR203W	YGR203W	YGR203W			YCH1			protein_coding
SPT5_T0_R1_peak_546	XI	518016	519309	+	49	NA	promoter-TSS (YKR040C)	protein_coding-promoter-TSS (YKR040C)	-96	YKR040C	YKR040C	YKR040C			YKR040C			protein_coding
SPT5_T0_R1_peak_99	III	315788	316511	+	49	NA	promoter-TSS (YCR108C)	protein_coding-promoter-TSS (YCR108C)	39	YCR108C	YCR108C	YCR108C			YCR108C			protein_coding
SPT5_T0_R1_peak_100	IV	103	812	+	49	NA	Intergenic	Intergenic	-1345	YDL248W	YDL248W	YDL248W			COS7			protein_coding
SPT5_T0_R1_peak_628	XII	924521	925259	+	49	NA	promoter-TSS (YLR401C)	protein_coding-promoter-TSS (YLR401C)	1	YLR402W	YLR402W	YLR402W			YLR402W			protein_coding
SPT5_T0_R1_peak_671	XIII	388081	388558	+	48	NA	promoter-TSS (YMR056C)	protein_coding-promoter-TSS (YMR056C)	-75	YMR056C	YMR056C	YMR056C			AAC1			protein_coding
SPT5_T0_R1_peak_727	XIV	331022	331261	+	48	NA	promoter-TSS (YNL162W)	protein_coding-promoter-TSS (YNL162W)	-181	YNL162W	YNL162W	YNL162W			RPL42A			protein_coding
SPT5_T0_R1_peak_561	XII	11171	11849	+	48	NA	promoter-TSS (YLL065W)	protein_coding-promoter-TSS (YLL065W)	-216	YLL065W	YLL065W	YLL065W			YLL065W			protein_coding
SPT5_T0_R1_peak_601	XII	704175	704753	+	48	NA	promoter-TSS (YLR278C)	protein_coding-promoter-TSS (YLR278C)	155	YLR279W	YLR279W	YLR279W			YLR279W			protein_coding
SPT5_T0_R1_peak_661	XIII	287442	287812	+	48	NA	promoter-TSS (YMR011W)	protein_coding-promoter-TSS (YMR011W)	-452	YMR011W	YMR011W	YMR011W			HXT2			protein_coding
SPT5_T0_R1_peak_301	V	461843	463206	+	47	NA	promoter-TSS (YER145C)	protein_coding-promoter-TSS (YER145C)	-61	YER146W	YER146W	YER146W			LSM5			protein_coding
SPT5_T0_R1_peak_520	XI	99343	100157	+	47	NA	promoter-TSS (YKL182W)	protein_coding-promoter-TSS (YKL182W)	-921	YKL182W	YKL182W	YKL182W			FAS1			protein_coding
SPT5_T0_R1_peak_138	IV	591545	592302	+	47	NA	promoter-TSS (YDR072C)	protein_coding-promoter-TSS (YDR072C)	-516	YDR073W	YDR073W	YDR073W			SNF11			protein_coding
SPT5_T0_R1_peak_629	XII	931956	932690	+	47	NA	promoter-TSS (YLR406C)	protein_coding-promoter-TSS (YLR406C)	32	YLR406C-A	YLR406C-A	YLR406C-A			YLR406C-A			protein_coding
SPT5_T0_R1_peak_898	XVI	794627	794893	+	47	NA	promoter-TSS (YPR130C)	protein_coding-promoter-TSS (YPR130C)	-205	YPR132W	YPR132W	YPR132W			RPS23B			protein_coding
SPT5_T0_R1_peak_885	XVI	641254	641766	+	47	NA	promoter-TSS (YPR035W)	protein_coding-promoter-TSS (YPR035W)	-698	YPR035W	YPR035W	YPR035W			GLN1			protein_coding
SPT5_T0_R1_peak_831	XV	907808	909129	+	47	NA	promoter-TSS (YOR316C)	protein_coding-promoter-TSS (YOR316C)	-533	YOR316C-A	YOR316C-A	YOR316C-A			YOR316C-A			protein_coding
SPT5_T0_R1_peak_64	II	614144	614425	+	46	NA	promoter-TSS (YBR196C)	protein_coding-promoter-TSS (YBR196C)	-111	YBR196C-A	YBR196C-A	YBR196C-A			YBR196C-A			protein_coding
SPT5_T0_R1_peak_78	III	404	1002	+	46	NA	promoter-TSS (YCL076W)	protein_coding-promoter-TSS (YCL076W)	-689	YCL076W	YCL076W	YCL076W			YCL076W			protein_coding
SPT5_T0_R1_peak_261	V	68211	70353	+	46	NA	promoter-TSS (YEL044W)	protein_coding-promoter-TSS (YEL044W)	-17	YEL045C	YEL045C	YEL045C			YEL045C			protein_coding
SPT5_T0_R1_peak_122	IV	410309	411597	+	46	NA	promoter-TSS (YDL022C-A)	protein_coding-promoter-TSS (YDL022C-A)	574	tA(AGC)D	tA(AGC)D	tA(AGC)D			tA(AGC)D			tRNA
SPT5_T0_R1_peak_636	XII	1028091	1028756	+	46	NA	promoter-TSS (YLR447C)	protein_coding-promoter-TSS (YLR447C)	-431	YLR448W	YLR448W	YLR448W			RPL6B			protein_coding
SPT5_T0_R1_peak_643	XIII	69824	70357	+	46	NA	promoter-TSS (YML100W)	protein_coding-promoter-TSS (YML100W)	-2	YML101C	YML101C	YML101C			CUE4			protein_coding
SPT5_T0_R1_peak_886	XVI	645005	646074	+	46	NA	promoter-TSS (YPR036W-A)	protein_coding-promoter-TSS (YPR036W-A)	-411	YPR036W-A	YPR036W-A	YPR036W-A			SPO24			protein_coding
SPT5_T0_R1_peak_578	XII	369918	371291	+	46	NA	promoter-TSS (YLR110C)	protein_coding-promoter-TSS (YLR110C)	-187	YLR112W	YLR112W	YLR112W			YLR112W			protein_coding
SPT5_T0_R1_peak_29	II	140497	141186	+	46	NA	promoter-TSS (YBL041W)	protein_coding-promoter-TSS (YBL041W)	-406	YBL041W	YBL041W	YBL041W			PRE7			protein_coding
SPT5_T0_R1_peak_329	VI	224809	226860	+	45	NA	promoter-TSS (YFR034W-A)	protein_coding-promoter-TSS (YFR034W-A)	124	YFR034C	YFR034C	YFR034C			PHO4			protein_coding
SPT5_T0_R1_peak_437	VIII	296876	297125	+	45	NA	promoter-TSS (YHR096C)	protein_coding-promoter-TSS (YHR096C)	-553	YHR096C	YHR096C	YHR096C			HXT5			protein_coding
SPT5_T0_R1_peak_846	XVI	40329	40787	+	45	NA	promoter-TSS (YPL265W)	protein_coding-promoter-TSS (YPL265W)	-485	YPL265W	YPL265W	YPL265W			DIP5			protein_coding
SPT5_T0_R1_peak_703	XIII	914760	915475	+	45	NA	promoter-TSS (YMR319C)	protein_coding-promoter-TSS (YMR319C)	-579	YMR319C	YMR319C	YMR319C			FET4			protein_coding
SPT5_T0_R1_peak_426	VIII	125996	126329	+	45	NA	promoter-TSS (YHR009C)	protein_coding-promoter-TSS (YHR009C)	-359	YHR010W	YHR010W	YHR010W			RPL27A			protein_coding
SPT5_T0_R1_peak_736	XIV	374765	375126	+	45	NA	promoter-TSS (YNL132W)	protein_coding-promoter-TSS (YNL132W)	76	tF(GAA)N	tF(GAA)N	tF(GAA)N			tF(GAA)N			tRNA
SPT5_T0_R1_peak_282	V	280800	281565	+	45	NA	promoter-TSS (YER062C)	protein_coding-promoter-TSS (YER062C)	-500	YER062C	YER062C	YER062C			GPP2			protein_coding
SPT5_T0_R1_peak_605	XII	728249	728648	+	44	NA	promoter-TSS (YLR299C-A)	protein_coding-promoter-TSS (YLR299C-A)	-445	YLR299C-A	YLR299C-A	YLR299C-A			YLR299C-A			protein_coding
SPT5_T0_R1_peak_206	IX	99596	99859	+	44	NA	promoter-TSS (YIL133C)	protein_coding-promoter-TSS (YIL133C)	-311	YIL133C	YIL133C	YIL133C			RPL16A			protein_coding
SPT5_T0_R1_peak_518	XI	93505	93899	+	44	NA	promoter-TSS (YKL185W)	protein_coding-promoter-TSS (YKL185W)	-404	YKL186C	YKL186C	YKL186C			MTR2			protein_coding
SPT5_T0_R1_peak_91	III	137082	137744	+	44	NA	promoter-TSS (YCR011C)	protein_coding-promoter-TSS (YCR011C)	-333	YCR012W	YCR012W	YCR012W			PGK1			protein_coding
SPT5_T0_R1_peak_387	VII	739039	739751	+	44	NA	promoter-TSS (YGR124W)	protein_coding-promoter-TSS (YGR124W)	273	tI(AAU)G	tI(AAU)G	tI(AAU)G			tI(AAU)G			tRNA
SPT5_T0_R1_peak_860	XVI	214290	215606	+	44	NA	promoter-TSS (YPL177C)	protein_coding-promoter-TSS (YPL177C)	-986	YPL177C	YPL177C	YPL177C			CUP9			protein_coding
SPT5_T0_R1_peak_12	I	141645	142429	+	44	NA	promoter-TSS (YAL003W)	protein_coding-promoter-TSS (YAL003W)	-137	YAL003W	YAL003W	YAL003W			EFB1			protein_coding
SPT5_T0_R1_peak_189	IV	1429075	1429453	+	44	NA	promoter-TSS (YDR487C)	protein_coding-promoter-TSS (YDR487C)	-284	YDR487C	YDR487C	YDR487C			RIB3			protein_coding
SPT5_T0_R1_peak_15	I	180921	181465	+	43	NA	promoter-TSS (tL(CAA)A)	tRNA-promoter-TSS (tL(CAA)A)	52	tL(CAA)A	tL(CAA)A	tL(CAA)A			SUP56			tRNA
SPT5_T0_R1_peak_403	VII	914891	915158	+	43	NA	promoter-TSS (YGR210C)	protein_coding-promoter-TSS (YGR210C)	-217	YGR211W	YGR211W	YGR211W			ZPR1			protein_coding
SPT5_T0_R1_peak_139	IV	599806	600671	+	43	NA	promoter-TSS (YDR077W)	protein_coding-promoter-TSS (YDR077W)	-555	YDR077W	YDR077W	YDR077W			SED1			protein_coding
SPT5_T0_R1_peak_824	XV	866634	867172	+	43	NA	promoter-TSS (YOR292C)	protein_coding-promoter-TSS (YOR292C)	-195	YOR293W	YOR293W	YOR293W			RPS10A			protein_coding
SPT5_T0_R1_peak_594	XII	605039	605505	+	43	NA	promoter-TSS (YLR229C)	protein_coding-promoter-TSS (YLR229C)	160	tI(UAU)L	tI(UAU)L	tI(UAU)L			tI(UAU)L			tRNA
SPT5_T0_R1_peak_172	IV	1242212	1242937	+	43	NA	promoter-TSS (YDR384C)	protein_coding-promoter-TSS (YDR384C)	-543	YDR384C	YDR384C	YDR384C			ATO3			protein_coding
SPT5_T0_R1_peak_266	V	123067	123821	+	43	NA	promoter-TSS (YEL017C-A)	protein_coding-promoter-TSS (YEL017C-A)	-213	YEL017W	YEL017W	YEL017W			GTT3			protein_coding
SPT5_T0_R1_peak_207	IX	102353	102587	+	42	NA	promoter-TSS (YIL130W)	protein_coding-promoter-TSS (YIL130W)	-235	YIL131C	YIL131C	YIL131C			FKH1			protein_coding
SPT5_T0_R1_peak_672	XIII	407632	408881	+	42	NA	promoter-TSS (YMR070W)	protein_coding-promoter-TSS (YMR070W)	547	YMR069W	YMR069W	YMR069W			NAT4			protein_coding
SPT5_T0_R1_peak_875	XVI	431610	432302	+	42	NA	promoter-TSS (YPL061W)	protein_coding-promoter-TSS (YPL061W)	61	YPL062W	YPL062W	YPL062W			YPL062W			protein_coding
SPT5_T0_R1_peak_368	VII	483050	484482	+	42	NA	promoter-TSS (YGL007C-A)	protein_coding-promoter-TSS (YGL007C-A)	506	YGL007W	YGL007W	YGL007W			BRP1			protein_coding
SPT5_T0_R1_peak_719	XIV	137989	138416	+	42	NA	promoter-TSS (YNL268W)	protein_coding-promoter-TSS (YNL268W)	-348	YNL268W	YNL268W	YNL268W			LYP1			protein_coding
SPT5_T0_R1_peak_385	VII	726511	726849	+	42	NA	promoter-TSS (YGR117C)	protein_coding-promoter-TSS (YGR117C)	-201	YGR117C	YGR117C	YGR117C			YGR117C			protein_coding
