PeakID (cmd=annotatePeaks.pl SPT5_T15_R2_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SPT5_T15_R2_peak_630	XII	489394	489748	+	61	NA	promoter-TSS (YLR162W)	protein_coding-promoter-TSS (YLR162W)	-2	YLR162W	YLR162W	YLR162W			YLR162W			protein_coding
SPT5_T15_R2_peak_840	XV	108973	110122	+	60	NA	promoter-TSS (YOL109W)	protein_coding-promoter-TSS (YOL109W)	371	YOL110W	YOL110W	YOL110W			SHR5			protein_coding
SPT5_T15_R2_peak_244	IX	68243	68600	+	60	NA	promoter-TSS (YIL148W)	protein_coding-promoter-TSS (YIL148W)	-287	YIL148W	YIL148W	YIL148W			RPL40A			protein_coding
SPT5_T15_R2_peak_25	II	140493	141142	+	59	NA	promoter-TSS (YBL041W)	protein_coding-promoter-TSS (YBL041W)	-430	YBL041W	YBL041W	YBL041W			PRE7			protein_coding
SPT5_T15_R2_peak_767	XIII	923773	924206	+	59	NA	promoter-TSS (YMR326C)	protein_coding-promoter-TSS (YMR326C)	-187	YMR326C	YMR326C	YMR326C			YMR326C			protein_coding
SPT5_T15_R2_peak_287	V	123127	123567	+	58	NA	promoter-TSS (YEL017C-A)	protein_coding-promoter-TSS (YEL017C-A)	-310	YEL017W	YEL017W	YEL017W			GTT3			protein_coding
SPT5_T15_R2_peak_814	XIV	569765	570034	+	58	NA	promoter-TSS (YNL034W)	protein_coding-promoter-TSS (YNL034W)	41	tI(AAU)N1	tI(AAU)N1	tI(AAU)N1			tI(AAU)N1			tRNA
SPT5_T15_R2_peak_24	II	135744	136344	+	58	NA	promoter-TSS (YBL043W)	protein_coding-promoter-TSS (YBL043W)	46	YBL044W	YBL044W	YBL044W			YBL044W			protein_coding
SPT5_T15_R2_peak_807	XIV	503001	503519	+	58	NA	promoter-TSS (YNL065W)	protein_coding-promoter-TSS (YNL065W)	-464	YNL065W	YNL065W	YNL065W			AQR1			protein_coding
SPT5_T15_R2_peak_359	VII	23295	23748	+	57	NA	promoter-TSS (YGL253W)	protein_coding-promoter-TSS (YGL253W)	-414	YGL253W	YGL253W	YGL253W			HXK2			protein_coding
SPT5_T15_R2_peak_974	XVI	587211	587485	+	57	NA	exon (YPR014C, exon 1 of 1)	protein_coding-exon (YPR014C, exon 1 of 1)	170	YPR014C	YPR014C	YPR014C			YPR014C			protein_coding
SPT5_T15_R2_peak_227	IV	1401344	1401622	+	56	NA	promoter-TSS (YDR470C)	protein_coding-promoter-TSS (YDR470C)	-269	YDR470C	YDR470C	YDR470C			UGO1			protein_coding
SPT5_T15_R2_peak_536	X	609052	609276	+	56	NA	promoter-TSS (YJR095W)	protein_coding-promoter-TSS (YJR095W)	-609	YJR095W	YJR095W	YJR095W			SFC1			protein_coding
SPT5_T15_R2_peak_917	XV	978370	979819	+	56	NA	Intergenic	Intergenic	-1025	YOR344C	YOR344C	YOR344C			TYE7			protein_coding
SPT5_T15_R2_peak_143	IV	410395	413490	+	56	NA	exon (YDL022W, exon 1 of 1)	protein_coding-exon (YDL022W, exon 1 of 1)	117	YDL022W	YDL022W	YDL022W			GPD1			protein_coding
SPT5_T15_R2_peak_341	V	569421	570625	+	56	NA	promoter-TSS (YER188C-A)	protein_coding-promoter-TSS (YER188C-A)	-116	YER188C-A	YER188C-A	YER188C-A			YER188C-A			protein_coding
SPT5_T15_R2_peak_373	VII	271176	272230	+	56	NA	promoter-TSS (YGL125W)	protein_coding-promoter-TSS (YGL125W)	706	YGL126W	YGL126W	YGL126W			SCS3			protein_coding
SPT5_T15_R2_peak_166	IV	599334	601306	+	55	NA	promoter-TSS (YDR077W)	protein_coding-promoter-TSS (YDR077W)	-473	YDR077W	YDR077W	YDR077W			SED1			protein_coding
SPT5_T15_R2_peak_84	II	770741	771163	+	55	NA	promoter-TSS (YBR283C)	protein_coding-promoter-TSS (YBR283C)	-287	YBR284W	YBR284W	YBR284W			YBR284W			protein_coding
SPT5_T15_R2_peak_179	IV	811748	811988	+	55	NA	promoter-TSS (YDR173C)	protein_coding-promoter-TSS (YDR173C)	-236	YDR173C	YDR173C	YDR173C			ARG82			protein_coding
SPT5_T15_R2_peak_581	XI	369124	369614	+	54	NA	promoter-TSS (YKL035W)	protein_coding-promoter-TSS (YKL035W)	4	YKL037W	YKL037W	YKL037W			AIM26			protein_coding
SPT5_T15_R2_peak_162	IV	591670	592500	+	54	NA	promoter-TSS (YDR072C)	protein_coding-promoter-TSS (YDR072C)	-354	YDR073W	YDR073W	YDR073W			SNF11			protein_coding
SPT5_T15_R2_peak_96	III	137127	137587	+	54	NA	promoter-TSS (YCR011C)	protein_coding-promoter-TSS (YCR011C)	-389	YCR012W	YCR012W	YCR012W			PGK1			protein_coding
SPT5_T15_R2_peak_932	XVI	76365	76605	+	54	NA	promoter-TSS (YPL249C-A)	protein_coding-promoter-TSS (YPL249C-A)	-246	YPL249C-A	YPL249C-A	YPL249C-A			RPL36B			protein_coding
SPT5_T15_R2_peak_910	XV	882082	882512	+	54	NA	promoter-TSS (YOR302W)	protein_coding-promoter-TSS (YOR302W)	-468	YOR302W	YOR302W	YOR302W			YOR302W			protein_coding
SPT5_T15_R2_peak_389	VII	428145	428355	+	53	NA	promoter-TSS (YGL036W)	protein_coding-promoter-TSS (YGL036W)	-303	YGL037C	YGL037C	YGL037C			PNC1			protein_coding
SPT5_T15_R2_peak_966	XVI	502327	503161	+	53	NA	promoter-TSS (YPL024W)	protein_coding-promoter-TSS (YPL024W)	286	YPL025C	YPL025C	YPL025C			YPL025C			protein_coding
SPT5_T15_R2_peak_789	XIV	335834	336163	+	53	NA	promoter-TSS (YNL160W)	protein_coding-promoter-TSS (YNL160W)	-547	YNL160W	YNL160W	YNL160W			YGP1			protein_coding
SPT5_T15_R2_peak_734	XIII	540149	540809	+	53	NA	promoter-TSS (YMR135C)	protein_coding-promoter-TSS (YMR135C)	-423	YMR135C	YMR135C	YMR135C			GID8			protein_coding
SPT5_T15_R2_peak_391	VII	438512	438879	+	52	NA	promoter-TSS (YGL030W)	protein_coding-promoter-TSS (YGL030W)	-396	YGL030W	YGL030W	YGL030W			RPL30			protein_coding
SPT5_T15_R2_peak_8	I	68022	68992	+	52	NA	promoter-TSS (YAL040C)	protein_coding-promoter-TSS (YAL040C)	-987	YAL040C	YAL040C	YAL040C			CLN3			protein_coding
SPT5_T15_R2_peak_965	XVI	497770	497951	+	52	NA	promoter-TSS (YPL028W)	protein_coding-promoter-TSS (YPL028W)	-236	YPL028W	YPL028W	YPL028W			ERG10			protein_coding
SPT5_T15_R2_peak_670	XII	877498	878154	+	51	NA	promoter-TSS (YLR378C)	protein_coding-promoter-TSS (YLR378C)	-456	YLR380W	YLR380W	YLR380W			CSR1			protein_coding
SPT5_T15_R2_peak_329	V	442027	442487	+	51	NA	promoter-TSS (YER137C)	protein_coding-promoter-TSS (YER137C)	270	SCR1	SCR1	SCR1			SCR1			ncRNA
SPT5_T15_R2_peak_463	VIII	235801	236679	+	51	NA	promoter-TSS (YHR071W)	protein_coding-promoter-TSS (YHR071W)	272	YHR070C-A	YHR070C-A	YHR070C-A			YHR070C-A			protein_coding
SPT5_T15_R2_peak_781	XIV	198098	198882	+	50	NA	promoter-TSS (YNL241C)	protein_coding-promoter-TSS (YNL241C)	-547	YNL241C	YNL241C	YNL241C			ZWF1			protein_coding
SPT5_T15_R2_peak_261	IX	254132	255434	+	50	NA	promoter-TSS (YIL053W)	protein_coding-promoter-TSS (YIL053W)	240	YIL054W	YIL054W	YIL054W			YIL054W			protein_coding
SPT5_T15_R2_peak_382	VII	384499	385396	+	50	NA	promoter-TSS (YGL062W)	protein_coding-promoter-TSS (YGL062W)	-249	YGL062W	YGL062W	YGL062W			PYC1			protein_coding
SPT5_T15_R2_peak_310	V	284439	285072	+	50	NA	promoter-TSS (YER064C)	protein_coding-promoter-TSS (YER064C)	-533	YER064C	YER064C	YER064C			VHR2			protein_coding
SPT5_T15_R2_peak_571	XI	258537	258977	+	50	NA	promoter-TSS (YKL096W-A)	protein_coding-promoter-TSS (YKL096W-A)	156	YKL097C	YKL097C	YKL097C			YKL097C			protein_coding
SPT5_T15_R2_peak_296	V	191956	192482	+	50	NA	promoter-TSS (YER017C)	protein_coding-promoter-TSS (YER017C)	405	YER018C	YER018C	YER018C			SPC25			protein_coding
SPT5_T15_R2_peak_976	XVI	641190	641914	+	49	NA	promoter-TSS (YPR035W)	protein_coding-promoter-TSS (YPR035W)	-656	YPR035W	YPR035W	YPR035W			GLN1			protein_coding
SPT5_T15_R2_peak_611	XII	187361	187559	+	49	NA	promoter-TSS (YLR023C)	protein_coding-promoter-TSS (YLR023C)	-331	YLR023C	YLR023C	YLR023C			IZH3			protein_coding
SPT5_T15_R2_peak_554	XI	99313	100033	+	49	NA	promoter-TSS (YKL182W)	protein_coding-promoter-TSS (YKL182W)	952	YKL183W	YKL183W	YKL183W			LOT5			protein_coding
SPT5_T15_R2_peak_736	XIII	551325	551822	+	49	NA	promoter-TSS (YMR142C)	protein_coding-promoter-TSS (YMR142C)	-355	YMR143W	YMR143W	YMR143W			RPS16A			protein_coding
SPT5_T15_R2_peak_26	II	159775	160068	+	48	NA	promoter-TSS (YBL032W)	protein_coding-promoter-TSS (YBL032W)	-228	YBL033C	YBL033C	YBL033C			RIB1			protein_coding
SPT5_T15_R2_peak_268	IX	332632	333444	+	48	NA	promoter-TSS (YIL011W)	protein_coding-promoter-TSS (YIL011W)	27	YIL012W	YIL012W	YIL012W			YIL012W			protein_coding
SPT5_T15_R2_peak_622	XII	369895	371307	+	48	NA	promoter-TSS (YLR110C)	protein_coding-promoter-TSS (YLR110C)	-190	YLR112W	YLR112W	YLR112W			YLR112W			protein_coding
SPT5_T15_R2_peak_90	III	50346	50807	+	48	NA	promoter-TSS (YCL040W)	protein_coding-promoter-TSS (YCL040W)	-8	YCL042W	YCL042W	YCL042W			YCL042W			protein_coding
SPT5_T15_R2_peak_68	II	595533	596000	+	48	NA	promoter-TSS (YBR182C)	protein_coding-promoter-TSS (YBR182C)	-211	YBR182C-A	YBR182C-A	YBR182C-A			YBR182C-A			protein_coding
SPT5_T15_R2_peak_388	VII	423116	423321	+	47	NA	promoter-TSS (YGL039W)	protein_coding-promoter-TSS (YGL039W)	126	tL(CAA)G2	tL(CAA)G2	tL(CAA)G2			SUP54			tRNA
SPT5_T15_R2_peak_636	XII	522191	522556	+	47	NA	promoter-TSS (YLR183C)	protein_coding-promoter-TSS (YLR183C)	267	YLR184W	YLR184W	YLR184W			YLR184W			protein_coding
SPT5_T15_R2_peak_681	XII	1064262	1065442	+	47	NA	Intergenic	Intergenic	-1104	YLR462W	YLR462W	YLR462W			YLR462W			protein_coding
SPT5_T15_R2_peak_891	XV	678943	679177	+	47	NA	promoter-TSS (YOR182C)	protein_coding-promoter-TSS (YOR182C)	188	YOR183W	YOR183W	YOR183W			FYV12			protein_coding
SPT5_T15_R2_peak_74	II	628527	628812	+	46	NA	promoter-TSS (YBR203W)	protein_coding-promoter-TSS (YBR203W)	-499	YBR203W	YBR203W	YBR203W			COS111			protein_coding
SPT5_T15_R2_peak_419	VII	774377	774819	+	46	NA	promoter-TSS (YGR143W)	protein_coding-promoter-TSS (YGR143W)	249	tA(AGC)G	tA(AGC)G	tA(AGC)G			tA(AGC)G			tRNA
SPT5_T15_R2_peak_947	XVI	281694	281923	+	46	NA	promoter-TSS (YPL143W)	protein_coding-promoter-TSS (YPL143W)	-291	snR17b	snR17b	snR17b			snR17b			snoRNA
SPT5_T15_R2_peak_941	XVI	214205	215681	+	46	NA	promoter-TSS (YPL177C)	protein_coding-promoter-TSS (YPL177C)	-981	YPL177C	YPL177C	YPL177C			CUP9			protein_coding
SPT5_T15_R2_peak_350	VI	106241	107738	+	46	NA	promoter-TSS (YFL013W-A)	protein_coding-promoter-TSS (YFL013W-A)	-26	YFL015C	YFL015C	YFL015C			YFL015C			protein_coding
SPT5_T15_R2_peak_440	VII	1000103	1000762	+	46	NA	promoter-TSS (YGR254W)	protein_coding-promoter-TSS (YGR254W)	-495	YGR254W	YGR254W	YGR254W			ENO1			protein_coding
SPT5_T15_R2_peak_155	IV	538900	539666	+	45	NA	promoter-TSS (YDR040C)	protein_coding-promoter-TSS (YDR040C)	-520	YDR041W	YDR041W	YDR041W			RSM10			protein_coding
SPT5_T15_R2_peak_402	VII	591865	593272	+	45	NA	promoter-TSS (YGR050C)	protein_coding-promoter-TSS (YGR050C)	-126	YGR050C	YGR050C	YGR050C			YGR050C			protein_coding
SPT5_T15_R2_peak_448	VIII	48074	48555	+	45	NA	promoter-TSS (YHL028W)	protein_coding-promoter-TSS (YHL028W)	-346	YHL029C	YHL029C	YHL029C			OCA5			protein_coding
SPT5_T15_R2_peak_601	XII	5638	5865	+	45	NA	promoter-TSS (YLL066W-A)	protein_coding-promoter-TSS (YLL066W-A)	146	YLL066W-B	YLL066W-B	YLL066W-B			YLL066W-B			protein_coding
SPT5_T15_R2_peak_625	XII	423924	424836	+	45	NA	promoter-TSS (YLR139C)	protein_coding-promoter-TSS (YLR139C)	697	YLR141W	YLR141W	YLR141W			RRN5			protein_coding
SPT5_T15_R2_peak_905	XV	836580	837310	+	44	NA	promoter-TSS (YOR273C)	protein_coding-promoter-TSS (YOR273C)	-514	YOR273C	YOR273C	YOR273C			TPO4			protein_coding
SPT5_T15_R2_peak_7	I	45337	45724	+	44	NA	promoter-TSS (YAL053W)	protein_coding-promoter-TSS (YAL053W)	-369	YAL053W	YAL053W	YAL053W			FLC2			protein_coding
SPT5_T15_R2_peak_754	XIII	773011	775844	+	44	NA	promoter-TSS (YMR251W-A)	protein_coding-promoter-TSS (YMR251W-A)	-325	YMR251W-A	YMR251W-A	YMR251W-A			HOR7			protein_coding
SPT5_T15_R2_peak_983	XVI	700073	700381	+	44	NA	promoter-TSS (YPR080W)	protein_coding-promoter-TSS (YPR080W)	-367	YPR080W	YPR080W	YPR080W			TEF1			protein_coding
SPT5_T15_R2_peak_718	XIII	352294	353515	+	44	NA	promoter-TSS (YMR041C)	protein_coding-promoter-TSS (YMR041C)	301	YMR042W	YMR042W	YMR042W			ARG80			protein_coding
SPT5_T15_R2_peak_727	XIII	433402	434543	+	44	NA	promoter-TSS (YMR083W)	protein_coding-promoter-TSS (YMR083W)	-816	YMR083W	YMR083W	YMR083W			ADH3			protein_coding
SPT5_T15_R2_peak_772	XIV	63063	63401	+	44	NA	promoter-TSS (YNL302C)	protein_coding-promoter-TSS (YNL302C)	-289	YNL302C	YNL302C	YNL302C			RPS19B			protein_coding
SPT5_T15_R2_peak_999	XVI	927676	928213	+	43	NA	TTS (YPR195C)	protein_coding-TTS (YPR195C)	350	YPR195C	YPR195C	YPR195C			YPR195C			protein_coding
SPT5_T15_R2_peak_791	XIV	349792	350768	+	43	NA	promoter-TSS (YNL147W)	protein_coding-promoter-TSS (YNL147W)	391	YNL148C	YNL148C	YNL148C			ALF1			protein_coding
SPT5_T15_R2_peak_989	XVI	794573	794887	+	43	NA	promoter-TSS (YPR130C)	protein_coding-promoter-TSS (YPR130C)	-232	YPR131C	YPR131C	YPR131C			NAT3			protein_coding
SPT5_T15_R2_peak_134	IV	307891	308304	+	43	NA	promoter-TSS (YDL082W)	protein_coding-promoter-TSS (YDL082W)	-308	YDL083C	YDL083C	YDL083C			RPS16B			protein_coding
SPT5_T15_R2_peak_977	XVI	645039	646176	+	43	NA	promoter-TSS (YPR036W-A)	protein_coding-promoter-TSS (YPR036W-A)	-343	YPR036W-A	YPR036W-A	YPR036W-A			SPO24			protein_coding
SPT5_T15_R2_peak_323	V	396289	396614	+	43	NA	promoter-TSS (YER116C)	protein_coding-promoter-TSS (YER116C)	-279	YER116C	YER116C	YER116C			SLX8			protein_coding
SPT5_T15_R2_peak_404	VII	609235	610269	+	43	NA	promoter-TSS (YGR060W)	protein_coding-promoter-TSS (YGR060W)	168	snR48	snR48	snR48			snR48			snoRNA
SPT5_T15_R2_peak_834	XV	69107	69382	+	43	NA	promoter-TSS (YOL136C)	protein_coding-promoter-TSS (YOL136C)	-490	YOL136C	YOL136C	YOL136C			PFK27			protein_coding
SPT5_T15_R2_peak_957	XVI	425262	426010	+	42	NA	promoter-TSS (YPL066W)	protein_coding-promoter-TSS (YPL066W)	211	YPL067C	YPL067C	YPL067C			YPL067C			protein_coding
SPT5_T15_R2_peak_520	X	391117	392146	+	42	NA	promoter-TSS (YJL026W)	protein_coding-promoter-TSS (YJL026W)	320	YJL028W	YJL028W	YJL028W			YJL028W			protein_coding
SPT5_T15_R2_peak_466	VIII	280215	281372	+	42	NA	promoter-TSS (YHR087W)	protein_coding-promoter-TSS (YHR087W)	-27	YHR087W	YHR087W	YHR087W			RTC3			protein_coding
SPT5_T15_R2_peak_116	IV	76874	77214	+	42	NA	promoter-TSS (YDL214C)	protein_coding-promoter-TSS (YDL214C)	-499	YDL214C	YDL214C	YDL214C			PRR2			protein_coding
SPT5_T15_R2_peak_353	VI	221588	221864	+	42	NA	promoter-TSS (RUF23)	ncRNA-promoter-TSS (RUF23)	12	RUF23	RUF23	RUF23			RUF23			ncRNA
SPT5_T15_R2_peak_230	IV	1429088	1430504	+	42	NA	promoter-TSS (YDR487C)	protein_coding-promoter-TSS (YDR487C)	-816	YDR487C	YDR487C	YDR487C			RIB3			protein_coding
SPT5_T15_R2_peak_598	XI	614668	615459	+	42	NA	promoter-TSS (YKR093W)	protein_coding-promoter-TSS (YKR093W)	-667	YKR093W	YKR093W	YKR093W			PTR2			protein_coding
SPT5_T15_R2_peak_745	XIII	652033	653739	+	41	NA	promoter-TSS (YMR194C-B)	protein_coding-promoter-TSS (YMR194C-B)	1	YMR194C-B	YMR194C-B	YMR194C-B			CMC4			protein_coding
SPT5_T15_R2_peak_320	V	349495	349855	+	41	NA	promoter-TSS (YER094C)	protein_coding-promoter-TSS (YER094C)	-305	YER095W	YER095W	YER095W			RAD51			protein_coding
SPT5_T15_R2_peak_295	V	174578	174968	+	41	NA	promoter-TSS (YER011W)	protein_coding-promoter-TSS (YER011W)	-475	YER011W	YER011W	YER011W			TIR1			protein_coding
SPT5_T15_R2_peak_584	XI	381920	383509	+	41	NA	promoter-TSS (YKL032C)	protein_coding-promoter-TSS (YKL032C)	216	YKL030W	YKL030W	YKL030W			YKL030W			protein_coding
SPT5_T15_R2_peak_240	IV	1506993	1507893	+	41	NA	promoter-TSS (YDR535C)	protein_coding-promoter-TSS (YDR535C)	-81	YDR535C	YDR535C	YDR535C			YDR535C			protein_coding
SPT5_T15_R2_peak_53	II	419319	420022	+	41	NA	promoter-TSS (YBR085C-A)	protein_coding-promoter-TSS (YBR085C-A)	-506	YBR085C-A	YBR085C-A	YBR085C-A			YBR085C-A			protein_coding
SPT5_T15_R2_peak_804	XIV	490963	491393	+	41	NA	promoter-TSS (YNL071W)	protein_coding-promoter-TSS (YNL071W)	-345	YNL071W	YNL071W	YNL071W			LAT1			protein_coding
SPT5_T15_R2_peak_981	XVI	695018	695545	+	41	NA	promoter-TSS (YPR074C)	protein_coding-promoter-TSS (YPR074C)	263	YPR074W-A	YPR074W-A	YPR074W-A			YPR074W-A			protein_coding
SPT5_T15_R2_peak_119	IV	132446	133167	+	40	NA	promoter-TSS (YDL182W)	protein_coding-promoter-TSS (YDL182W)	-631	YDL182W	YDL182W	YDL182W			LYS20			protein_coding
SPT5_T15_R2_peak_960	XVI	453295	453780	+	40	NA	promoter-TSS (YPL057C)	protein_coding-promoter-TSS (YPL057C)	198	YPL056C	YPL056C	YPL056C			LCL1			protein_coding
SPT5_T15_R2_peak_877	XV	505184	505860	+	40	NA	promoter-TSS (YOR096W)	protein_coding-promoter-TSS (YOR096W)	-272	YOR096W	YOR096W	YOR096W			RPS7A			protein_coding
SPT5_T15_R2_peak_73	II	624767	625649	+	40	NA	promoter-TSS (YBR201C-A)	protein_coding-promoter-TSS (YBR201C-A)	-512	YBR201C-A	YBR201C-A	YBR201C-A			YBR201C-A			protein_coding
SPT5_T15_R2_peak_60	II	490080	491038	+	40	NA	promoter-TSS (YBR126C)	protein_coding-promoter-TSS (YBR126C)	-167	YBR126C	YBR126C	YBR126C			TPS1			protein_coding
SPT5_T15_R2_peak_254	IX	169737	170111	+	40	NA	promoter-TSS (YIL105C)	protein_coding-promoter-TSS (YIL105C)	-283	YIL105C	YIL105C	YIL105C			SLM1			protein_coding
SPT5_T15_R2_peak_812	XIV	559035	559718	+	40	NA	promoter-TSS (YNL036W)	protein_coding-promoter-TSS (YNL036W)	-374	YNL037C	YNL037C	YNL037C			IDH1			protein_coding
SPT5_T15_R2_peak_248	IX	99625	99837	+	40	NA	promoter-TSS (YIL133C)	protein_coding-promoter-TSS (YIL133C)	-315	YIL133C	YIL133C	YIL133C			RPL16A			protein_coding
SPT5_T15_R2_peak_508	X	220282	220803	+	40	NA	promoter-TSS (YJL106W)	protein_coding-promoter-TSS (YJL106W)	-526	YJL107C	YJL107C	YJL107C			YJL107C			protein_coding
SPT5_T15_R2_peak_251	IX	138310	139732	+	40	NA	promoter-TSS (YIL118W)	protein_coding-promoter-TSS (YIL118W)	-731	YIL118W	YIL118W	YIL118W			RHO3			protein_coding
SPT5_T15_R2_peak_321	V	354918	355258	+	39	NA	promoter-TSS (YER097W)	protein_coding-promoter-TSS (YER097W)	-52	YER097W	YER097W	YER097W			YER097W			protein_coding
SPT5_T15_R2_peak_872	XV	446869	447051	+	39	NA	promoter-TSS (YOR064C)	protein_coding-promoter-TSS (YOR064C)	-222	YOR064C	YOR064C	YOR064C			YNG1			protein_coding
SPT5_T15_R2_peak_735	XIII	545732	545927	+	39	NA	promoter-TSS (YMR137C)	protein_coding-promoter-TSS (YMR137C)	-296	YMR139W	YMR139W	YMR139W			RIM11			protein_coding
SPT5_T15_R2_peak_836	XV	82983	83616	+	39	NA	promoter-TSS (YOL125W)	protein_coding-promoter-TSS (YOL125W)	-379	YOL126C	YOL126C	YOL126C			MDH2			protein_coding
SPT5_T15_R2_peak_576	XI	321818	322794	+	39	NA	promoter-TSS (YKL062W)	protein_coding-promoter-TSS (YKL062W)	-788	YKL063C	YKL063C	YKL063C			YKL063C			protein_coding
SPT5_T15_R2_peak_283	V	68992	70271	+	39	NA	promoter-TSS (YEL043W)	protein_coding-promoter-TSS (YEL043W)	-126	YEL044W	YEL044W	YEL044W			IES6			protein_coding
SPT5_T15_R2_peak_97	III	163579	163968	+	39	NA	promoter-TSS (YCR024C-A)	protein_coding-promoter-TSS (YCR024C-A)	83	YCR025C	YCR025C	YCR025C			YCR025C			protein_coding
SPT5_T15_R2_peak_222	IV	1355663	1355895	+	39	NA	promoter-TSS (YDR447C)	protein_coding-promoter-TSS (YDR447C)	-226	YDR447C	YDR447C	YDR447C			RPS17B			protein_coding
SPT5_T15_R2_peak_542	X	662916	663638	+	39	NA	promoter-TSS (YJR127C)	protein_coding-promoter-TSS (YJR127C)	-218	YJR127C	YJR127C	YJR127C			RSF2			protein_coding
SPT5_T15_R2_peak_572	XI	259854	260917	+	39	NA	promoter-TSS (YKL096W)	protein_coding-promoter-TSS (YKL096W)	-747	YKL096W	YKL096W	YKL096W			CWP1			protein_coding
SPT5_T15_R2_peak_979	XVI	678442	679386	+	39	NA	promoter-TSS (YPR063C)	protein_coding-promoter-TSS (YPR063C)	-37	YPR064W	YPR064W	YPR064W			YPR064W			protein_coding
SPT5_T15_R2_peak_993	XVI	840283	840924	+	38	NA	promoter-TSS (YPR156C)	protein_coding-promoter-TSS (YPR156C)	-663	YPR157W	YPR157W	YPR157W			TDA6			protein_coding
SPT5_T15_R2_peak_658	XII	758616	759618	+	38	NA	promoter-TSS (YLR312C)	protein_coding-promoter-TSS (YLR312C)	-284	YLR312C	YLR312C	YLR312C			YLR312C			protein_coding
SPT5_T15_R2_peak_309	V	280826	281563	+	38	NA	promoter-TSS (YER062C)	protein_coding-promoter-TSS (YER062C)	-512	YER062C	YER062C	YER062C			GPP2			protein_coding
SPT5_T15_R2_peak_664	XII	808981	809482	+	38	NA	promoter-TSS (YLR342W)	protein_coding-promoter-TSS (YLR342W)	-766	YLR342W	YLR342W	YLR342W			FKS1			protein_coding
