Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
NA	promoter-TSS (YBL060W)	protein_coding-promoter-TSS (YBL060W)	-248	YBL061C	YBL061C	YBL061C			SKT5			protein_coding
NA	promoter-TSS (YBL054W)	protein_coding-promoter-TSS (YBL054W)	-303	YBL055C	YBL055C	YBL055C			YBL055C			protein_coding
NA	promoter-TSS (YBL046W)	protein_coding-promoter-TSS (YBL046W)	-12	YBL047C	YBL047C	YBL047C			EDE1			protein_coding
NA	promoter-TSS (YBL043W)	protein_coding-promoter-TSS (YBL043W)	46	YBL044W	YBL044W	YBL044W			YBL044W			protein_coding
NA	promoter-TSS (YBL041W)	protein_coding-promoter-TSS (YBL041W)	-451	YBL041W	YBL041W	YBL041W			PRE7			protein_coding
NA	promoter-TSS (YBL032W)	protein_coding-promoter-TSS (YBL032W)	-143	YBL033C	YBL033C	YBL033C			RIB1			protein_coding
NA	promoter-TSS (YBL029C-A)	protein_coding-promoter-TSS (YBL029C-A)	-143	YBL029C-A	YBL029C-A	YBL029C-A			YBL029C-A			protein_coding
NA	promoter-TSS (YBL027W)	protein_coding-promoter-TSS (YBL027W)	-290	YBL027W	YBL027W	YBL027W			RPL19B			protein_coding
NA	promoter-TSS (YBL025W)	protein_coding-promoter-TSS (YBL025W)	-23	YBL025W	YBL025W	YBL025W			RRN10			protein_coding
NA	promoter-TSS (YBL016W)	protein_coding-promoter-TSS (YBL016W)	-344	YBL016W	YBL016W	YBL016W			FUS3			protein_coding
NA	promoter-TSS (YBL015W)	protein_coding-promoter-TSS (YBL015W)	-284	YBL015W	YBL015W	YBL015W			ACH1			protein_coding
NA	promoter-TSS (tI(AAU)B)	tRNA-promoter-TSS (tI(AAU)B)	-75	tI(AAU)B	tI(AAU)B	tI(AAU)B			tI(AAU)B			tRNA
NA	promoter-TSS (YBL011W)	protein_coding-promoter-TSS (YBL011W)	689	YBL013W	YBL013W	YBL013W			FMT1			protein_coding
NA	exon (YBL005W-A, exon 1 of 1)	protein_coding-exon (YBL005W-A, exon 1 of 1)	123	YBL005W-B	YBL005W-B	YBL005W-B			YBL005W-B			protein_coding
NA	promoter-TSS (YBL004W)	protein_coding-promoter-TSS (YBL004W)	-231	YBL004W	YBL004W	YBL004W			UTP20			protein_coding
NA	promoter-TSS (YBL002W)	protein_coding-promoter-TSS (YBL002W)	24	YBL003C	YBL003C	YBL003C			HTA2			protein_coding
NA	promoter-TSS (YBL001C)	protein_coding-promoter-TSS (YBL001C)	-560	YBL001C	YBL001C	YBL001C			ECM15			protein_coding
NA	TTS (YBR007C)	protein_coding-TTS (YBR007C)	851	YBR006W	YBR006W	YBR006W			UGA2			protein_coding
NA	promoter-TSS (YBR007C)	protein_coding-promoter-TSS (YBR007C)	-341	YBR007C	YBR007C	YBR007C			DSF2			protein_coding
NA	promoter-TSS (YBR009C)	protein_coding-promoter-TSS (YBR009C)	-119	YBR009C	YBR009C	YBR009C			HHF1			protein_coding
NA	promoter-TSS (YBR013C)	protein_coding-promoter-TSS (YBR013C)	107	tT(AGU)B	tT(AGU)B	tT(AGU)B			tT(AGU)B			tRNA
NA	promoter-TSS (YBR015C)	protein_coding-promoter-TSS (YBR015C)	-325	YBR016W	YBR016W	YBR016W			YBR016W			protein_coding
NA	promoter-TSS (YBR021W)	protein_coding-promoter-TSS (YBR021W)	-307	YBR021W	YBR021W	YBR021W			FUR4			protein_coding
NA	promoter-TSS (YBR023C)	protein_coding-promoter-TSS (YBR023C)	-439	YBR023C	YBR023C	YBR023C			CHS3			protein_coding
NA	TTS (YBR025C)	protein_coding-TTS (YBR025C)	779	YBR024W	YBR024W	YBR024W			SCO2			protein_coding
NA	promoter-TSS (YBR025C)	protein_coding-promoter-TSS (YBR025C)	-327	YBR025C	YBR025C	YBR025C			OLA1			protein_coding
NA	promoter-TSS (TLC1)	ncRNA-promoter-TSS (TLC1)	50	snR161	snR161	snR161			snR161			snoRNA
NA	promoter-TSS (YBR048W)	protein_coding-promoter-TSS (YBR048W)	-231	YBR048W	YBR048W	YBR048W			RPS11B			protein_coding
NA	promoter-TSS (YBR053C)	protein_coding-promoter-TSS (YBR053C)	-785	YBR053C	YBR053C	YBR053C			YBR053C			protein_coding
NA	promoter-TSS (YBR055C)	protein_coding-promoter-TSS (YBR055C)	-43	tL(UAA)B2	tL(UAA)B2	tL(UAA)B2			tL(UAA)B2			tRNA
NA	promoter-TSS (YBR056W-A)	protein_coding-promoter-TSS (YBR056W-A)	133	tQ(UUG)B	tQ(UUG)B	tQ(UUG)B			tQ(UUG)B			tRNA
NA	promoter-TSS (YBR058C)	protein_coding-promoter-TSS (YBR058C)	47	YBR058C-A	YBR058C-A	YBR058C-A			TSC3			protein_coding
NA	promoter-TSS (YBR066C)	protein_coding-promoter-TSS (YBR066C)	-632	YBR066C	YBR066C	YBR066C			NRG2			protein_coding
NA	TTS (YBR068C)	protein_coding-TTS (YBR068C)	-1190	YBR067C	YBR067C	YBR067C			TIP1			protein_coding
NA	promoter-TSS (YBR068C)	protein_coding-promoter-TSS (YBR068C)	-409	YBR068C	YBR068C	YBR068C			BAP2			protein_coding
NA	promoter-TSS (YBR069C)	protein_coding-promoter-TSS (YBR069C)	-510	YBR069C	YBR069C	YBR069C			TAT1			protein_coding
NA	promoter-TSS (YBR076C-A)	protein_coding-promoter-TSS (YBR076C-A)	62	YBR077C	YBR077C	YBR077C			SLM4			protein_coding
NA	promoter-TSS (YBR081C)	protein_coding-promoter-TSS (YBR081C)	21	tD(GUC)B	tD(GUC)B	tD(GUC)B			tD(GUC)B			tRNA
NA	promoter-TSS (YBR083W)	protein_coding-promoter-TSS (YBR083W)	-512	YBR083W	YBR083W	YBR083W			TEC1			protein_coding
NA	promoter-TSS (YBR084W)	protein_coding-promoter-TSS (YBR084W)	-287	YBR084W	YBR084W	YBR084W			MIS1			protein_coding
NA	promoter-TSS (YBR084C-A)	protein_coding-promoter-TSS (YBR084C-A)	80	YBR084C-A	YBR084C-A	YBR084C-A			RPL19A			protein_coding
NA	promoter-TSS (YBR085C-A)	protein_coding-promoter-TSS (YBR085C-A)	-501	YBR085C-A	YBR085C-A	YBR085C-A			YBR085C-A			protein_coding
NA	promoter-TSS (YBR089C-A)	protein_coding-promoter-TSS (YBR089C-A)	95	YBR090C	YBR090C	YBR090C			YBR090C			protein_coding
NA	promoter-TSS (YBR105C)	protein_coding-promoter-TSS (YBR105C)	-249	YBR106W	YBR106W	YBR106W			PHO88			protein_coding
NA	promoter-TSS (YBR107C)	protein_coding-promoter-TSS (YBR107C)	-48	YBR107C	YBR107C	YBR107C			IML3			protein_coding
NA	promoter-TSS (YBR109C)	protein_coding-promoter-TSS (YBR109C)	-6	YBR109W-A	YBR109W-A	YBR109W-A			YBR109W-A			protein_coding
NA	promoter-TSS (YBR111C)	protein_coding-promoter-TSS (YBR111C)	-34	YBR111C	YBR111C	YBR111C			YSA1			protein_coding
NA	promoter-TSS (YBR112C)	protein_coding-promoter-TSS (YBR112C)	-653	YBR114W	YBR114W	YBR114W			RAD16			protein_coding
NA	promoter-TSS (YBR115C)	protein_coding-promoter-TSS (YBR115C)	-364	YBR115C	YBR115C	YBR115C			LYS2			protein_coding
NA	promoter-TSS (YBR117C)	protein_coding-promoter-TSS (YBR117C)	-496	YBR117C	YBR117C	YBR117C			TKL2			protein_coding
NA	promoter-TSS (YBR121C)	protein_coding-promoter-TSS (YBR121C)	-312	YBR121C	YBR121C	YBR121C			GRS1			protein_coding
NA	promoter-TSS (YBR123C)	protein_coding-promoter-TSS (YBR123C)	-57	YBR123C	YBR123C	YBR123C			TFC1			protein_coding
NA	promoter-TSS (YBR126C)	protein_coding-promoter-TSS (YBR126C)	-210	YBR126C	YBR126C	YBR126C			TPS1			protein_coding
NA	promoter-TSS (YBR132C)	protein_coding-promoter-TSS (YBR132C)	-74	YBR132C	YBR132C	YBR132C			AGP2			protein_coding
NA	promoter-TSS (YBR133C)	protein_coding-promoter-TSS (YBR133C)	-204	YBR135W	YBR135W	YBR135W			CKS1			protein_coding
NA	promoter-TSS (YBR149W)	protein_coding-promoter-TSS (YBR149W)	-4	YBR149W	YBR149W	YBR149W			ARA1			protein_coding
NA	promoter-TSS (YBR150C)	protein_coding-promoter-TSS (YBR150C)	-212	YBR150C	YBR150C	YBR150C			TBS1			protein_coding
NA	TTS (YBR152W)	protein_coding-TTS (YBR152W)	243	YBR153W	YBR153W	YBR153W			RIB7			protein_coding
NA	Intergenic	Intergenic	-1090	YBR157C	YBR157C	YBR157C			ICS2			protein_coding
NA	promoter-TSS (YBR161W)	protein_coding-promoter-TSS (YBR161W)	-537	YBR161W	YBR161W	YBR161W			CSH1			protein_coding
NA	promoter-TSS (YBR162C)	protein_coding-promoter-TSS (YBR162C)	4	YBR162W-A	YBR162W-A	YBR162W-A			YSY6			protein_coding
NA	promoter-TSS (YBR179C)	protein_coding-promoter-TSS (YBR179C)	-307	YBR179C	YBR179C	YBR179C			FZO1			protein_coding
NA	promoter-TSS (YBR181C)	protein_coding-promoter-TSS (YBR181C)	-221	YBR181C	YBR181C	YBR181C			RPS6B			protein_coding
NA	promoter-TSS (YBR182C)	protein_coding-promoter-TSS (YBR182C)	-211	YBR182C-A	YBR182C-A	YBR182C-A			YBR182C-A			protein_coding
NA	promoter-TSS (YBR187W)	protein_coding-promoter-TSS (YBR187W)	-356	YBR187W	YBR187W	YBR187W			GDT1			protein_coding
NA	promoter-TSS (YBR188C)	protein_coding-promoter-TSS (YBR188C)	-177	YBR189W	YBR189W	YBR189W			RPS9B			protein_coding
NA	promoter-TSS (YBR190W)	protein_coding-promoter-TSS (YBR190W)	-130	YBR190W	YBR190W	YBR190W			YBR190W			protein_coding
NA	promoter-TSS (YBR196C)	protein_coding-promoter-TSS (YBR196C)	228	YBR196C-B	YBR196C-B	YBR196C-B			YBR196C-B			protein_coding
NA	promoter-TSS (YBR201C-A)	protein_coding-promoter-TSS (YBR201C-A)	-516	YBR201C-A	YBR201C-A	YBR201C-A			YBR201C-A			protein_coding
NA	promoter-TSS (YBR203W)	protein_coding-promoter-TSS (YBR203W)	-494	YBR203W	YBR203W	YBR203W			COS111			protein_coding
NA	promoter-TSS (YBR204C)	protein_coding-promoter-TSS (YBR204C)	52	YBR205W	YBR205W	YBR205W			KTR3			protein_coding
NA	promoter-TSS (YBR208C)	protein_coding-promoter-TSS (YBR208C)	158	tC(GCA)B	tC(GCA)B	tC(GCA)B			tC(GCA)B			tRNA
NA	promoter-TSS (YBR210W)	protein_coding-promoter-TSS (YBR210W)	19	tE(UUC)B	tE(UUC)B	tE(UUC)B			tE(UUC)B			tRNA
NA	promoter-TSS (YBR218C)	protein_coding-promoter-TSS (YBR218C)	-369	YBR218C	YBR218C	YBR218C			PYC2			protein_coding
NA	promoter-TSS (YBR222C)	protein_coding-promoter-TSS (YBR222C)	-121	YBR222C	YBR222C	YBR222C			PCS60			protein_coding
NA	promoter-TSS (YBR230C)	protein_coding-promoter-TSS (YBR230C)	197	YBR230W-A	YBR230W-A	YBR230W-A			YBR230W-A			protein_coding
NA	promoter-TSS (LSR1)	snRNA-promoter-TSS (LSR1)	-231	LSR1	LSR1	LSR1			LSR1			snRNA
NA	promoter-TSS (YBR238C)	protein_coding-promoter-TSS (YBR238C)	-444	YBR238C	YBR238C	YBR238C			YBR238C			protein_coding
NA	promoter-TSS (YBR240C)	protein_coding-promoter-TSS (YBR240C)	-589	YBR240C	YBR240C	YBR240C			THI2			protein_coding
NA	promoter-TSS (YBR243C)	protein_coding-promoter-TSS (YBR243C)	-316	YBR243C	YBR243C	YBR243C			ALG7			protein_coding
NA	promoter-TSS (YBR249C)	protein_coding-promoter-TSS (YBR249C)	-471	YBR250W	YBR250W	YBR250W			SPO23			protein_coding
NA	promoter-TSS (YBR255C-A)	protein_coding-promoter-TSS (YBR255C-A)	85	YBR255C-A	YBR255C-A	YBR255C-A			YBR255C-A			protein_coding
NA	promoter-TSS (YBR276C)	protein_coding-promoter-TSS (YBR276C)	148	YBR277C	YBR277C	YBR277C			YBR277C			protein_coding
NA	promoter-TSS (YBR277C)	protein_coding-promoter-TSS (YBR277C)	-159	YBR279W	YBR279W	YBR279W			PAF1			protein_coding
NA	promoter-TSS (YBR283C)	protein_coding-promoter-TSS (YBR283C)	-350	YBR284W	YBR284W	YBR284W			YBR284W			protein_coding
NA	promoter-TSS (YBR287W)	protein_coding-promoter-TSS (YBR287W)	-249	YBR287W	YBR287W	YBR287W			YBR287W			protein_coding
NA	promoter-TSS (YBR295W)	protein_coding-promoter-TSS (YBR295W)	-638	YBR295W	YBR295W	YBR295W			PCA1			protein_coding
NA	promoter-TSS (YBR296C)	protein_coding-promoter-TSS (YBR296C)	-368	YBR296C	YBR296C	YBR296C			PHO89			protein_coding
NA	promoter-TSS (YCL076W)	protein_coding-promoter-TSS (YCL076W)	-863	YCL076W	YCL076W	YCL076W			YCL076W			protein_coding
NA	promoter-TSS (YCL063W)	protein_coding-promoter-TSS (YCL063W)	-172	YCL063W	YCL063W	YCL063W			VAC17			protein_coding
NA	promoter-TSS (YCL061C)	protein_coding-promoter-TSS (YCL061C)	-29	YCL061C	YCL061C	YCL061C			MRC1			protein_coding
NA	promoter-TSS (YCL057C-A)	protein_coding-promoter-TSS (YCL057C-A)	-211	YCL057W	YCL057W	YCL057W			PRD1			protein_coding
NA	promoter-TSS (YCL055W)	protein_coding-promoter-TSS (YCL055W)	-162	YCL056C	YCL056C	YCL056C			PEX34			protein_coding
NA	promoter-TSS (YCL054W)	protein_coding-promoter-TSS (YCL054W)	-509	YCL054W	YCL054W	YCL054W			SPB1			protein_coding
NA	promoter-TSS (YCL048W-A)	protein_coding-promoter-TSS (YCL048W-A)	-129	YCL049C	YCL049C	YCL049C			YCL049C			protein_coding
NA	promoter-TSS (YCL044C)	protein_coding-promoter-TSS (YCL044C)	-64	YCL044C	YCL044C	YCL044C			MGR1			protein_coding
NA	promoter-TSS (YCL040W)	protein_coding-promoter-TSS (YCL040W)	-8	YCL042W	YCL042W	YCL042W			YCL042W			protein_coding
NA	promoter-TSS (YCL039W)	protein_coding-promoter-TSS (YCL039W)	-340	YCL039W	YCL039W	YCL039W			GID7			protein_coding
NA	promoter-TSS (YCL036W)	protein_coding-promoter-TSS (YCL036W)	81	YCL036W	YCL036W	YCL036W			GFD2			protein_coding
NA	promoter-TSS (YCL030C)	protein_coding-promoter-TSS (YCL030C)	-322	YCL030C	YCL030C	YCL030C			HIS4			protein_coding
NA	promoter-TSS (YCL024W)	protein_coding-promoter-TSS (YCL024W)	-420	YCL025C	YCL025C	YCL025C			AGP1			protein_coding
NA	promoter-TSS (YCL022C)	protein_coding-promoter-TSS (YCL022C)	31	tE(UUC)C	tE(UUC)C	tE(UUC)C			tE(UUC)C			tRNA
NA	promoter-TSS (YCL011C)	protein_coding-promoter-TSS (YCL011C)	293	YCL010C	YCL010C	YCL010C			SGF29			protein_coding
NA	promoter-TSS (YCL005W)	protein_coding-promoter-TSS (YCL005W)	123	YCL007C	YCL007C	YCL007C			YCL007C			protein_coding
NA	promoter-TSS (YCR004C)	protein_coding-promoter-TSS (YCR004C)	-218	YCR004C	YCR004C	YCR004C			YCP4			protein_coding
NA	promoter-TSS (YCR006C)	protein_coding-promoter-TSS (YCR006C)	306	tP(AGG)C	tP(AGG)C	tP(AGG)C			SUF2			tRNA
NA	TTS (YCR007C)	protein_coding-TTS (YCR007C)	-1516	tP(AGG)C	tP(AGG)C	tP(AGG)C			SUF2			tRNA
NA	promoter-TSS (YCR007C)	protein_coding-promoter-TSS (YCR007C)	-45	tN(GUU)C	tN(GUU)C	tN(GUU)C			tN(GUU)C			tRNA
NA	promoter-TSS (YCR009C)	protein_coding-promoter-TSS (YCR009C)	-263	YCR009C	YCR009C	YCR009C			RVS161			protein_coding
NA	promoter-TSS (YCR010C)	protein_coding-promoter-TSS (YCR010C)	-355	YCR010C	YCR010C	YCR010C			ADY2			protein_coding
NA	promoter-TSS (YCR011C)	protein_coding-promoter-TSS (YCR011C)	-249	YCR012W	YCR012W	YCR012W			PGK1			protein_coding
NA	promoter-TSS (YCR021C)	protein_coding-promoter-TSS (YCR021C)	-103	YCR022C	YCR022C	YCR022C			YCR022C			protein_coding
NA	promoter-TSS (YCR024C-A)	protein_coding-promoter-TSS (YCR024C-A)	75	YCR025C	YCR025C	YCR025C			YCR025C			protein_coding
NA	promoter-TSS (YCR027C)	protein_coding-promoter-TSS (YCR027C)	186	tQ(UUG)C	tQ(UUG)C	tQ(UUG)C			tQ(UUG)C			tRNA
NA	TTS (YCR028C)	protein_coding-TTS (YCR028C)	-1526	tQ(UUG)C	tQ(UUG)C	tQ(UUG)C			tQ(UUG)C			tRNA
NA	promoter-TSS (YCR030C)	protein_coding-promoter-TSS (YCR030C)	-261	snR65	snR65	snR65			snR65			snoRNA
NA	promoter-TSS (YCR031C)	protein_coding-promoter-TSS (YCR031C)	12	snR189	snR189	snR189			snR189			snoRNA
NA	promoter-TSS (YCR035C)	protein_coding-promoter-TSS (YCR035C)	32	YCR036W	YCR036W	YCR036W			RBK1			protein_coding
NA	promoter-TSS (YCR045C)	protein_coding-promoter-TSS (YCR045C)	377	YCR046C	YCR046C	YCR046C			IMG1			protein_coding
NA	promoter-TSS (YCR047C)	protein_coding-promoter-TSS (YCR047C)	-184	YCR048W	YCR048W	YCR048W			ARE1			protein_coding
NA	promoter-TSS (YCR050C)	protein_coding-promoter-TSS (YCR050C)	293	YCR051W	YCR051W	YCR051W			YCR051W			protein_coding
NA	promoter-TSS (YCR057C)	protein_coding-promoter-TSS (YCR057C)	-339	YCR057C	YCR057C	YCR057C			PWP2			protein_coding
NA	promoter-TSS (YCR059C)	protein_coding-promoter-TSS (YCR059C)	494	YCR060W	YCR060W	YCR060W			TAH1			protein_coding
NA	promoter-TSS (YCR064C)	protein_coding-promoter-TSS (YCR064C)	43	YCR064C	YCR064C	YCR064C			YCR064C			protein_coding
NA	promoter-TSS (YCR067C)	protein_coding-promoter-TSS (YCR067C)	-332	YCR067C	YCR067C	YCR067C			SED4			protein_coding
NA	promoter-TSS (YCR069W)	protein_coding-promoter-TSS (YCR069W)	-75	YCR069W	YCR069W	YCR069W			CPR4			protein_coding
NA	promoter-TSS (YCR073C)	protein_coding-promoter-TSS (YCR073C)	-188	YCR073W-A	YCR073W-A	YCR073W-A			SOL2			protein_coding
NA	promoter-TSS (YCR084C)	protein_coding-promoter-TSS (YCR084C)	-96	YCR085W	YCR085W	YCR085W			YCR085W			protein_coding
NA	promoter-TSS (YCR089W)	protein_coding-promoter-TSS (YCR089W)	-730	YCR089W	YCR089W	YCR089W			FIG2			protein_coding
NA	TTS (tT(AGU)C)	tRNA-TTS (tT(AGU)C)	255	tT(AGU)C	tT(AGU)C	tT(AGU)C			tT(AGU)C			tRNA
NA	promoter-TSS (YCR098C)	protein_coding-promoter-TSS (YCR098C)	-655	YCR098C	YCR098C	YCR098C			GIT1			protein_coding
NA	promoter-TSS (YCR106W)	protein_coding-promoter-TSS (YCR106W)	-511	YCR106W	YCR106W	YCR106W			RDS1			protein_coding
NA	promoter-TSS (YCR108C)	protein_coding-promoter-TSS (YCR108C)	42	YCR108C	YCR108C	YCR108C			YCR108C			protein_coding
NA	Intergenic	Intergenic	-1392	YDL248W	YDL248W	YDL248W			COS7			protein_coding
NA	promoter-TSS (YDL241W)	protein_coding-promoter-TSS (YDL241W)	-394	YDL241W	YDL241W	YDL241W			YDL241W			protein_coding
NA	promoter-TSS (YDL240C-A)	protein_coding-promoter-TSS (YDL240C-A)	-31	YDL240C-A	YDL240C-A	YDL240C-A			YDL240C-A			protein_coding
NA	promoter-TSS (YDL230W)	protein_coding-promoter-TSS (YDL230W)	-211	YDL230W	YDL230W	YDL230W			PTP1			protein_coding
NA	promoter-TSS (YDL230W)	protein_coding-promoter-TSS (YDL230W)	10	YDL230W	YDL230W	YDL230W			PTP1			protein_coding
NA	TTS (YDL227C)	protein_coding-TTS (YDL227C)	289	YDL228C	YDL228C	YDL228C			YDL228C			protein_coding
NA	Intergenic	Intergenic	-1541	YDL227C	YDL227C	YDL227C			HO			protein_coding
NA	TTS (YDL222C)	protein_coding-TTS (YDL222C)	443	YDL223C	YDL223C	YDL223C			HBT1			protein_coding
NA	promoter-TSS (YDL221W)	protein_coding-promoter-TSS (YDL221W)	-686	YDL223C	YDL223C	YDL223C			HBT1			protein_coding
NA	promoter-TSS (YDL222C)	protein_coding-promoter-TSS (YDL222C)	138	YDL221W	YDL221W	YDL221W			YDL221W			protein_coding
NA	promoter-TSS (YDL216C)	protein_coding-promoter-TSS (YDL216C)	-36	YDL216C	YDL216C	YDL216C			RRI1			protein_coding
NA	promoter-TSS (YDL215C)	protein_coding-promoter-TSS (YDL215C)	-423	YDL215C	YDL215C	YDL215C			GDH2			protein_coding
NA	promoter-TSS (YDL214C)	protein_coding-promoter-TSS (YDL214C)	-460	YDL214C	YDL214C	YDL214C			PRR2			protein_coding
NA	promoter-TSS (YDL210W)	protein_coding-promoter-TSS (YDL210W)	159	tG(GCC)D1	tG(GCC)D1	tG(GCC)D1			tG(GCC)D1			tRNA
NA	promoter-TSS (YDL202W)	protein_coding-promoter-TSS (YDL202W)	-185	YDL202W	YDL202W	YDL202W			MRPL11			protein_coding
NA	promoter-TSS (YDL195W)	protein_coding-promoter-TSS (YDL195W)	34	YDL196W	YDL196W	YDL196W			YDL196W			protein_coding
NA	promoter-TSS (YDL184C)	protein_coding-promoter-TSS (YDL184C)	-49	YDL184C	YDL184C	YDL184C			RPL41A			protein_coding
NA	promoter-TSS (YDL182W)	protein_coding-promoter-TSS (YDL182W)	-778	YDL182W	YDL182W	YDL182W			LYS20			protein_coding
NA	promoter-TSS (YDL180W)	protein_coding-promoter-TSS (YDL180W)	-196	YDL181W	YDL181W	YDL181W			INH1			protein_coding
NA	promoter-TSS (YDL173W)	protein_coding-promoter-TSS (YDL173W)	-281	YDL173W	YDL173W	YDL173W			PAR32			protein_coding
NA	promoter-TSS (YDL168W)	protein_coding-promoter-TSS (YDL168W)	-301	YDL168W	YDL168W	YDL168W			SFA1			protein_coding
NA	promoter-TSS (YDL143W)	protein_coding-promoter-TSS (YDL143W)	-36	YDL144C	YDL144C	YDL144C			YDL144C			protein_coding
NA	promoter-TSS (YDL141W)	protein_coding-promoter-TSS (YDL141W)	-216	YDL141W	YDL141W	YDL141W			BPL1			protein_coding
